subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
07XWx,1,0,fem_plain,fem_sws,1,fireman,glasses,fireman,glasses,fireman,tractor,fem_plain_fem_sws,training,2/23/2017,21:45,left,true,3121,1,2_1_2_1,word_2_word_1_word_3,far,fireman,English_Speech,adult,megan,,,,,,,,,male
07XWx,1,0,fem_plain,fem_sws,2,fireman,glasses,fireman,glasses,fireman,tractor,fem_plain_fem_sws,training,2/23/2017,21:45,top_img,true,2027,1,2_1_2_1,word_2_word_1_word_3,far,glasses,English_Speech,adult,megan,,,,,,,,,male
07XWx,1,0,fem_plain,fem_sws,3,fireman,glasses,fireman,glasses,fireman,tractor,fem_plain_fem_sws,training,2/23/2017,21:45,left,true,3385,2,2_1_2_1,word_2_word_1_word_3,far,fireman,English_Speech,adult,megan,,,,,,,,,male
07XWx,2,4,fem_plain,fem_sws,1,strawberry,coat,strawberry,flower,strawberry,coat,fem_plain_fem_sws,critical,2/23/2017,21:45,left,true,3165,1,1_2_1_1,word_3_word_2_word_1,far,strawberry,English_Speech,adult,megan,,,,,,,,,male
07XWx,2,4,fem_plain,fem_sws,2,strawberry,coat,strawberry,flower,strawberry,coat,fem_plain_fem_sws,critical,2/23/2017,21:45,right,true,2514,1,1_2_1_1,word_3_word_2_word_1,far,coat,English_Speech,adult,megan,,,,,,,,,male
07XWx,2,4,fem_plain,fem_sws,3,strawberry,coat,strawberry,flower,strawberry,coat,fem_plain_fem_sws,critical,2/23/2017,21:45,left,true,3796,1,1_2_1_1,word_3_word_2_word_1,far,strawberry,English_Speech,adult,megan,,,,,,,,,male
07XWx,3,5,fem_plain,fem_sws,1,orange,car,car,mouth,car,orange,fem_plain_fem_sws,critical,2/23/2017,21:45,right,true,4284,1,2_1_1_1,word_3_word_2_word_1,near,orange,English_Speech,adult,megan,,,,,,,,,male
07XWx,3,5,fem_plain,fem_sws,2,orange,car,car,mouth,car,orange,fem_plain_fem_sws,critical,2/23/2017,21:45,left,true,2582,1,2_1_1_1,word_3_word_2_word_1,near,car,English_Speech,adult,megan,,,,,,,,,male
07XWx,3,5,fem_plain,fem_sws,3,orange,car,car,mouth,car,orange,fem_plain_fem_sws,critical,2/23/2017,21:45,left,true,2726,1,2_1_1_1,word_3_word_2_word_1,near,car,English_Speech,adult,megan,,,,,,,,,male
07XWx,4,2,fem_plain,fem_sws,1,bed,chicken,fork,chicken,fork,bed,fem_plain_fem_sws,critical,2/23/2017,21:45,right,true,3889,1,2_1_1_0,word_2_word_3_word_1,different,bed,English_Speech,adult,megan,,,,,,,,,male
