subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
X8Y4g,1,0,fem_plain,fem_sws,1,tractor,fireman,glasses,glasses,tractor,fireman,fem_plain_fem_sws,training,2/23/2017,14:37,left,true,3184,1,1_2_2_0,word_2_word_3_word_1,different,tractor,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,1,0,fem_plain,fem_sws,2,tractor,fireman,glasses,glasses,tractor,fireman,fem_plain_fem_sws,training,2/23/2017,14:37,right,true,2325,1,1_2_2_0,word_2_word_3_word_1,different,fireman,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,1,0,fem_plain,fem_sws,3,tractor,fireman,glasses,glasses,tractor,fireman,fem_plain_fem_sws,training,2/23/2017,14:37,top_img,true,3884,1,1_2_2_0,word_2_word_3_word_1,different,glasses,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,2,13,fem_plain,fem_sws,1,toothbrush,airplane,bread,bread,toothbrush,airplane,fem_plain_fem_sws,critical,2/23/2017,14:37,left,true,2469,1,2_1_1_0,word_3_word_1_word_2,different,toothbrush,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,2,13,fem_plain,fem_sws,2,toothbrush,airplane,bread,bread,toothbrush,airplane,fem_plain_fem_sws,critical,2/23/2017,14:37,right,true,2154,1,2_1_1_0,word_3_word_1_word_2,different,airplane,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,2,13,fem_plain,fem_sws,3,toothbrush,airplane,bread,bread,toothbrush,airplane,fem_plain_fem_sws,critical,2/23/2017,14:37,top_img,true,3349,1,2_1_1_0,word_3_word_1_word_2,different,bread,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,3,11,fem_plain,fem_sws,1,lorry,book,book,cow,book,lorry,fem_plain_fem_sws,critical,2/23/2017,14:37,right,true,2094,1,1_2_2_1,word_3_word_1_word_2,near,lorry,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,3,11,fem_plain,fem_sws,2,lorry,book,book,cow,book,lorry,fem_plain_fem_sws,critical,2/23/2017,14:37,left,true,2585,1,1_2_2_1,word_3_word_1_word_2,near,book,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,3,11,fem_plain,fem_sws,3,lorry,book,book,cow,book,lorry,fem_plain_fem_sws,critical,2/23/2017,14:37,top_img,false,4056,1,1_2_2_1,word_3_word_1_word_2,near,cow,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,4,7,fem_plain,fem_sws,1,cat,horse,lolly,lolly,cat,horse,fem_plain_fem_sws,critical,2/23/2017,14:37,left,true,3014,1,2_1_1_0,word_1_word_3_word_2,different,cat,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,4,7,fem_plain,fem_sws,2,cat,horse,lolly,lolly,cat,horse,fem_plain_fem_sws,critical,2/23/2017,14:37,right,true,1988,1,2_1_1_0,word_1_word_3_word_2,different,horse,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,4,7,fem_plain,fem_sws,3,cat,horse,lolly,lolly,cat,horse,fem_plain_fem_sws,critical,2/23/2017,14:37,top_img,true,3216,1,2_1_1_0,word_1_word_3_word_2,different,lolly,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,5,17,fem_plain,fem_sws,1,cake,hand,cake,cake,hand,ambulance,fem_plain_fem_sws,critical,2/23/2017,14:37,top_img,true,2507,1,1_2_1_1,word_1_word_3_word_2,far,cake,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,5,17,fem_plain,fem_sws,2,cake,hand,cake,cake,hand,ambulance,fem_plain_fem_sws,critical,2/23/2017,14:37,left,true,2738,1,1_2_1_1,word_1_word_3_word_2,far,hand,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,5,17,fem_plain,fem_sws,3,cake,hand,cake,cake,hand,ambulance,fem_plain_fem_sws,critical,2/23/2017,14:37,top_img,true,2990,2,1_2_1_1,word_1_word_3_word_2,far,cake,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,6,14,fem_plain,fem_sws,1,cheese,door,shoes,shoes,door,cheese,fem_plain_fem_sws,critical,2/23/2017,14:37,right,true,2169,1,2_1_2_0,word_2_word_3_word_1,different,cheese,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,6,14,fem_plain,fem_sws,2,cheese,door,shoes,shoes,door,cheese,fem_plain_fem_sws,critical,2/23/2017,14:37,left,true,1910,1,2_1_2_0,word_2_word_3_word_1,different,door,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,6,14,fem_plain,fem_sws,3,cheese,door,shoes,shoes,door,cheese,fem_plain_fem_sws,critical,2/23/2017,14:37,top_img,true,2448,1,2_1_2_0,word_2_word_3_word_1,different,shoes,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,7,6,fem_plain,fem_sws,1,peas,bird,peas,peas,bird,carrot,fem_plain_fem_sws,critical,2/23/2017,14:37,top_img,true,1851,1,2_1_2_1,word_2_word_1_word_3,far,peas,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,7,6,fem_plain,fem_sws,2,peas,bird,peas,peas,bird,carrot,fem_plain_fem_sws,critical,2/23/2017,14:37,left,true,2185,1,2_1_2_1,word_2_word_1_word_3,far,bird,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,7,6,fem_plain,fem_sws,3,peas,bird,peas,peas,bird,carrot,fem_plain_fem_sws,critical,2/23/2017,14:37,top_img,true,2236,1,2_1_2_1,word_2_word_1_word_3,far,peas,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,8,3,fem_plain,fem_sws,1,telephone,trousers,trousers,trousers,nose,telephone,fem_plain_fem_sws,critical,2/23/2017,14:37,right,true,2734,1,1_2_2_1,word_1_word_2_word_3,near,telephone,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,8,3,fem_plain,fem_sws,2,telephone,trousers,trousers,trousers,nose,telephone,fem_plain_fem_sws,critical,2/23/2017,14:37,top_img,true,1907,1,1_2_2_1,word_1_word_2_word_3,near,trousers,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,8,3,fem_plain,fem_sws,3,telephone,trousers,trousers,trousers,nose,telephone,fem_plain_fem_sws,critical,2/23/2017,14:37,top_img,true,2022,1,1_2_2_1,word_1_word_2_word_3,near,trousers,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,9,23,fem_plain,fem_sws,1,table,bath,bath,teddy_bear,table,bath,fem_plain_fem_sws,critical,2/23/2017,14:37,left,true,2437,1,2_1_1_1,word_2_word_3_word_1,near,table,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,9,23,fem_plain,fem_sws,2,table,bath,bath,teddy_bear,table,bath,fem_plain_fem_sws,critical,2/23/2017,14:37,right,true,2679,1,2_1_1_1,word_2_word_3_word_1,near,bath,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,9,23,fem_plain,fem_sws,3,table,bath,bath,teddy_bear,table,bath,fem_plain_fem_sws,critical,2/23/2017,14:37,right,true,2603,1,2_1_1_1,word_2_word_3_word_1,near,bath,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,10,24,fem_plain,fem_sws,1,socks,fish,socks,socks,fish,sink,fem_plain_fem_sws,critical,2/23/2017,14:37,top_img,true,2042,1,1_2_1_1,word_3_word_2_word_1,far,socks,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,10,24,fem_plain,fem_sws,2,socks,fish,socks,socks,fish,sink,fem_plain_fem_sws,critical,2/23/2017,14:37,left,true,2112,1,1_2_1_1,word_3_word_2_word_1,far,fish,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,10,24,fem_plain,fem_sws,3,socks,fish,socks,socks,fish,sink,fem_plain_fem_sws,critical,2/23/2017,14:37,top_img,true,2436,1,1_2_1_1,word_3_word_2_word_1,far,socks,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,11,8,fem_plain,fem_sws,1,fire_engine,ear,ear,fire_engine,ear,wellyboots,fem_plain_fem_sws,critical,2/23/2017,14:37,top_img,true,2918,1,2_1_1_1,word_2_word_3_word_1,near,fire_engine,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,11,8,fem_plain,fem_sws,2,fire_engine,ear,ear,fire_engine,ear,wellyboots,fem_plain_fem_sws,critical,2/23/2017,14:37,left,true,2214,1,2_1_1_1,word_2_word_3_word_1,near,ear,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,11,8,fem_plain,fem_sws,3,fire_engine,ear,ear,fire_engine,ear,wellyboots,fem_plain_fem_sws,critical,2/23/2017,14:37,left,true,2259,1,2_1_1_1,word_2_word_3_word_1,near,ear,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,12,2,fem_plain,fem_sws,1,fork,chicken,chicken,fork,bed,chicken,fem_plain_fem_sws,critical,2/23/2017,14:37,top_img,true,1791,1,2_1_1_1,word_3_word_1_word_2,near,fork,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,12,2,fem_plain,fem_sws,2,fork,chicken,chicken,fork,bed,chicken,fem_plain_fem_sws,critical,2/23/2017,14:37,right,true,2391,1,2_1_1_1,word_3_word_1_word_2,near,chicken,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,12,2,fem_plain,fem_sws,3,fork,chicken,chicken,fork,bed,chicken,fem_plain_fem_sws,critical,2/23/2017,14:37,right,true,2675,1,2_1_1_1,word_3_word_1_word_2,near,chicken,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,13,20,fem_plain,fem_sws,1,jumper,apple,rabbit,rabbit,apple,jumper,fem_plain_fem_sws,critical,2/23/2017,14:37,right,true,1893,1,1_2_2_0,word_2_word_3_word_1,different,jumper,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,13,20,fem_plain,fem_sws,2,jumper,apple,rabbit,rabbit,apple,jumper,fem_plain_fem_sws,critical,2/23/2017,14:37,left,true,2225,1,1_2_2_0,word_2_word_3_word_1,different,apple,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,13,20,fem_plain,fem_sws,3,jumper,apple,rabbit,rabbit,apple,jumper,fem_plain_fem_sws,critical,2/23/2017,14:37,top_img,true,1997,1,1_2_2_0,word_2_word_3_word_1,different,rabbit,English_Speech,adult,megan,,,,,,,,,female
X8Y4g,14,5,fem_plain,fem_sws,1,mouth,car,car,orange,car,mouth,fem_plain_fem_sws,critical,2/23/2017,14:37,right,true,1761,1,1_2_2_1,word_1_word_2_word_3,near,mouth,English_Speech,adult,megan,,,,,,,,,female
