subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
aQEgL,1,0,fem_plain,fem_sws,1,glasses,tractor,glasses,tractor,fireman,glasses,fem_plain_fem_sws,training,1/5/2017,18:11,right,true,4205,3,2_1_2_1,word_3_word_1_word_2,far,glasses,English_Speech,adult,katy,1966-06-24,,,,,,,,male
aQEgL,1,0,fem_plain,fem_sws,2,glasses,tractor,glasses,tractor,fireman,glasses,fem_plain_fem_sws,training,1/5/2017,18:11,top_img,true,1983,2,2_1_2_1,word_3_word_1_word_2,far,tractor,English_Speech,adult,katy,1966-06-24,,,,,,,,male
aQEgL,1,0,fem_plain,fem_sws,3,glasses,tractor,glasses,tractor,fireman,glasses,fem_plain_fem_sws,training,1/5/2017,18:11,right,true,3558,4,2_1_2_1,word_3_word_1_word_2,far,glasses,English_Speech,adult,katy,1966-06-24,,,,,,,,male
aQEgL,2,21,fem_plain,fem_sws,1,sheep,frog,frog,sheep,eye,frog,fem_plain_fem_sws,critical,1/5/2017,18:11,top_img,true,2111,2,2_1_1_1,word_2_word_3_word_1,near,sheep,English_Speech,adult,katy,1966-06-24,,,,,,,,male
aQEgL,2,21,fem_plain,fem_sws,2,sheep,frog,frog,sheep,eye,frog,fem_plain_fem_sws,critical,1/5/2017,18:11,right,true,3267,1,2_1_1_1,word_2_word_3_word_1,near,frog,English_Speech,adult,katy,1966-06-24,,,,,,,,male
aQEgL,2,21,fem_plain,fem_sws,3,sheep,frog,frog,sheep,eye,frog,fem_plain_fem_sws,critical,1/5/2017,18:11,right,true,2921,3,2_1_1_1,word_2_word_3_word_1,near,frog,English_Speech,adult,katy,1966-06-24,,,,,,,,male
aQEgL,3,7,fem_plain,fem_sws,1,cat,horse,cat,cat,horse,lolly,fem_plain_fem_sws,critical,1/5/2017,18:11,top_img,true,2714,2,2_1_2_1,word_3_word_2_word_1,far,cat,English_Speech,adult,katy,1966-06-24,,,,,,,,male
aQEgL,3,7,fem_plain,fem_sws,2,cat,horse,cat,cat,horse,lolly,fem_plain_fem_sws,critical,1/5/2017,18:11,left,true,1905,2,2_1_2_1,word_3_word_2_word_1,far,horse,English_Speech,adult,katy,1966-06-24,,,,,,,,male
aQEgL,3,7,fem_plain,fem_sws,3,cat,horse,cat,cat,horse,lolly,fem_plain_fem_sws,critical,1/5/2017,18:11,top_img,true,4447,1,2_1_2_1,word_3_word_2_word_1,far,cat,English_Speech,adult,katy,1966-06-24,,,,,,,,male
aQEgL,4,20,fem_plain,fem_sws,1,apple,jumper,apple,apple,rabbit,jumper,fem_plain_fem_sws,critical,1/5/2017,18:11,top_img,true,2318,4,1_2_1_1,word_3_word_2_word_1,far,apple,English_Speech,adult,katy,1966-06-24,,,,,,,,male
