subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
aoAN6,1,0,mal_plain,fem_sws,1,tractor,fireman,glasses,fireman,glasses,tractor,mal_plain_fem_sws,training,1/10/2017,21:00,right,true,2346,2,1_2_2_0,word_1_word_2_word_3,different,tractor,English_Speech,adult,megan,1990-01-18,Scottish,English,N/a,Labourer/Teacher,N/a,[,1,male
aoAN6,1,0,mal_plain,fem_sws,2,tractor,fireman,glasses,fireman,glasses,tractor,mal_plain_fem_sws,training,1/10/2017,21:00,top_img,true,2107,3,1_2_2_0,word_1_word_2_word_3,different,fireman,English_Speech,adult,megan,1990-01-18,Scottish,English,N/a,Labourer/Teacher,N/a,[,1,male
aoAN6,1,0,mal_plain,fem_sws,3,tractor,fireman,glasses,fireman,glasses,tractor,mal_plain_fem_sws,training,1/10/2017,21:00,left,true,10095,2,1_2_2_0,word_1_word_2_word_3,different,glasses,English_Speech,adult,megan,1990-01-18,Scottish,English,N/a,Labourer/Teacher,N/a,[,1,male
aoAN6,2,18,mal_plain,fem_sws,1,ball,raspberry,camera,camera,raspberry,ball,mal_plain_fem_sws,critical,1/10/2017,21:00,right,true,3179,2,1_2_2_0,word_3_word_2_word_1,different,ball,English_Speech,adult,megan,1990-01-18,Scottish,English,N/a,Labourer/Teacher,N/a,[,1,male
aoAN6,2,18,mal_plain,fem_sws,2,ball,raspberry,camera,camera,raspberry,ball,mal_plain_fem_sws,critical,1/10/2017,21:00,left,true,2512,2,1_2_2_0,word_3_word_2_word_1,different,raspberry,English_Speech,adult,megan,1990-01-18,Scottish,English,N/a,Labourer/Teacher,N/a,[,1,male
aoAN6,2,18,mal_plain,fem_sws,3,ball,raspberry,camera,camera,raspberry,ball,mal_plain_fem_sws,critical,1/10/2017,21:00,top_img,true,3107,2,1_2_2_0,word_3_word_2_word_1,different,camera,English_Speech,adult,megan,1990-01-18,Scottish,English,N/a,Labourer/Teacher,N/a,[,1,male
aoAN6,3,10,mal_plain,fem_sws,1,tshirt,hat,pig,pig,hat,tshirt,mal_plain_fem_sws,critical,1/10/2017,21:00,right,true,2995,2,2_1_1_0,word_1_word_3_word_2,different,tshirt,English_Speech,adult,megan,1990-01-18,Scottish,English,N/a,Labourer/Teacher,N/a,[,1,male
aoAN6,3,10,mal_plain,fem_sws,2,tshirt,hat,pig,pig,hat,tshirt,mal_plain_fem_sws,critical,1/10/2017,21:00,left,true,2223,1,2_1_1_0,word_1_word_3_word_2,different,hat,English_Speech,adult,megan,1990-01-18,Scottish,English,N/a,Labourer/Teacher,N/a,[,1,male
aoAN6,3,10,mal_plain,fem_sws,3,tshirt,hat,pig,pig,hat,tshirt,mal_plain_fem_sws,critical,1/10/2017,21:00,top_img,true,1973,2,2_1_1_0,word_1_word_3_word_2,different,pig,English_Speech,adult,megan,1990-01-18,Scottish,English,N/a,Labourer/Teacher,N/a,[,1,male
aoAN6,4,15,mal_plain,fem_sws,1,pencil,slide,pencil,slide,pencil,beans,mal_plain_fem_sws,critical,1/10/2017,21:00,left,true,2016,2,2_1_2_1,word_1_word_2_word_3,far,pencil,English_Speech,adult,megan,1990-01-18,Scottish,English,N/a,Labourer/Teacher,N/a,[,1,male
aoAN6,4,15,mal_plain,fem_sws,2,pencil,slide,pencil,slide,pencil,beans,mal_plain_fem_sws,critical,1/10/2017,21:00,top_img,true,2554,1,2_1_2_1,word_1_word_2_word_3,far,slide,English_Speech,adult,megan,1990-01-18,Scottish,English,N/a,Labourer/Teacher,N/a,[,1,male
aoAN6,4,15,mal_plain,fem_sws,3,pencil,slide,pencil,slide,pencil,beans,mal_plain_fem_sws,critical,1/10/2017,21:00,right,false,2321,2,2_1_2_1,word_1_word_2_word_3,far,beans,English_Speech,adult,megan,1990-01-18,Scottish,English,N/a,Labourer/Teacher,N/a,[,1,male
aoAN6,5,14,mal_plain,fem_sws,1,door,shoes,cheese,cheese,door,shoes,mal_plain_fem_sws,critical,1/10/2017,21:00,left,true,2221,2,2_1_1_0,word_1_word_3_word_2,different,door,English_Speech,adult,megan,1990-01-18,Scottish,English,N/a,Labourer/Teacher,N/a,[,1,male
aoAN6,5,14,mal_plain,fem_sws,2,door,shoes,cheese,cheese,door,shoes,mal_plain_fem_sws,critical,1/10/2017,21:00,right,true,2320,2,2_1_1_0,word_1_word_3_word_2,different,shoes,English_Speech,adult,megan,1990-01-18,Scottish,English,N/a,Labourer/Teacher,N/a,[,1,male
aoAN6,5,14,mal_plain,fem_sws,3,door,shoes,cheese,cheese,door,shoes,mal_plain_fem_sws,critical,1/10/2017,21:00,top_img,true,1937,2,2_1_1_0,word_1_word_3_word_2,different,cheese,English_Speech,adult,megan,1990-01-18,Scottish,English,N/a,Labourer/Teacher,N/a,[,1,male
