subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
m5BBj,1,0,mal_plain,mal_sws,1,fireman,tractor,fireman,glasses,fireman,tractor,mal_plain_mal_sws,training,1/10/2017,20:37,left,true,2569,8,2_1_2_1,word_2_word_1_word_3,far,fireman,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,1,0,mal_plain,mal_sws,2,fireman,tractor,fireman,glasses,fireman,tractor,mal_plain_mal_sws,training,1/10/2017,20:37,right,true,1986,1,2_1_2_1,word_2_word_1_word_3,far,tractor,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,1,0,mal_plain,mal_sws,3,fireman,tractor,fireman,glasses,fireman,tractor,mal_plain_mal_sws,training,1/10/2017,20:37,top_img,false,7370,3,2_1_2_1,word_2_word_1_word_3,far,glasses,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,2,8,mal_plain,mal_sws,1,wellyboots,ear,fire_engine,ear,fire_engine,wellyboots,mal_plain_mal_sws,critical,1/10/2017,20:37,right,true,2672,2,2_1_2_0,word_3_word_2_word_1,different,wellyboots,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,2,8,mal_plain,mal_sws,2,wellyboots,ear,fire_engine,ear,fire_engine,wellyboots,mal_plain_mal_sws,critical,1/10/2017,20:37,top_img,true,2296,2,2_1_2_0,word_3_word_2_word_1,different,ear,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,2,8,mal_plain,mal_sws,3,wellyboots,ear,fire_engine,ear,fire_engine,wellyboots,mal_plain_mal_sws,critical,1/10/2017,20:37,left,true,3066,2,2_1_2_0,word_3_word_2_word_1,different,fire_engine,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,3,17,mal_plain,mal_sws,1,ambulance,cake,hand,ambulance,cake,hand,mal_plain_mal_sws,critical,1/10/2017,20:37,top_img,true,4191,2,2_1_1_0,word_2_word_1_word_3,different,ambulance,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,3,17,mal_plain,mal_sws,2,ambulance,cake,hand,ambulance,cake,hand,mal_plain_mal_sws,critical,1/10/2017,20:37,left,true,2006,2,2_1_1_0,word_2_word_1_word_3,different,cake,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,3,17,mal_plain,mal_sws,3,ambulance,cake,hand,ambulance,cake,hand,mal_plain_mal_sws,critical,1/10/2017,20:37,right,true,2192,2,2_1_1_0,word_2_word_1_word_3,different,hand,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,4,23,mal_plain,mal_sws,1,bath,table,teddy_bear,table,bath,teddy_bear,mal_plain_mal_sws,critical,1/10/2017,20:37,left,true,2362,2,1_2_2_0,word_3_word_1_word_2,different,bath,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,4,23,mal_plain,mal_sws,2,bath,table,teddy_bear,table,bath,teddy_bear,mal_plain_mal_sws,critical,1/10/2017,20:37,top_img,true,1687,2,1_2_2_0,word_3_word_1_word_2,different,table,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,4,23,mal_plain,mal_sws,3,bath,table,teddy_bear,table,bath,teddy_bear,mal_plain_mal_sws,critical,1/10/2017,20:37,right,true,1910,2,1_2_2_0,word_3_word_1_word_2,different,teddy_bear,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,5,22,mal_plain,mal_sws,1,bike,doctor,dog,bike,doctor,dog,mal_plain_mal_sws,critical,1/10/2017,20:37,top_img,true,2109,2,1_2_2_0,word_1_word_3_word_2,different,bike,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,5,22,mal_plain,mal_sws,2,bike,doctor,dog,bike,doctor,dog,mal_plain_mal_sws,critical,1/10/2017,20:37,right,false,1509,2,1_2_2_0,word_1_word_3_word_2,different,dog,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,5,22,mal_plain,mal_sws,3,bike,doctor,dog,bike,doctor,dog,mal_plain_mal_sws,critical,1/10/2017,20:37,right,true,1942,2,1_2_2_0,word_1_word_3_word_2,different,dog,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,6,19,mal_plain,mal_sws,1,tree,santa,building_blocks,tree,santa,building_blocks,mal_plain_mal_sws,critical,1/10/2017,20:37,top_img,true,1997,2,2_1_1_0,word_3_word_1_word_2,different,tree,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,6,19,mal_plain,mal_sws,2,tree,santa,building_blocks,tree,santa,building_blocks,mal_plain_mal_sws,critical,1/10/2017,20:37,left,true,2367,2,2_1_1_0,word_3_word_1_word_2,different,santa,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,6,19,mal_plain,mal_sws,3,tree,santa,building_blocks,tree,santa,building_blocks,mal_plain_mal_sws,critical,1/10/2017,20:37,right,true,2404,4,2_1_1_0,word_3_word_1_word_2,different,building_blocks,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,7,3,mal_plain,mal_sws,1,telephone,nose,nose,trousers,telephone,nose,mal_plain_mal_sws,critical,1/10/2017,20:37,left,true,2776,2,1_2_2_1,word_1_word_3_word_2,near,telephone,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,7,3,mal_plain,mal_sws,2,telephone,nose,nose,trousers,telephone,nose,mal_plain_mal_sws,critical,1/10/2017,20:37,right,true,2159,2,1_2_2_1,word_1_word_3_word_2,near,nose,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,7,3,mal_plain,mal_sws,3,telephone,nose,nose,trousers,telephone,nose,mal_plain_mal_sws,critical,1/10/2017,20:37,top_img,false,2352,2,1_2_2_1,word_1_word_3_word_2,near,trousers,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,8,10,mal_plain,mal_sws,1,tshirt,pig,pig,tshirt,hat,pig,mal_plain_mal_sws,critical,1/10/2017,20:37,top_img,true,2833,2,1_2_2_1,word_2_word_3_word_1,near,tshirt,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,8,10,mal_plain,mal_sws,2,tshirt,pig,pig,tshirt,hat,pig,mal_plain_mal_sws,critical,1/10/2017,20:37,right,true,2292,2,1_2_2_1,word_2_word_3_word_1,near,pig,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,8,10,mal_plain,mal_sws,3,tshirt,pig,pig,tshirt,hat,pig,mal_plain_mal_sws,critical,1/10/2017,20:37,right,true,2127,2,1_2_2_1,word_2_word_3_word_1,near,pig,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,9,7,mal_plain,mal_sws,1,lolly,horse,cat,horse,lolly,cat,mal_plain_mal_sws,critical,1/10/2017,20:37,left,true,2743,2,2_1_1_0,word_2_word_1_word_3,different,lolly,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,9,7,mal_plain,mal_sws,2,lolly,horse,cat,horse,lolly,cat,mal_plain_mal_sws,critical,1/10/2017,20:37,top_img,true,2334,2,2_1_1_0,word_2_word_1_word_3,different,horse,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,9,7,mal_plain,mal_sws,3,lolly,horse,cat,horse,lolly,cat,mal_plain_mal_sws,critical,1/10/2017,20:37,right,true,3691,4,2_1_1_0,word_2_word_1_word_3,different,cat,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
m5BBj,10,16,mal_plain,mal_sws,1,banana,paintbrush,paintbrush,paintbrush,chair,banana,mal_plain_mal_sws,critical,1/10/2017,20:37,right,true,2044,2,2_1_1_1,word_1_word_3_word_2,near,banana,English_Speech,adult,megan,1968-09-19,Scottish,English,N/a,Retired,N/a,1,1,female
