subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
o7bJu,1,0,mal_plain,fem_sws,1,tractor,fireman,glasses,fireman,tractor,glasses,mal_plain_fem_sws,training,1/5/2017,17:07,left,true,2053,4,1_2_2_0,word_1_word_3_word_2,different,tractor,English_Speech,adult,katy,,,,,,,,,female
o7bJu,1,0,mal_plain,fem_sws,2,tractor,fireman,glasses,fireman,tractor,glasses,mal_plain_fem_sws,training,1/5/2017,17:07,top_img,true,1579,3,1_2_2_0,word_1_word_3_word_2,different,fireman,English_Speech,adult,katy,,,,,,,,,female
o7bJu,1,0,mal_plain,fem_sws,3,tractor,fireman,glasses,fireman,tractor,glasses,mal_plain_fem_sws,training,1/5/2017,17:07,right,true,2309,4,1_2_2_0,word_1_word_3_word_2,different,glasses,English_Speech,adult,katy,,,,,,,,,female
o7bJu,2,20,mal_plain,fem_sws,1,rabbit,apple,jumper,apple,jumper,rabbit,mal_plain_fem_sws,critical,1/5/2017,17:07,right,true,1727,1,1_2_2_0,word_3_word_1_word_2,different,rabbit,English_Speech,adult,katy,,,,,,,,,female
o7bJu,2,20,mal_plain,fem_sws,2,rabbit,apple,jumper,apple,jumper,rabbit,mal_plain_fem_sws,critical,1/5/2017,17:07,top_img,true,1933,2,1_2_2_0,word_3_word_1_word_2,different,apple,English_Speech,adult,katy,,,,,,,,,female
o7bJu,2,20,mal_plain,fem_sws,3,rabbit,apple,jumper,apple,jumper,rabbit,mal_plain_fem_sws,critical,1/5/2017,17:07,left,true,1742,2,1_2_2_0,word_3_word_1_word_2,different,jumper,English_Speech,adult,katy,,,,,,,,,female
o7bJu,3,16,mal_plain,fem_sws,1,chair,banana,paintbrush,paintbrush,chair,banana,mal_plain_fem_sws,critical,1/5/2017,17:07,left,true,2877,2,2_1_1_0,word_1_word_3_word_2,different,chair,English_Speech,adult,katy,,,,,,,,,female
o7bJu,3,16,mal_plain,fem_sws,2,chair,banana,paintbrush,paintbrush,chair,banana,mal_plain_fem_sws,critical,1/5/2017,17:07,right,true,1992,4,2_1_1_0,word_1_word_3_word_2,different,banana,English_Speech,adult,katy,,,,,,,,,female
o7bJu,3,16,mal_plain,fem_sws,3,chair,banana,paintbrush,paintbrush,chair,banana,mal_plain_fem_sws,critical,1/5/2017,17:07,left,false,5052,8,2_1_1_0,word_1_word_3_word_2,different,chair,English_Speech,adult,katy,,,,,,,,,female
o7bJu,4,17,mal_plain,fem_sws,1,ambulance,hand,cake,ambulance,hand,cake,mal_plain_fem_sws,critical,1/5/2017,17:07,top_img,true,2300,2,1_2_2_0,word_2_word_3_word_1,different,ambulance,English_Speech,adult,katy,,,,,,,,,female
o7bJu,4,17,mal_plain,fem_sws,2,ambulance,hand,cake,ambulance,hand,cake,mal_plain_fem_sws,critical,1/5/2017,17:07,left,true,2251,2,1_2_2_0,word_2_word_3_word_1,different,hand,English_Speech,adult,katy,,,,,,,,,female
o7bJu,4,17,mal_plain,fem_sws,3,ambulance,hand,cake,ambulance,hand,cake,mal_plain_fem_sws,critical,1/5/2017,17:07,right,true,2361,4,1_2_2_0,word_2_word_3_word_1,different,cake,English_Speech,adult,katy,,,,,,,,,female
o7bJu,5,6,mal_plain,fem_sws,1,peas,carrot,carrot,bird,peas,carrot,mal_plain_fem_sws,critical,1/5/2017,17:07,left,true,3935,2,1_2_2_1,word_1_word_2_word_3,near,peas,English_Speech,adult,katy,,,,,,,,,female
