subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
zu0nx,1,0,mal_plain,mal_sws,1,tractor,glasses,glasses,tractor,fireman,glasses,mal_plain_mal_sws,training,2/23/2017,13:53,top_img,true,2030,3,2_1_1_1,word_3_word_1_word_2,near,tractor,English_Speech,adult,megan,2017-02-23,White,English,,,,6,6,male
zu0nx,1,0,mal_plain,mal_sws,2,tractor,glasses,glasses,tractor,fireman,glasses,mal_plain_mal_sws,training,2/23/2017,13:53,right,true,5111,1,2_1_1_1,word_3_word_1_word_2,near,glasses,English_Speech,adult,megan,2017-02-23,White,English,,,,6,6,male
zu0nx,1,0,mal_plain,mal_sws,3,tractor,glasses,glasses,tractor,fireman,glasses,mal_plain_mal_sws,training,2/23/2017,13:53,right,true,2783,1,2_1_1_1,word_3_word_1_word_2,near,glasses,English_Speech,adult,megan,2017-02-23,White,English,,,,6,6,male
zu0nx,2,7,mal_plain,mal_sws,1,lolly,horse,horse,horse,cat,lolly,mal_plain_mal_sws,critical,2/23/2017,13:53,right,true,2902,1,1_2_2_1,word_2_word_3_word_1,near,lolly,English_Speech,adult,megan,2017-02-23,White,English,,,,6,6,male
zu0nx,2,7,mal_plain,mal_sws,2,lolly,horse,horse,horse,cat,lolly,mal_plain_mal_sws,critical,2/23/2017,13:53,top_img,true,2344,1,1_2_2_1,word_2_word_3_word_1,near,horse,English_Speech,adult,megan,2017-02-23,White,English,,,,6,6,male
zu0nx,2,7,mal_plain,mal_sws,3,lolly,horse,horse,horse,cat,lolly,mal_plain_mal_sws,critical,2/23/2017,13:53,top_img,true,2399,1,1_2_2_1,word_2_word_3_word_1,near,horse,English_Speech,adult,megan,2017-02-23,White,English,,,,6,6,male
zu0nx,3,15,mal_plain,mal_sws,1,slide,pencil,slide,pencil,slide,beans,mal_plain_mal_sws,critical,2/23/2017,13:53,left,true,2909,1,2_1_2_1,word_2_word_1_word_3,far,slide,English_Speech,adult,megan,2017-02-23,White,English,,,,6,6,male
zu0nx,3,15,mal_plain,mal_sws,2,slide,pencil,slide,pencil,slide,beans,mal_plain_mal_sws,critical,2/23/2017,13:53,top_img,true,2064,1,2_1_2_1,word_2_word_1_word_3,far,pencil,English_Speech,adult,megan,2017-02-23,White,English,,,,6,6,male
zu0nx,3,15,mal_plain,mal_sws,3,slide,pencil,slide,pencil,slide,beans,mal_plain_mal_sws,critical,2/23/2017,13:53,left,true,2643,1,2_1_2_1,word_2_word_1_word_3,far,slide,English_Speech,adult,megan,2017-02-23,White,English,,,,6,6,male
zu0nx,4,8,mal_plain,mal_sws,1,fire_engine,wellyboots,fire_engine,fire_engine,wellyboots,ear,mal_plain_mal_sws,critical,2/23/2017,13:53,top_img,true,2867,1,1_2_1_1,word_2_word_1_word_3,far,fire_engine,English_Speech,adult,megan,2017-02-23,White,English,,,,6,6,male
