subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
51KXr,1,0,fem_plain,mal_sws,1,fireman,tractor,fireman,tractor,glasses,fireman,fem_plain_mal_sws,training,2/6/2017,10:14,right,true,3269,2,1_2_1_1,word_3_word_2_word_1,far,fireman,English_Speech,preschool,megan,,,,,,,,,female
51KXr,1,0,fem_plain,mal_sws,2,fireman,tractor,fireman,tractor,glasses,fireman,fem_plain_mal_sws,training,2/6/2017,10:14,top_img,true,2205,2,1_2_1_1,word_3_word_2_word_1,far,tractor,English_Speech,preschool,megan,,,,,,,,,female
51KXr,1,0,fem_plain,mal_sws,3,fireman,tractor,fireman,tractor,glasses,fireman,fem_plain_mal_sws,training,2/6/2017,10:14,right,true,4667,3,1_2_1_1,word_3_word_2_word_1,far,fireman,English_Speech,preschool,megan,,,,,,,,,female
51KXr,2,11,fem_plain,mal_sws,1,lorry,book,book,cow,book,lorry,fem_plain_mal_sws,critical,2/6/2017,10:14,right,true,2355,2,2_1_1_1,word_3_word_1_word_2,near,lorry,English_Speech,preschool,megan,,,,,,,,,female
51KXr,2,11,fem_plain,mal_sws,2,lorry,book,book,cow,book,lorry,fem_plain_mal_sws,critical,2/6/2017,10:14,left,true,2763,2,2_1_1_1,word_3_word_1_word_2,near,book,English_Speech,preschool,megan,,,,,,,,,female
51KXr,2,11,fem_plain,mal_sws,3,lorry,book,book,cow,book,lorry,fem_plain_mal_sws,critical,2/6/2017,10:14,left,true,1162,4,2_1_1_1,word_3_word_1_word_2,near,book,English_Speech,preschool,megan,,,,,,,,,female
51KXr,3,23,fem_plain,mal_sws,1,teddy_bear,table,table,teddy_bear,bath,table,fem_plain_mal_sws,critical,2/6/2017,10:14,top_img,true,2686,2,1_2_2_1,word_2_word_1_word_3,near,teddy_bear,English_Speech,preschool,megan,,,,,,,,,female
51KXr,3,23,fem_plain,mal_sws,2,teddy_bear,table,table,teddy_bear,bath,table,fem_plain_mal_sws,critical,2/6/2017,10:14,right,true,2764,1,1_2_2_1,word_2_word_1_word_3,near,table,English_Speech,preschool,megan,,,,,,,,,female
51KXr,3,23,fem_plain,mal_sws,3,teddy_bear,table,table,teddy_bear,bath,table,fem_plain_mal_sws,critical,2/6/2017,10:14,left,false,3738,2,1_2_2_1,word_2_word_1_word_3,near,bath,English_Speech,preschool,megan,,,,,,,,,female
51KXr,4,24,fem_plain,mal_sws,1,fish,sink,fish,socks,sink,fish,fem_plain_mal_sws,critical,2/6/2017,10:14,right,true,2228,2,2_1_2_1,word_3_word_1_word_2,far,fish,English_Speech,preschool,megan,,,,,,,,,female
51KXr,4,24,fem_plain,mal_sws,2,fish,sink,fish,socks,sink,fish,fem_plain_mal_sws,critical,2/6/2017,10:14,left,true,2736,1,2_1_2_1,word_3_word_1_word_2,far,sink,English_Speech,preschool,megan,,,,,,,,,female
51KXr,4,24,fem_plain,mal_sws,3,fish,sink,fish,socks,sink,fish,fem_plain_mal_sws,critical,2/6/2017,10:14,top_img,false,2861,1,2_1_2_1,word_3_word_1_word_2,far,socks,English_Speech,preschool,megan,,,,,,,,,female
51KXr,5,21,fem_plain,mal_sws,1,eye,sheep,frog,frog,sheep,eye,fem_plain_mal_sws,critical,2/6/2017,10:14,right,true,2967,2,1_2_2_0,word_1_word_2_word_3,different,eye,English_Speech,preschool,megan,,,,,,,,,female
51KXr,5,21,fem_plain,mal_sws,2,eye,sheep,frog,frog,sheep,eye,fem_plain_mal_sws,critical,2/6/2017,10:14,top_img,false,105,2,1_2_2_0,word_1_word_2_word_3,different,frog,English_Speech,preschool,megan,,,,,,,,,female
51KXr,5,21,fem_plain,mal_sws,3,eye,sheep,frog,frog,sheep,eye,fem_plain_mal_sws,critical,2/6/2017,10:14,left,false,2533,2,1_2_2_0,word_1_word_2_word_3,different,sheep,English_Speech,preschool,megan,,,,,,,,,female
51KXr,6,18,fem_plain,mal_sws,1,camera,raspberry,ball,camera,ball,raspberry,fem_plain_mal_sws,critical,2/6/2017,10:14,top_img,true,2426,1,2_1_2_0,word_3_word_1_word_2,different,camera,English_Speech,preschool,megan,,,,,,,,,female
51KXr,6,18,fem_plain,mal_sws,2,camera,raspberry,ball,camera,ball,raspberry,fem_plain_mal_sws,critical,2/6/2017,10:14,right,true,3289,2,2_1_2_0,word_3_word_1_word_2,different,raspberry,English_Speech,preschool,megan,,,,,,,,,female
51KXr,6,18,fem_plain,mal_sws,3,camera,raspberry,ball,camera,ball,raspberry,fem_plain_mal_sws,critical,2/6/2017,10:14,left,true,2355,2,2_1_2_0,word_3_word_1_word_2,different,ball,English_Speech,preschool,megan,,,,,,,,,female
51KXr,7,17,fem_plain,mal_sws,1,ambulance,hand,hand,ambulance,hand,cake,fem_plain_mal_sws,critical,2/6/2017,10:14,top_img,true,2415,1,2_1_1_1,word_2_word_3_word_1,near,ambulance,English_Speech,preschool,megan,,,,,,,,,female
51KXr,7,17,fem_plain,mal_sws,2,ambulance,hand,hand,ambulance,hand,cake,fem_plain_mal_sws,critical,2/6/2017,10:14,left,true,2814,3,2_1_1_1,word_2_word_3_word_1,near,hand,English_Speech,preschool,megan,,,,,,,,,female
51KXr,7,17,fem_plain,mal_sws,3,ambulance,hand,hand,ambulance,hand,cake,fem_plain_mal_sws,critical,2/6/2017,10:14,right,false,6454,1,2_1_1_1,word_2_word_3_word_1,near,cake,English_Speech,preschool,megan,,,,,,,,,female
51KXr,8,9,fem_plain,mal_sws,1,grapes,window,window,window,grapes,pizza,fem_plain_mal_sws,critical,2/6/2017,10:14,left,true,2144,2,1_2_2_1,word_2_word_3_word_1,near,grapes,English_Speech,preschool,megan,,,,,,,,,female
51KXr,8,9,fem_plain,mal_sws,2,grapes,window,window,window,grapes,pizza,fem_plain_mal_sws,critical,2/6/2017,10:14,top_img,true,1807,1,1_2_2_1,word_2_word_3_word_1,near,window,English_Speech,preschool,megan,,,,,,,,,female
51KXr,8,9,fem_plain,mal_sws,3,grapes,window,window,window,grapes,pizza,fem_plain_mal_sws,critical,2/6/2017,10:14,right,false,1206,2,1_2_2_1,word_2_word_3_word_1,near,pizza,English_Speech,preschool,megan,,,,,,,,,female
51KXr,9,22,fem_plain,mal_sws,1,doctor,bike,doctor,dog,bike,doctor,fem_plain_mal_sws,critical,2/6/2017,10:14,right,true,3268,1,1_2_1_1,word_2_word_1_word_3,far,doctor,English_Speech,preschool,megan,,,,,,,,,female
51KXr,9,22,fem_plain,mal_sws,2,doctor,bike,doctor,dog,bike,doctor,fem_plain_mal_sws,critical,2/6/2017,10:14,left,true,3153,1,1_2_1_1,word_2_word_1_word_3,far,bike,English_Speech,preschool,megan,,,,,,,,,female
51KXr,9,22,fem_plain,mal_sws,3,doctor,bike,doctor,dog,bike,doctor,fem_plain_mal_sws,critical,2/6/2017,10:14,top_img,false,1365,2,1_2_1_1,word_2_word_1_word_3,far,dog,English_Speech,preschool,megan,,,,,,,,,female
51KXr,10,5,fem_plain,mal_sws,1,mouth,orange,car,car,orange,mouth,fem_plain_mal_sws,critical,2/6/2017,10:14,right,true,2328,2,1_2_2_0,word_2_word_1_word_3,different,mouth,English_Speech,preschool,megan,,,,,,,,,female
51KXr,10,5,fem_plain,mal_sws,2,mouth,orange,car,car,orange,mouth,fem_plain_mal_sws,critical,2/6/2017,10:14,left,true,2830,2,1_2_2_0,word_2_word_1_word_3,different,orange,English_Speech,preschool,megan,,,,,,,,,female
51KXr,10,5,fem_plain,mal_sws,3,mouth,orange,car,car,orange,mouth,fem_plain_mal_sws,critical,2/6/2017,10:14,top_img,true,3059,2,1_2_2_0,word_2_word_1_word_3,different,car,English_Speech,preschool,megan,,,,,,,,,female
51KXr,11,14,fem_plain,mal_sws,1,door,shoes,shoes,door,cheese,shoes,fem_plain_mal_sws,critical,2/6/2017,10:14,top_img,true,3292,1,1_2_2_1,word_3_word_1_word_2,near,door,English_Speech,preschool,megan,,,,,,,,,female
51KXr,11,14,fem_plain,mal_sws,2,door,shoes,shoes,door,cheese,shoes,fem_plain_mal_sws,critical,2/6/2017,10:14,right,true,3047,2,1_2_2_1,word_3_word_1_word_2,near,shoes,English_Speech,preschool,megan,,,,,,,,,female
51KXr,11,14,fem_plain,mal_sws,3,door,shoes,shoes,door,cheese,shoes,fem_plain_mal_sws,critical,2/6/2017,10:14,left,false,3797,1,1_2_2_1,word_3_word_1_word_2,near,cheese,English_Speech,preschool,megan,,,,,,,,,female
51KXr,12,1,fem_plain,mal_sws,1,train,baby,train,spoon,baby,train,fem_plain_mal_sws,critical,2/6/2017,10:14,right,true,2690,2,1_2_1_1,word_1_word_2_word_3,far,train,English_Speech,preschool,megan,,,,,,,,,female
51KXr,12,1,fem_plain,mal_sws,2,train,baby,train,spoon,baby,train,fem_plain_mal_sws,critical,2/6/2017,10:14,left,true,2641,2,1_2_1_1,word_1_word_2_word_3,far,baby,English_Speech,preschool,megan,,,,,,,,,female
51KXr,12,1,fem_plain,mal_sws,3,train,baby,train,spoon,baby,train,fem_plain_mal_sws,critical,2/6/2017,10:14,top_img,false,3697,2,1_2_1_1,word_1_word_2_word_3,far,spoon,English_Speech,preschool,megan,,,,,,,,,female
51KXr,13,20,fem_plain,mal_sws,1,rabbit,apple,rabbit,apple,jumper,rabbit,fem_plain_mal_sws,critical,2/6/2017,10:14,right,true,2070,2,2_1_2_1,word_3_word_1_word_2,far,rabbit,English_Speech,preschool,megan,,,,,,,,,female
51KXr,13,20,fem_plain,mal_sws,2,rabbit,apple,rabbit,apple,jumper,rabbit,fem_plain_mal_sws,critical,2/6/2017,10:14,top_img,true,2462,1,2_1_2_1,word_3_word_1_word_2,far,apple,English_Speech,preschool,megan,,,,,,,,,female
51KXr,13,20,fem_plain,mal_sws,3,rabbit,apple,rabbit,apple,jumper,rabbit,fem_plain_mal_sws,critical,2/6/2017,10:14,left,false,540,2,2_1_2_1,word_3_word_1_word_2,far,jumper,English_Speech,preschool,megan,,,,,,,,,female
51KXr,14,19,fem_plain,mal_sws,1,tree,building_blocks,santa,santa,tree,building_blocks,fem_plain_mal_sws,critical,2/6/2017,10:14,left,true,4392,2,2_1_1_0,word_1_word_3_word_2,different,tree,English_Speech,preschool,megan,,,,,,,,,female
