subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
83NdR,1,0,fem_plain,fem_sws,1,tractor,fireman,fireman,tractor,fireman,glasses,fem_plain_fem_sws,training,2/1/2017,11:07,top_img,true,5120,14,2_1_1_1,word_3_word_1_word_2,near,tractor,English_Speech,preschool,megan,,,,,,,,,male
83NdR,1,0,fem_plain,fem_sws,2,tractor,fireman,fireman,tractor,fireman,glasses,fem_plain_fem_sws,training,2/1/2017,11:07,left,true,2764,2,2_1_1_1,word_3_word_1_word_2,near,fireman,English_Speech,preschool,megan,,,,,,,,,male
83NdR,1,0,fem_plain,fem_sws,3,tractor,fireman,fireman,tractor,fireman,glasses,fem_plain_fem_sws,training,2/1/2017,11:07,left,true,274,4,2_1_1_1,word_3_word_1_word_2,near,fireman,English_Speech,preschool,megan,,,,,,,,,male
83NdR,2,1,fem_plain,fem_sws,1,spoon,train,train,baby,spoon,train,fem_plain_fem_sws,critical,2/1/2017,11:07,left,true,3286,2,1_2_2_1,word_2_word_1_word_3,near,spoon,English_Speech,preschool,megan,,,,,,,,,male
83NdR,2,1,fem_plain,fem_sws,2,spoon,train,train,baby,spoon,train,fem_plain_fem_sws,critical,2/1/2017,11:07,right,true,2829,2,1_2_2_1,word_2_word_1_word_3,near,train,English_Speech,preschool,megan,,,,,,,,,male
83NdR,2,1,fem_plain,fem_sws,3,spoon,train,train,baby,spoon,train,fem_plain_fem_sws,critical,2/1/2017,11:07,right,true,2618,5,1_2_2_1,word_2_word_1_word_3,near,train,English_Speech,preschool,megan,,,,,,,,,male
83NdR,3,11,fem_plain,fem_sws,1,cow,lorry,cow,lorry,book,cow,fem_plain_fem_sws,critical,2/1/2017,11:07,right,true,3601,2,1_2_1_1,word_2_word_1_word_3,far,cow,English_Speech,preschool,megan,,,,,,,,,male
83NdR,3,11,fem_plain,fem_sws,2,cow,lorry,cow,lorry,book,cow,fem_plain_fem_sws,critical,2/1/2017,11:07,top_img,true,3967,2,1_2_1_1,word_2_word_1_word_3,far,lorry,English_Speech,preschool,megan,,,,,,,,,male
83NdR,3,11,fem_plain,fem_sws,3,cow,lorry,cow,lorry,book,cow,fem_plain_fem_sws,critical,2/1/2017,11:07,right,true,2190,2,1_2_1_1,word_2_word_1_word_3,far,cow,English_Speech,preschool,megan,,,,,,,,,male
83NdR,4,9,fem_plain,fem_sws,1,grapes,window,pizza,pizza,grapes,window,fem_plain_fem_sws,critical,2/1/2017,11:07,left,true,2727,1,2_1_2_0,word_1_word_3_word_2,different,grapes,English_Speech,preschool,megan,,,,,,,,,male
