subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
9St0X,1,0,fem_plain,fem_sws,1,tractor,fireman,glasses,fireman,tractor,glasses,fem_plain_fem_sws,training,1/11/2017,10:41,left,true,4429,2,1_2_2_0,word_1_word_3_word_2,different,tractor,English_Speech,preschool,megan,,,,,,,,,female
9St0X,1,0,fem_plain,fem_sws,2,tractor,fireman,glasses,fireman,tractor,glasses,fem_plain_fem_sws,training,1/11/2017,10:41,top_img,true,4787,1,1_2_2_0,word_1_word_3_word_2,different,fireman,English_Speech,preschool,megan,,,,,,,,,female
9St0X,1,0,fem_plain,fem_sws,3,tractor,fireman,glasses,fireman,tractor,glasses,fem_plain_fem_sws,training,1/11/2017,10:41,right,true,6914,3,1_2_2_0,word_1_word_3_word_2,different,glasses,English_Speech,preschool,megan,,,,,,,,,female
9St0X,2,1,fem_plain,fem_sws,1,baby,spoon,baby,train,baby,spoon,fem_plain_fem_sws,critical,1/11/2017,10:41,left,true,3009,2,1_2_1_1,word_3_word_2_word_1,far,baby,English_Speech,preschool,megan,,,,,,,,,female
9St0X,2,1,fem_plain,fem_sws,2,baby,spoon,baby,train,baby,spoon,fem_plain_fem_sws,critical,1/11/2017,10:41,right,true,2510,2,1_2_1_1,word_3_word_2_word_1,far,spoon,English_Speech,preschool,megan,,,,,,,,,female
9St0X,2,1,fem_plain,fem_sws,3,baby,spoon,baby,train,baby,spoon,fem_plain_fem_sws,critical,1/11/2017,10:41,left,true,7271,2,1_2_1_1,word_3_word_2_word_1,far,baby,English_Speech,preschool,megan,,,,,,,,,female
9St0X,3,15,fem_plain,fem_sws,1,beans,pencil,pencil,slide,pencil,beans,fem_plain_fem_sws,critical,1/11/2017,10:41,right,true,2365,2,2_1_1_1,word_1_word_2_word_3,near,beans,English_Speech,preschool,megan,,,,,,,,,female
9St0X,3,15,fem_plain,fem_sws,2,beans,pencil,pencil,slide,pencil,beans,fem_plain_fem_sws,critical,1/11/2017,10:41,left,true,2715,1,2_1_1_1,word_1_word_2_word_3,near,pencil,English_Speech,preschool,megan,,,,,,,,,female
9St0X,3,15,fem_plain,fem_sws,3,beans,pencil,pencil,slide,pencil,beans,fem_plain_fem_sws,critical,1/11/2017,10:41,left,true,6326,2,2_1_1_1,word_1_word_2_word_3,near,pencil,English_Speech,preschool,megan,,,,,,,,,female
9St0X,4,12,fem_plain,fem_sws,1,gloves,yoghurt,yoghurt,gloves,foot,yoghurt,fem_plain_fem_sws,critical,1/11/2017,10:41,top_img,true,3374,2,1_2_2_1,word_3_word_1_word_2,near,gloves,English_Speech,preschool,megan,,,,,,,,,female
9St0X,4,12,fem_plain,fem_sws,2,gloves,yoghurt,yoghurt,gloves,foot,yoghurt,fem_plain_fem_sws,critical,1/11/2017,10:41,right,true,2547,2,1_2_2_1,word_3_word_1_word_2,near,yoghurt,English_Speech,preschool,megan,,,,,,,,,female
9St0X,4,12,fem_plain,fem_sws,3,gloves,yoghurt,yoghurt,gloves,foot,yoghurt,fem_plain_fem_sws,critical,1/11/2017,10:41,right,true,5295,2,1_2_2_1,word_3_word_1_word_2,near,yoghurt,English_Speech,preschool,megan,,,,,,,,,female
9St0X,5,16,fem_plain,fem_sws,1,banana,paintbrush,paintbrush,chair,banana,paintbrush,fem_plain_fem_sws,critical,1/11/2017,10:41,left,true,2786,1,2_1_1_1,word_3_word_2_word_1,near,banana,English_Speech,preschool,megan,,,,,,,,,female
