subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
Du1Oi,1,0,fem_plain,mal_sws,1,tractor,fireman,fireman,glasses,fireman,tractor,fem_plain_mal_sws,training,1/11/2017,14:27,right,true,2629,4,1_2_2_1,word_2_word_1_word_3,near,tractor,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,1,0,fem_plain,mal_sws,2,tractor,fireman,fireman,glasses,fireman,tractor,fem_plain_mal_sws,training,1/11/2017,14:27,left,true,2672,3,1_2_2_1,word_2_word_1_word_3,near,fireman,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,1,0,fem_plain,mal_sws,3,tractor,fireman,fireman,glasses,fireman,tractor,fem_plain_mal_sws,training,1/11/2017,14:27,left,true,1783,4,1_2_2_1,word_2_word_1_word_3,near,fireman,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,2,4,fem_plain,mal_sws,1,strawberry,flower,strawberry,flower,coat,strawberry,fem_plain_mal_sws,critical,1/11/2017,14:27,right,true,2150,2,1_2_1_1,word_3_word_1_word_2,far,strawberry,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,2,4,fem_plain,mal_sws,2,strawberry,flower,strawberry,flower,coat,strawberry,fem_plain_mal_sws,critical,1/11/2017,14:27,top_img,true,2065,1,1_2_1_1,word_3_word_1_word_2,far,flower,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,2,4,fem_plain,mal_sws,3,strawberry,flower,strawberry,flower,coat,strawberry,fem_plain_mal_sws,critical,1/11/2017,14:27,right,true,2965,3,1_2_1_1,word_3_word_1_word_2,far,strawberry,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,3,9,fem_plain,mal_sws,1,grapes,pizza,window,pizza,grapes,window,fem_plain_mal_sws,critical,1/11/2017,14:27,left,true,2416,1,1_2_2_0,word_1_word_3_word_2,different,grapes,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,3,9,fem_plain,mal_sws,2,grapes,pizza,window,pizza,grapes,window,fem_plain_mal_sws,critical,1/11/2017,14:27,top_img,true,2406,1,1_2_2_0,word_1_word_3_word_2,different,pizza,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,3,9,fem_plain,mal_sws,3,grapes,pizza,window,pizza,grapes,window,fem_plain_mal_sws,critical,1/11/2017,14:27,right,true,3131,1,1_2_2_0,word_1_word_3_word_2,different,window,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,4,21,fem_plain,mal_sws,1,eye,frog,sheep,sheep,eye,frog,fem_plain_mal_sws,critical,1/11/2017,14:27,left,true,2888,3,1_2_2_0,word_2_word_3_word_1,different,eye,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,4,21,fem_plain,mal_sws,2,eye,frog,sheep,sheep,eye,frog,fem_plain_mal_sws,critical,1/11/2017,14:27,right,true,2975,1,1_2_2_0,word_2_word_3_word_1,different,frog,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,4,21,fem_plain,mal_sws,3,eye,frog,sheep,sheep,eye,frog,fem_plain_mal_sws,critical,1/11/2017,14:27,top_img,true,3087,2,1_2_2_0,word_2_word_3_word_1,different,sheep,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,5,20,fem_plain,mal_sws,1,jumper,rabbit,rabbit,rabbit,apple,jumper,fem_plain_mal_sws,critical,1/11/2017,14:27,right,true,2135,2,2_1_1_1,word_2_word_3_word_1,near,jumper,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,5,20,fem_plain,mal_sws,2,jumper,rabbit,rabbit,rabbit,apple,jumper,fem_plain_mal_sws,critical,1/11/2017,14:27,top_img,true,2181,1,2_1_1_1,word_2_word_3_word_1,near,rabbit,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,5,20,fem_plain,mal_sws,3,jumper,rabbit,rabbit,rabbit,apple,jumper,fem_plain_mal_sws,critical,1/11/2017,14:27,left,false,2051,2,2_1_1_1,word_2_word_3_word_1,near,apple,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,6,17,fem_plain,mal_sws,1,ambulance,cake,cake,hand,ambulance,cake,fem_plain_mal_sws,critical,1/11/2017,14:27,left,true,2517,1,2_1_1_1,word_3_word_2_word_1,near,ambulance,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,6,17,fem_plain,mal_sws,2,ambulance,cake,cake,hand,ambulance,cake,fem_plain_mal_sws,critical,1/11/2017,14:27,right,true,2409,4,2_1_1_1,word_3_word_2_word_1,near,cake,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,6,17,fem_plain,mal_sws,3,ambulance,cake,cake,hand,ambulance,cake,fem_plain_mal_sws,critical,1/11/2017,14:27,right,true,3483,6,2_1_1_1,word_3_word_2_word_1,near,cake,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,7,12,fem_plain,mal_sws,1,gloves,yoghurt,yoghurt,yoghurt,gloves,foot,fem_plain_mal_sws,critical,1/11/2017,14:27,left,true,3650,2,1_2_2_1,word_2_word_3_word_1,near,gloves,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,7,12,fem_plain,mal_sws,2,gloves,yoghurt,yoghurt,yoghurt,gloves,foot,fem_plain_mal_sws,critical,1/11/2017,14:27,top_img,true,2505,1,1_2_2_1,word_2_word_3_word_1,near,yoghurt,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,7,12,fem_plain,mal_sws,3,gloves,yoghurt,yoghurt,yoghurt,gloves,foot,fem_plain_mal_sws,critical,1/11/2017,14:27,top_img,true,3700,1,1_2_2_1,word_2_word_3_word_1,near,yoghurt,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,8,1,fem_plain,mal_sws,1,baby,spoon,baby,spoon,train,baby,fem_plain_mal_sws,critical,1/11/2017,14:27,right,true,3972,1,2_1_2_1,word_1_word_3_word_2,far,baby,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,8,1,fem_plain,mal_sws,2,baby,spoon,baby,spoon,train,baby,fem_plain_mal_sws,critical,1/11/2017,14:27,top_img,true,2016,2,2_1_2_1,word_1_word_3_word_2,far,spoon,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,8,1,fem_plain,mal_sws,3,baby,spoon,baby,spoon,train,baby,fem_plain_mal_sws,critical,1/11/2017,14:27,right,true,3823,1,2_1_2_1,word_1_word_3_word_2,far,baby,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,9,19,fem_plain,mal_sws,1,tree,santa,building_blocks,santa,building_blocks,tree,fem_plain_mal_sws,critical,1/11/2017,14:27,right,true,2379,2,2_1_1_0,word_1_word_2_word_3,different,tree,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,9,19,fem_plain,mal_sws,2,tree,santa,building_blocks,santa,building_blocks,tree,fem_plain_mal_sws,critical,1/11/2017,14:27,top_img,true,2974,4,2_1_1_0,word_1_word_2_word_3,different,santa,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,9,19,fem_plain,mal_sws,3,tree,santa,building_blocks,santa,building_blocks,tree,fem_plain_mal_sws,critical,1/11/2017,14:27,left,true,7645,2,2_1_1_0,word_1_word_2_word_3,different,building_blocks,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,10,23,fem_plain,mal_sws,1,teddy_bear,bath,table,table,teddy_bear,bath,fem_plain_mal_sws,critical,1/11/2017,14:27,left,true,2799,2,2_1_1_0,word_3_word_2_word_1,different,teddy_bear,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,10,23,fem_plain,mal_sws,2,teddy_bear,bath,table,table,teddy_bear,bath,fem_plain_mal_sws,critical,1/11/2017,14:27,right,true,2503,2,2_1_1_0,word_3_word_2_word_1,different,bath,English_Speech,preschool,katy,,,,,,,,,male
Du1Oi,10,23,fem_plain,mal_sws,3,teddy_bear,bath,table,table,teddy_bear,bath,fem_plain_mal_sws,critical,1/11/2017,14:27,top_img,true,3241,2,2_1_1_0,word_3_word_2_word_1,different,table,English_Speech,preschool,katy,,,,,,,,,male
