subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
JQfDA,1,0,mal_plain,mal_sws,1,glasses,tractor,fireman,glasses,fireman,tractor,mal_plain_mal_sws,training,2/1/2017,9:29,top_img,true,2730,1,2_1_2_0,word_2_word_1_word_3,different,glasses,English_Speech,preschool,megan,,,,,,,,,male
JQfDA,1,0,mal_plain,mal_sws,2,glasses,tractor,fireman,glasses,fireman,tractor,mal_plain_mal_sws,training,2/1/2017,9:29,right,true,2008,2,2_1_2_0,word_2_word_1_word_3,different,tractor,English_Speech,preschool,megan,,,,,,,,,male
JQfDA,1,0,mal_plain,mal_sws,3,glasses,tractor,fireman,glasses,fireman,tractor,mal_plain_mal_sws,training,2/1/2017,9:29,left,true,3674,2,2_1_2_0,word_2_word_1_word_3,different,fireman,English_Speech,preschool,megan,,,,,,,,,male
JQfDA,2,16,mal_plain,mal_sws,1,chair,banana,paintbrush,paintbrush,banana,chair,mal_plain_mal_sws,critical,2/1/2017,9:29,right,true,2896,4,1_2_2_0,word_1_word_2_word_3,different,chair,English_Speech,preschool,megan,,,,,,,,,male
JQfDA,2,16,mal_plain,mal_sws,2,chair,banana,paintbrush,paintbrush,banana,chair,mal_plain_mal_sws,critical,2/1/2017,9:29,left,true,2099,2,1_2_2_0,word_1_word_2_word_3,different,banana,English_Speech,preschool,megan,,,,,,,,,male
JQfDA,2,16,mal_plain,mal_sws,3,chair,banana,paintbrush,paintbrush,banana,chair,mal_plain_mal_sws,critical,2/1/2017,9:29,top_img,true,3396,2,1_2_2_0,word_1_word_2_word_3,different,paintbrush,English_Speech,preschool,megan,,,,,,,,,male
JQfDA,3,21,mal_plain,mal_sws,1,frog,eye,eye,eye,sheep,frog,mal_plain_mal_sws,critical,2/1/2017,9:29,right,true,2953,2,2_1_1_1,word_3_word_2_word_1,near,frog,English_Speech,preschool,megan,,,,,,,,,male
JQfDA,3,21,mal_plain,mal_sws,2,frog,eye,eye,eye,sheep,frog,mal_plain_mal_sws,critical,2/1/2017,9:29,top_img,true,2394,1,2_1_1_1,word_3_word_2_word_1,near,eye,English_Speech,preschool,megan,,,,,,,,,male
JQfDA,3,21,mal_plain,mal_sws,3,frog,eye,eye,eye,sheep,frog,mal_plain_mal_sws,critical,2/1/2017,9:29,left,false,1949,3,2_1_1_1,word_3_word_2_word_1,near,sheep,English_Speech,preschool,megan,,,,,,,,,male
JQfDA,4,6,mal_plain,mal_sws,1,peas,carrot,bird,carrot,bird,peas,mal_plain_mal_sws,critical,2/1/2017,9:29,right,true,2230,1,1_2_2_0,word_3_word_1_word_2,different,peas,English_Speech,preschool,megan,,,,,,,,,male
JQfDA,4,6,mal_plain,mal_sws,2,peas,carrot,bird,carrot,bird,peas,mal_plain_mal_sws,critical,2/1/2017,9:29,top_img,true,2490,1,1_2_2_0,word_3_word_1_word_2,different,carrot,English_Speech,preschool,megan,,,,,,,,,male
JQfDA,4,6,mal_plain,mal_sws,3,peas,carrot,bird,carrot,bird,peas,mal_plain_mal_sws,critical,2/1/2017,9:29,left,true,1298,6,1_2_2_0,word_3_word_1_word_2,different,bird,English_Speech,preschool,megan,,,,,,,,,male
JQfDA,5,22,mal_plain,mal_sws,1,doctor,bike,dog,bike,dog,doctor,mal_plain_mal_sws,critical,2/1/2017,9:29,right,true,2586,2,2_1_1_0,word_1_word_2_word_3,different,doctor,English_Speech,preschool,megan,,,,,,,,,male
JQfDA,5,22,mal_plain,mal_sws,2,doctor,bike,dog,bike,dog,doctor,mal_plain_mal_sws,critical,2/1/2017,9:29,top_img,true,2247,2,2_1_1_0,word_1_word_2_word_3,different,bike,English_Speech,preschool,megan,,,,,,,,,male
JQfDA,5,22,mal_plain,mal_sws,3,doctor,bike,dog,bike,dog,doctor,mal_plain_mal_sws,critical,2/1/2017,9:29,left,true,2804,2,2_1_1_0,word_1_word_2_word_3,different,dog,English_Speech,preschool,megan,,,,,,,,,male
JQfDA,6,20,mal_plain,mal_sws,1,apple,jumper,rabbit,apple,rabbit,jumper,mal_plain_mal_sws,critical,2/1/2017,9:29,top_img,true,2207,2,2_1_1_0,word_3_word_2_word_1,different,apple,English_Speech,preschool,megan,,,,,,,,,male
JQfDA,6,20,mal_plain,mal_sws,2,apple,jumper,rabbit,apple,rabbit,jumper,mal_plain_mal_sws,critical,2/1/2017,9:29,right,true,1987,2,2_1_1_0,word_3_word_2_word_1,different,jumper,English_Speech,preschool,megan,,,,,,,,,male
