subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
ONdte,1,0,mal_plain,mal_sws,1,fireman,glasses,tractor,glasses,fireman,tractor,mal_plain_mal_sws,training,1/11/2017,13:04,left,true,3370,2,2_1_1_0,word_2_word_1_word_3,different,fireman,English_Speech,preschool,megan,,,,,,,,,male
ONdte,1,0,mal_plain,mal_sws,2,fireman,glasses,tractor,glasses,fireman,tractor,mal_plain_mal_sws,training,1/11/2017,13:04,top_img,true,2265,2,2_1_1_0,word_2_word_1_word_3,different,glasses,English_Speech,preschool,megan,,,,,,,,,male
ONdte,1,0,mal_plain,mal_sws,3,fireman,glasses,tractor,glasses,fireman,tractor,mal_plain_mal_sws,training,1/11/2017,13:04,right,true,3642,2,2_1_1_0,word_2_word_1_word_3,different,tractor,English_Speech,preschool,megan,,,,,,,,,male
ONdte,2,13,mal_plain,mal_sws,1,toothbrush,airplane,bread,airplane,bread,toothbrush,mal_plain_mal_sws,critical,1/11/2017,13:04,right,true,2467,1,2_1_2_0,word_2_word_3_word_1,different,toothbrush,English_Speech,preschool,megan,,,,,,,,,male
ONdte,2,13,mal_plain,mal_sws,2,toothbrush,airplane,bread,airplane,bread,toothbrush,mal_plain_mal_sws,critical,1/11/2017,13:04,top_img,true,1833,2,2_1_2_0,word_2_word_3_word_1,different,airplane,English_Speech,preschool,megan,,,,,,,,,male
ONdte,2,13,mal_plain,mal_sws,3,toothbrush,airplane,bread,airplane,bread,toothbrush,mal_plain_mal_sws,critical,1/11/2017,13:04,left,true,11219,2,2_1_2_0,word_2_word_3_word_1,different,bread,English_Speech,preschool,megan,,,,,,,,,male
ONdte,3,19,mal_plain,mal_sws,1,tree,building_blocks,building_blocks,tree,santa,building_blocks,mal_plain_mal_sws,critical,1/11/2017,13:04,top_img,true,3498,2,1_2_2_1,word_3_word_1_word_2,near,tree,English_Speech,preschool,megan,,,,,,,,,male
ONdte,3,19,mal_plain,mal_sws,2,tree,building_blocks,building_blocks,tree,santa,building_blocks,mal_plain_mal_sws,critical,1/11/2017,13:04,right,true,2108,2,1_2_2_1,word_3_word_1_word_2,near,building_blocks,English_Speech,preschool,megan,,,,,,,,,male
ONdte,3,19,mal_plain,mal_sws,3,tree,building_blocks,building_blocks,tree,santa,building_blocks,mal_plain_mal_sws,critical,1/11/2017,13:04,left,false,5417,2,1_2_2_1,word_3_word_1_word_2,near,santa,English_Speech,preschool,megan,,,,,,,,,male
ONdte,4,14,mal_plain,mal_sws,1,door,shoes,door,shoes,door,cheese,mal_plain_mal_sws,critical,1/11/2017,13:04,left,true,2995,2,1_2_1_1,word_2_word_3_word_1,far,door,English_Speech,preschool,megan,,,,,,,,,male
ONdte,4,14,mal_plain,mal_sws,2,door,shoes,door,shoes,door,cheese,mal_plain_mal_sws,critical,1/11/2017,13:04,right,false,2293,2,1_2_1_1,word_2_word_3_word_1,far,cheese,English_Speech,preschool,megan,,,,,,,,,male
ONdte,4,14,mal_plain,mal_sws,3,door,shoes,door,shoes,door,cheese,mal_plain_mal_sws,critical,1/11/2017,13:04,top_img,false,5600,1,1_2_1_1,word_2_word_3_word_1,far,shoes,English_Speech,preschool,megan,,,,,,,,,male
ONdte,5,3,mal_plain,mal_sws,1,nose,trousers,telephone,trousers,telephone,nose,mal_plain_mal_sws,critical,1/11/2017,13:04,right,true,4084,1,1_2_2_0,word_1_word_3_word_2,different,nose,English_Speech,preschool,megan,,,,,,,,,male
ONdte,5,3,mal_plain,mal_sws,2,nose,trousers,telephone,trousers,telephone,nose,mal_plain_mal_sws,critical,1/11/2017,13:04,top_img,true,2144,1,1_2_2_0,word_1_word_3_word_2,different,trousers,English_Speech,preschool,megan,,,,,,,,,male
ONdte,5,3,mal_plain,mal_sws,3,nose,trousers,telephone,trousers,telephone,nose,mal_plain_mal_sws,critical,1/11/2017,13:04,left,true,4813,2,1_2_2_0,word_1_word_3_word_2,different,telephone,English_Speech,preschool,megan,,,,,,,,,male
ONdte,6,18,mal_plain,mal_sws,1,raspberry,ball,camera,camera,raspberry,ball,mal_plain_mal_sws,critical,1/11/2017,13:04,left,true,3393,2,1_2_2_0,word_3_word_2_word_1,different,raspberry,English_Speech,preschool,megan,,,,,,,,,male
ONdte,6,18,mal_plain,mal_sws,2,raspberry,ball,camera,camera,raspberry,ball,mal_plain_mal_sws,critical,1/11/2017,13:04,right,true,2642,2,1_2_2_0,word_3_word_2_word_1,different,ball,English_Speech,preschool,megan,,,,,,,,,male
ONdte,6,18,mal_plain,mal_sws,3,raspberry,ball,camera,camera,raspberry,ball,mal_plain_mal_sws,critical,1/11/2017,13:04,top_img,true,4645,1,1_2_2_0,word_3_word_2_word_1,different,camera,English_Speech,preschool,megan,,,,,,,,,male
ONdte,7,17,mal_plain,mal_sws,1,hand,cake,ambulance,cake,hand,ambulance,mal_plain_mal_sws,critical,1/11/2017,13:04,left,true,3565,2,2_1_1_0,word_1_word_3_word_2,different,hand,English_Speech,preschool,megan,,,,,,,,,male
ONdte,7,17,mal_plain,mal_sws,2,hand,cake,ambulance,cake,hand,ambulance,mal_plain_mal_sws,critical,1/11/2017,13:04,top_img,true,2238,2,2_1_1_0,word_1_word_3_word_2,different,cake,English_Speech,preschool,megan,,,,,,,,,male
ONdte,7,17,mal_plain,mal_sws,3,hand,cake,ambulance,cake,hand,ambulance,mal_plain_mal_sws,critical,1/11/2017,13:04,right,true,4474,4,2_1_1_0,word_1_word_3_word_2,different,ambulance,English_Speech,preschool,megan,,,,,,,,,male
ONdte,8,9,mal_plain,mal_sws,1,grapes,pizza,window,grapes,pizza,window,mal_plain_mal_sws,critical,1/11/2017,13:04,top_img,true,2857,2,2_1_2_0,word_3_word_1_word_2,different,grapes,English_Speech,preschool,megan,,,,,,,,,male
ONdte,8,9,mal_plain,mal_sws,2,grapes,pizza,window,grapes,pizza,window,mal_plain_mal_sws,critical,1/11/2017,13:04,left,true,5193,2,2_1_2_0,word_3_word_1_word_2,different,pizza,English_Speech,preschool,megan,,,,,,,,,male
ONdte,8,9,mal_plain,mal_sws,3,grapes,pizza,window,grapes,pizza,window,mal_plain_mal_sws,critical,1/11/2017,13:04,right,true,3233,4,2_1_2_0,word_3_word_1_word_2,different,window,English_Speech,preschool,megan,,,,,,,,,male
ONdte,9,7,mal_plain,mal_sws,1,lolly,cat,cat,horse,lolly,cat,mal_plain_mal_sws,critical,1/11/2017,13:04,left,true,3324,2,2_1_1_1,word_2_word_1_word_3,near,lolly,English_Speech,preschool,megan,,,,,,,,,male
ONdte,9,7,mal_plain,mal_sws,2,lolly,cat,cat,horse,lolly,cat,mal_plain_mal_sws,critical,1/11/2017,13:04,right,true,2464,4,2_1_1_1,word_2_word_1_word_3,near,cat,English_Speech,preschool,megan,,,,,,,,,male
ONdte,9,7,mal_plain,mal_sws,3,lolly,cat,cat,horse,lolly,cat,mal_plain_mal_sws,critical,1/11/2017,13:04,top_img,false,4310,2,2_1_1_1,word_2_word_1_word_3,near,horse,English_Speech,preschool,megan,,,,,,,,,male
ONdte,10,15,mal_plain,mal_sws,1,pencil,slide,beans,slide,pencil,beans,mal_plain_mal_sws,critical,1/11/2017,13:04,left,true,2420,1,2_1_1_0,word_1_word_2_word_3,different,pencil,English_Speech,preschool,megan,,,,,,,,,male
ONdte,10,15,mal_plain,mal_sws,2,pencil,slide,beans,slide,pencil,beans,mal_plain_mal_sws,critical,1/11/2017,13:04,top_img,true,2359,1,2_1_1_0,word_1_word_2_word_3,different,slide,English_Speech,preschool,megan,,,,,,,,,male
ONdte,10,15,mal_plain,mal_sws,3,pencil,slide,beans,slide,pencil,beans,mal_plain_mal_sws,critical,1/11/2017,13:04,right,true,4218,3,2_1_1_0,word_1_word_2_word_3,different,beans,English_Speech,preschool,megan,,,,,,,,,male
ONdte,11,21,mal_plain,mal_sws,1,eye,frog,frog,sheep,eye,frog,mal_plain_mal_sws,critical,1/11/2017,13:04,left,true,2436,2,1_2_2_1,word_2_word_3_word_1,near,eye,English_Speech,preschool,megan,,,,,,,,,male
ONdte,11,21,mal_plain,mal_sws,2,eye,frog,frog,sheep,eye,frog,mal_plain_mal_sws,critical,1/11/2017,13:04,right,true,2783,3,1_2_2_1,word_2_word_3_word_1,near,frog,English_Speech,preschool,megan,,,,,,,,,male
ONdte,11,21,mal_plain,mal_sws,3,eye,frog,frog,sheep,eye,frog,mal_plain_mal_sws,critical,1/11/2017,13:04,right,true,5710,1,1_2_2_1,word_2_word_3_word_1,near,frog,English_Speech,preschool,megan,,,,,,,,,male
ONdte,12,11,mal_plain,mal_sws,1,lorry,cow,book,cow,lorry,book,mal_plain_mal_sws,critical,1/11/2017,13:04,left,true,2657,2,2_1_1_0,word_3_word_2_word_1,different,lorry,English_Speech,preschool,megan,,,,,,,,,male
ONdte,12,11,mal_plain,mal_sws,2,lorry,cow,book,cow,lorry,book,mal_plain_mal_sws,critical,1/11/2017,13:04,top_img,true,4428,3,2_1_1_0,word_3_word_2_word_1,different,cow,English_Speech,preschool,megan,,,,,,,,,male
ONdte,12,11,mal_plain,mal_sws,3,lorry,cow,book,cow,lorry,book,mal_plain_mal_sws,critical,1/11/2017,13:04,right,true,5824,2,2_1_1_0,word_3_word_2_word_1,different,book,English_Speech,preschool,megan,,,,,,,,,male
