subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
RAhJG,1,0,fem_plain,fem_sws,1,tractor,fireman,tractor,fireman,glasses,tractor,fem_plain_fem_sws,training,02/06/2017,10:23,right,true,2459,8,2_1_2_1,word_1_word_2_word_3,far,tractor,English_Speech,not_pilot_apparently,megan,,,,,,,,,male
RAhJG,1,0,fem_plain,fem_sws,2,tractor,fireman,tractor,fireman,glasses,tractor,fem_plain_fem_sws,training,02/06/2017,10:23,top_img,true,1786,2,2_1_2_1,word_1_word_2_word_3,far,fireman,English_Speech,not_pilot_apparently,megan,,,,,,,,,male
RAhJG,1,0,fem_plain,fem_sws,3,tractor,fireman,tractor,fireman,glasses,tractor,fem_plain_fem_sws,training,02/06/2017,10:23,right,true,4443,4,2_1_2_1,word_1_word_2_word_3,far,tractor,English_Speech,not_pilot_apparently,megan,,,,,,,,,male
RAhJG,2,8,fem_plain,fem_sws,1,fire_engine,wellyboots,ear,ear,fire_engine,wellyboots,fem_plain_fem_sws,critical,02/06/2017,10:23,left,true,3251,2,2_1_1_0,word_3_word_2_word_1,different,fire_engine,English_Speech,not_pilot_apparently,megan,,,,,,,,,male
RAhJG,2,8,fem_plain,fem_sws,2,fire_engine,wellyboots,ear,ear,fire_engine,wellyboots,fem_plain_fem_sws,critical,02/06/2017,10:23,right,true,2516,1,2_1_1_0,word_3_word_2_word_1,different,wellyboots,English_Speech,not_pilot_apparently,megan,,,,,,,,,male
RAhJG,2,8,fem_plain,fem_sws,3,fire_engine,wellyboots,ear,ear,fire_engine,wellyboots,fem_plain_fem_sws,critical,02/06/2017,10:23,top_img,true,2210,4,2_1_1_0,word_3_word_2_word_1,different,ear,English_Speech,not_pilot_apparently,megan,,,,,,,,,male
RAhJG,3,20,fem_plain,fem_sws,1,apple,rabbit,rabbit,jumper,apple,rabbit,fem_plain_fem_sws,critical,02/06/2017,10:23,left,true,2391,2,1_2_2_1,word_1_word_3_word_2,near,apple,English_Speech,not_pilot_apparently,megan,,,,,,,,,male
RAhJG,3,20,fem_plain,fem_sws,2,apple,rabbit,rabbit,jumper,apple,rabbit,fem_plain_fem_sws,critical,02/06/2017,10:23,right,true,2234,2,1_2_2_1,word_1_word_3_word_2,near,rabbit,English_Speech,not_pilot_apparently,megan,,,,,,,,,male
RAhJG,3,20,fem_plain,fem_sws,3,apple,rabbit,rabbit,jumper,apple,rabbit,fem_plain_fem_sws,critical,02/06/2017,10:23,top_img,false,3786,1,1_2_2_1,word_1_word_3_word_2,near,jumper,English_Speech,not_pilot_apparently,megan,,,,,,,,,male
RAhJG,4,5,fem_plain,fem_sws,1,orange,mouth,car,car,orange,mouth,fem_plain_fem_sws,critical,02/06/2017,10:23,left,true,2707,2,2_1_1_0,word_2_word_1_word_3,different,orange,English_Speech,not_pilot_apparently,megan,,,,,,,,,male
RAhJG,4,5,fem_plain,fem_sws,2,orange,mouth,car,car,orange,mouth,fem_plain_fem_sws,critical,02/06/2017,10:23,right,true,1965,1,2_1_1_0,word_2_word_1_word_3,different,mouth,English_Speech,not_pilot_apparently,megan,,,,,,,,,male
RAhJG,4,5,fem_plain,fem_sws,3,orange,mouth,car,car,orange,mouth,fem_plain_fem_sws,critical,02/06/2017,10:23,top_img,true,2858,2,2_1_1_0,word_2_word_1_word_3,different,car,English_Speech,not_pilot_apparently,megan,,,,,,,,,male
RAhJG,5,17,fem_plain,fem_sws,1,cake,hand,ambulance,ambulance,hand,cake,fem_plain_fem_sws,critical,02/06/2017,10:23,right,true,2450,2,2_1_2_0,word_2_word_3_word_1,different,cake,English_Speech,not_pilot_apparently,megan,,,,,,,,,male
RAhJG,5,17,fem_plain,fem_sws,2,cake,hand,ambulance,ambulance,hand,cake,fem_plain_fem_sws,critical,02/06/2017,10:23,left,true,3096,1,2_1_2_0,word_2_word_3_word_1,different,hand,English_Speech,not_pilot_apparently,megan,,,,,,,,,male
RAhJG,5,17,fem_plain,fem_sws,3,cake,hand,ambulance,ambulance,hand,cake,fem_plain_fem_sws,critical,02/06/2017,10:23,top_img,true,2495,2,2_1_2_0,word_2_word_3_word_1,different,ambulance,English_Speech,not_pilot_apparently,megan,,,,,,,,,male
RAhJG,6,12,fem_plain,fem_sws,1,gloves,yoghurt,gloves,gloves,yoghurt,foot,fem_plain_fem_sws,critical,02/06/2017,10:23,top_img,true,3398,2,2_1_2_1,word_3_word_2_word_1,far,gloves,English_Speech,not_pilot_apparently,megan,,,,,,,,,male
RAhJG,6,12,fem_plain,fem_sws,2,gloves,yoghurt,gloves,gloves,yoghurt,foot,fem_plain_fem_sws,critical,02/06/2017,10:23,left,true,2173,1,2_1_2_1,word_3_word_2_word_1,far,yoghurt,English_Speech,not_pilot_apparently,megan,,,,,,,,,male
RAhJG,6,12,fem_plain,fem_sws,3,gloves,yoghurt,gloves,gloves,yoghurt,foot,fem_plain_fem_sws,critical,02/06/2017,10:23,right,false,4205,2,2_1_2_1,word_3_word_2_word_1,far,foot,English_Speech,not_pilot_apparently,megan,,,,,,,,,male
RAhJG,7,13,fem_plain,fem_sws,1,toothbrush,airplane,airplane,bread,airplane,toothbrush,fem_plain_fem_sws,critical,02/06/2017,10:23,right,true,2564,2,1_2_2_1,word_3_word_2_word_1,near,toothbrush,English_Speech,not_pilot_apparently,megan,,,,,,,,,male
