subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
TwCmd,1,0,mal_plain,fem_sws,1,glasses,tractor,fireman,tractor,glasses,fireman,mal_plain_fem_sws,training,1/11/2017,11:32,left,true,14373,2,2_1_2_0,word_3_word_2_word_1,different,glasses,English_Speech,preschool,katy,,,,,,,,,male
TwCmd,1,0,mal_plain,fem_sws,2,glasses,tractor,fireman,tractor,glasses,fireman,mal_plain_fem_sws,training,1/11/2017,11:32,top_img,true,6195,1,2_1_2_0,word_3_word_2_word_1,different,tractor,English_Speech,preschool,katy,,,,,,,,,male
TwCmd,1,0,mal_plain,fem_sws,3,glasses,tractor,fireman,tractor,glasses,fireman,mal_plain_fem_sws,training,1/11/2017,11:32,right,true,3333,6,2_1_2_0,word_3_word_2_word_1,different,fireman,English_Speech,preschool,katy,,,,,,,,,male
TwCmd,2,7,mal_plain,fem_sws,1,cat,horse,cat,horse,lolly,cat,mal_plain_fem_sws,critical,1/11/2017,11:32,right,true,3577,2,1_2_1_1,word_2_word_1_word_3,far,cat,English_Speech,preschool,katy,,,,,,,,,male
TwCmd,2,7,mal_plain,fem_sws,2,cat,horse,cat,horse,lolly,cat,mal_plain_fem_sws,critical,1/11/2017,11:32,top_img,true,2489,2,1_2_1_1,word_2_word_1_word_3,far,horse,English_Speech,preschool,katy,,,,,,,,,male
TwCmd,2,7,mal_plain,fem_sws,3,cat,horse,cat,horse,lolly,cat,mal_plain_fem_sws,critical,1/11/2017,11:32,right,true,5546,3,1_2_1_1,word_2_word_1_word_3,far,cat,English_Speech,preschool,katy,,,,,,,,,male
TwCmd,3,23,mal_plain,fem_sws,1,bath,teddy_bear,bath,teddy_bear,bath,table,mal_plain_fem_sws,critical,1/11/2017,11:32,left,true,2853,1,2_1_2_1,word_2_word_1_word_3,far,bath,English_Speech,preschool,katy,,,,,,,,,male
TwCmd,3,23,mal_plain,fem_sws,2,bath,teddy_bear,bath,teddy_bear,bath,table,mal_plain_fem_sws,critical,1/11/2017,11:32,right,false,2788,1,2_1_2_1,word_2_word_1_word_3,far,table,English_Speech,preschool,katy,,,,,,,,,male
TwCmd,3,23,mal_plain,fem_sws,3,bath,teddy_bear,bath,teddy_bear,bath,table,mal_plain_fem_sws,critical,1/11/2017,11:32,top_img,false,10298,3,2_1_2_1,word_2_word_1_word_3,far,teddy_bear,English_Speech,preschool,katy,,,,,,,,,male
TwCmd,4,2,mal_plain,fem_sws,1,chicken,bed,fork,fork,bed,chicken,mal_plain_fem_sws,critical,1/11/2017,11:32,right,true,3024,2,2_1_1_0,word_3_word_1_word_2,different,chicken,English_Speech,preschool,katy,,,,,,,,,male
TwCmd,4,2,mal_plain,fem_sws,2,chicken,bed,fork,fork,bed,chicken,mal_plain_fem_sws,critical,1/11/2017,11:32,left,true,3610,4,2_1_1_0,word_3_word_1_word_2,different,bed,English_Speech,preschool,katy,,,,,,,,,male
