subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
cfEzZ,1,0,mal_plain,mal_sws,1,tractor,fireman,glasses,fireman,glasses,tractor,mal_plain_mal_sws,training,1/5/2017,17:51,right,true,8944,2,2_1_2_0,word_1_word_2_word_3,different,tractor,English_Speech,home,katy,2012-07-24,,,,,,,,female
cfEzZ,1,0,mal_plain,mal_sws,2,tractor,fireman,glasses,fireman,glasses,tractor,mal_plain_mal_sws,training,1/5/2017,17:51,top_img,true,5551,4,2_1_2_0,word_1_word_2_word_3,different,fireman,English_Speech,home,katy,2012-07-24,,,,,,,,female
cfEzZ,1,0,mal_plain,mal_sws,3,tractor,fireman,glasses,fireman,glasses,tractor,mal_plain_mal_sws,training,1/5/2017,17:51,left,true,7617,4,2_1_2_0,word_1_word_2_word_3,different,glasses,English_Speech,home,katy,2012-07-24,,,,,,,,female
cfEzZ,2,5,mal_plain,mal_sws,1,orange,mouth,mouth,orange,mouth,car,mal_plain_mal_sws,critical,1/5/2017,17:51,top_img,true,10355,2,1_2_2_1,word_1_word_3_word_2,near,orange,English_Speech,home,katy,2012-07-24,,,,,,,,female
cfEzZ,2,5,mal_plain,mal_sws,2,orange,mouth,mouth,orange,mouth,car,mal_plain_mal_sws,critical,1/5/2017,17:51,left,true,4440,2,1_2_2_1,word_1_word_3_word_2,near,mouth,English_Speech,home,katy,2012-07-24,,,,,,,,female
cfEzZ,2,5,mal_plain,mal_sws,3,orange,mouth,mouth,orange,mouth,car,mal_plain_mal_sws,critical,1/5/2017,17:51,left,true,7030,2,1_2_2_1,word_1_word_3_word_2,near,mouth,English_Speech,home,katy,2012-07-24,,,,,,,,female
cfEzZ,3,4,mal_plain,mal_sws,1,flower,coat,strawberry,flower,coat,strawberry,mal_plain_mal_sws,critical,1/5/2017,17:51,top_img,true,5502,2,2_1_2_0,word_3_word_1_word_2,different,flower,English_Speech,home,katy,2012-07-24,,,,,,,,female
cfEzZ,3,4,mal_plain,mal_sws,2,flower,coat,strawberry,flower,coat,strawberry,mal_plain_mal_sws,critical,1/5/2017,17:51,left,true,4456,4,2_1_2_0,word_3_word_1_word_2,different,coat,English_Speech,home,katy,2012-07-24,,,,,,,,female
cfEzZ,3,4,mal_plain,mal_sws,3,flower,coat,strawberry,flower,coat,strawberry,mal_plain_mal_sws,critical,1/5/2017,17:51,top_img,false,5475,2,2_1_2_0,word_3_word_1_word_2,different,flower,English_Speech,home,katy,2012-07-24,,,,,,,,female
cfEzZ,4,14,mal_plain,mal_sws,1,shoes,door,cheese,door,cheese,shoes,mal_plain_mal_sws,critical,1/5/2017,17:51,right,true,7433,1,2_1_1_0,word_3_word_1_word_2,different,shoes,English_Speech,home,katy,2012-07-24,,,,,,,,female
cfEzZ,4,14,mal_plain,mal_sws,2,shoes,door,cheese,door,cheese,shoes,mal_plain_mal_sws,critical,1/5/2017,17:51,top_img,true,7602,3,2_1_1_0,word_3_word_1_word_2,different,door,English_Speech,home,katy,2012-07-24,,,,,,,,female
cfEzZ,4,14,mal_plain,mal_sws,3,shoes,door,cheese,door,cheese,shoes,mal_plain_mal_sws,critical,1/5/2017,17:51,right,false,6051,3,2_1_1_0,word_3_word_1_word_2,different,shoes,English_Speech,home,katy,2012-07-24,,,,,,,,female
cfEzZ,5,6,mal_plain,mal_sws,1,bird,peas,peas,peas,bird,carrot,mal_plain_mal_sws,critical,1/5/2017,17:51,left,true,5507,4,2_1_1_1,word_2_word_1_word_3,near,bird,English_Speech,home,katy,2012-07-24,,,,,,,,female
cfEzZ,5,6,mal_plain,mal_sws,2,bird,peas,peas,peas,bird,carrot,mal_plain_mal_sws,critical,1/5/2017,17:51,top_img,true,3773,2,2_1_1_1,word_2_word_1_word_3,near,peas,English_Speech,home,katy,2012-07-24,,,,,,,,female
cfEzZ,5,6,mal_plain,mal_sws,3,bird,peas,peas,peas,bird,carrot,mal_plain_mal_sws,critical,1/5/2017,17:51,top_img,true,20518,1,2_1_1_1,word_2_word_1_word_3,near,peas,English_Speech,home,katy,2012-07-24,,,,,,,,female
cfEzZ,6,10,mal_plain,mal_sws,1,pig,tshirt,pig,pig,hat,tshirt,mal_plain_mal_sws,critical,1/5/2017,17:51,top_img,true,5981,2,1_2_1_1,word_1_word_3_word_2,far,pig,English_Speech,home,katy,2012-07-24,,,,,,,,female
cfEzZ,6,10,mal_plain,mal_sws,2,pig,tshirt,pig,pig,hat,tshirt,mal_plain_mal_sws,critical,1/5/2017,17:51,right,true,10340,2,1_2_1_1,word_1_word_3_word_2,far,tshirt,English_Speech,home,katy,2012-07-24,,,,,,,,female
cfEzZ,6,10,mal_plain,mal_sws,3,pig,tshirt,pig,pig,hat,tshirt,mal_plain_mal_sws,critical,1/5/2017,17:51,top_img,true,10342,1,1_2_1_1,word_1_word_3_word_2,far,pig,English_Speech,home,katy,2012-07-24,,,,,,,,female
cfEzZ,7,23,mal_plain,mal_sws,1,teddy_bear,table,bath,teddy_bear,table,bath,mal_plain_mal_sws,critical,1/5/2017,17:51,top_img,true,5449,2,2_1_1_0,word_2_word_3_word_1,different,teddy_bear,English_Speech,home,katy,2012-07-24,,,,,,,,female
cfEzZ,7,23,mal_plain,mal_sws,2,teddy_bear,table,bath,teddy_bear,table,bath,mal_plain_mal_sws,critical,1/5/2017,17:51,top_img,false,5401,2,2_1_1_0,word_2_word_3_word_1,different,teddy_bear,English_Speech,home,katy,2012-07-24,,,,,,,,female
cfEzZ,7,23,mal_plain,mal_sws,3,teddy_bear,table,bath,teddy_bear,table,bath,mal_plain_mal_sws,critical,1/5/2017,17:51,right,true,5470,4,2_1_1_0,word_2_word_3_word_1,different,bath,English_Speech,home,katy,2012-07-24,,,,,,,,female
