subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
cmCq9,1,0,mal_plain,fem_sws,1,fireman,tractor,fireman,fireman,tractor,glasses,mal_plain_fem_sws,training,2/1/2017,10:23,top_img,true,5097,2,2_1_2_1,word_1_word_3_word_2,far,fireman,English_Speech,preschool,hanna,2013-05-10,,English,,,,1,1,female
cmCq9,1,0,mal_plain,fem_sws,2,fireman,tractor,fireman,fireman,tractor,glasses,mal_plain_fem_sws,training,2/1/2017,10:23,left,true,2272,2,2_1_2_1,word_1_word_3_word_2,far,tractor,English_Speech,preschool,hanna,2013-05-10,,English,,,,1,1,female
cmCq9,1,0,mal_plain,fem_sws,3,fireman,tractor,fireman,fireman,tractor,glasses,mal_plain_fem_sws,training,2/1/2017,10:23,top_img,true,5115,12,2_1_2_1,word_1_word_3_word_2,far,fireman,English_Speech,preschool,hanna,2013-05-10,,English,,,,1,1,female
cmCq9,2,19,mal_plain,fem_sws,1,santa,building_blocks,santa,tree,building_blocks,santa,mal_plain_fem_sws,critical,2/1/2017,10:23,right,true,2847,2,2_1_2_1,word_3_word_2_word_1,far,santa,English_Speech,preschool,hanna,2013-05-10,,English,,,,1,1,female
cmCq9,2,19,mal_plain,fem_sws,2,santa,building_blocks,santa,tree,building_blocks,santa,mal_plain_fem_sws,critical,2/1/2017,10:23,left,true,4216,2,2_1_2_1,word_3_word_2_word_1,far,building_blocks,English_Speech,preschool,hanna,2013-05-10,,English,,,,1,1,female
cmCq9,2,19,mal_plain,fem_sws,3,santa,building_blocks,santa,tree,building_blocks,santa,mal_plain_fem_sws,critical,2/1/2017,10:23,top_img,false,6653,6,2_1_2_1,word_3_word_2_word_1,far,tree,English_Speech,preschool,hanna,2013-05-10,,English,,,,1,1,female
cmCq9,3,14,mal_plain,fem_sws,1,cheese,door,shoes,cheese,door,shoes,mal_plain_fem_sws,critical,2/1/2017,10:23,top_img,true,2613,2,2_1_1_0,word_1_word_3_word_2,different,cheese,English_Speech,preschool,hanna,2013-05-10,,English,,,,1,1,female
cmCq9,3,14,mal_plain,fem_sws,2,cheese,door,shoes,cheese,door,shoes,mal_plain_fem_sws,critical,2/1/2017,10:23,left,true,2377,2,2_1_1_0,word_1_word_3_word_2,different,door,English_Speech,preschool,hanna,2013-05-10,,English,,,,1,1,female
cmCq9,3,14,mal_plain,fem_sws,3,cheese,door,shoes,cheese,door,shoes,mal_plain_fem_sws,critical,2/1/2017,10:23,right,true,5666,10,2_1_1_0,word_1_word_3_word_2,different,shoes,English_Speech,preschool,hanna,2013-05-10,,English,,,,1,1,female
cmCq9,4,11,mal_plain,fem_sws,1,lorry,cow,book,lorry,book,cow,mal_plain_fem_sws,critical,2/1/2017,10:23,top_img,true,2619,2,2_1_1_0,word_2_word_1_word_3,different,lorry,English_Speech,preschool,hanna,2013-05-10,,English,,,,1,1,female
