subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
cwZoG,1,0,mal_plain,mal_sws,1,tractor,fireman,glasses,fireman,glasses,tractor,mal_plain_mal_sws,training,2/1/2017,10:23,right,true,3253,2,1_2_2_0,word_1_word_2_word_3,different,tractor,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,1,0,mal_plain,mal_sws,2,tractor,fireman,glasses,fireman,glasses,tractor,mal_plain_mal_sws,training,2/1/2017,10:23,top_img,true,2839,2,1_2_2_0,word_1_word_2_word_3,different,fireman,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,1,0,mal_plain,mal_sws,3,tractor,fireman,glasses,fireman,glasses,tractor,mal_plain_mal_sws,training,2/1/2017,10:23,left,true,6185,2,1_2_2_0,word_1_word_2_word_3,different,glasses,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,2,17,mal_plain,mal_sws,1,hand,cake,ambulance,hand,ambulance,cake,mal_plain_mal_sws,critical,2/1/2017,10:23,top_img,true,2686,2,2_1_1_0,word_3_word_2_word_1,different,hand,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,2,17,mal_plain,mal_sws,2,hand,cake,ambulance,hand,ambulance,cake,mal_plain_mal_sws,critical,2/1/2017,10:23,right,true,1999,2,2_1_1_0,word_3_word_2_word_1,different,cake,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,2,17,mal_plain,mal_sws,3,hand,cake,ambulance,hand,ambulance,cake,mal_plain_mal_sws,critical,2/1/2017,10:23,left,true,2800,4,2_1_1_0,word_3_word_2_word_1,different,ambulance,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,3,13,mal_plain,mal_sws,1,airplane,bread,airplane,toothbrush,bread,airplane,mal_plain_mal_sws,critical,2/1/2017,10:23,right,true,2564,2,2_1_2_1,word_1_word_3_word_2,far,airplane,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,3,13,mal_plain,mal_sws,2,airplane,bread,airplane,toothbrush,bread,airplane,mal_plain_mal_sws,critical,2/1/2017,10:23,left,true,2746,2,2_1_2_1,word_1_word_3_word_2,far,bread,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,3,13,mal_plain,mal_sws,3,airplane,bread,airplane,toothbrush,bread,airplane,mal_plain_mal_sws,critical,2/1/2017,10:23,top_img,false,6392,2,2_1_2_1,word_1_word_3_word_2,far,toothbrush,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,4,11,mal_plain,mal_sws,1,book,lorry,book,cow,book,lorry,mal_plain_mal_sws,critical,2/1/2017,10:23,left,true,2973,2,1_2_1_1,word_3_word_1_word_2,far,book,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,4,11,mal_plain,mal_sws,2,book,lorry,book,cow,book,lorry,mal_plain_mal_sws,critical,2/1/2017,10:23,right,true,2263,2,1_2_1_1,word_3_word_1_word_2,far,lorry,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,4,11,mal_plain,mal_sws,3,book,lorry,book,cow,book,lorry,mal_plain_mal_sws,critical,2/1/2017,10:23,top_img,false,3530,1,1_2_1_1,word_3_word_1_word_2,far,cow,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,5,20,mal_plain,mal_sws,1,rabbit,apple,jumper,apple,jumper,rabbit,mal_plain_mal_sws,critical,2/1/2017,10:23,right,true,2132,2,2_1_2_0,word_3_word_1_word_2,different,rabbit,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,5,20,mal_plain,mal_sws,2,rabbit,apple,jumper,apple,jumper,rabbit,mal_plain_mal_sws,critical,2/1/2017,10:23,top_img,true,2585,1,2_1_2_0,word_3_word_1_word_2,different,apple,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,5,20,mal_plain,mal_sws,3,rabbit,apple,jumper,apple,jumper,rabbit,mal_plain_mal_sws,critical,2/1/2017,10:23,left,true,3535,2,2_1_2_0,word_3_word_1_word_2,different,jumper,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,6,1,mal_plain,mal_sws,1,train,spoon,baby,train,baby,spoon,mal_plain_mal_sws,critical,2/1/2017,10:23,top_img,true,1998,2,2_1_1_0,word_3_word_2_word_1,different,train,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,6,1,mal_plain,mal_sws,2,train,spoon,baby,train,baby,spoon,mal_plain_mal_sws,critical,2/1/2017,10:23,right,true,2143,1,2_1_1_0,word_3_word_2_word_1,different,spoon,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,6,1,mal_plain,mal_sws,3,train,spoon,baby,train,baby,spoon,mal_plain_mal_sws,critical,2/1/2017,10:23,left,true,2901,2,2_1_1_0,word_3_word_2_word_1,different,baby,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,7,23,mal_plain,mal_sws,1,teddy_bear,bath,bath,teddy_bear,table,bath,mal_plain_mal_sws,critical,2/1/2017,10:23,top_img,true,2005,2,2_1_1_1,word_2_word_3_word_1,near,teddy_bear,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,7,23,mal_plain,mal_sws,2,teddy_bear,bath,bath,teddy_bear,table,bath,mal_plain_mal_sws,critical,2/1/2017,10:23,right,true,2180,2,2_1_1_1,word_2_word_3_word_1,near,bath,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,7,23,mal_plain,mal_sws,3,teddy_bear,bath,bath,teddy_bear,table,bath,mal_plain_mal_sws,critical,2/1/2017,10:23,right,true,4286,2,2_1_1_1,word_2_word_3_word_1,near,bath,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,8,3,mal_plain,mal_sws,1,telephone,trousers,telephone,trousers,nose,telephone,mal_plain_mal_sws,critical,2/1/2017,10:23,right,true,3161,2,2_1_2_1,word_1_word_2_word_3,far,telephone,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,8,3,mal_plain,mal_sws,2,telephone,trousers,telephone,trousers,nose,telephone,mal_plain_mal_sws,critical,2/1/2017,10:23,top_img,true,2386,1,2_1_2_1,word_1_word_2_word_3,far,trousers,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,8,3,mal_plain,mal_sws,3,telephone,trousers,telephone,trousers,nose,telephone,mal_plain_mal_sws,critical,2/1/2017,10:23,left,false,4568,2,2_1_2_1,word_1_word_2_word_3,far,nose,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,9,19,mal_plain,mal_sws,1,santa,building_blocks,building_blocks,tree,building_blocks,santa,mal_plain_mal_sws,critical,2/1/2017,10:23,right,true,2629,2,1_2_2_1,word_3_word_2_word_1,near,santa,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,9,19,mal_plain,mal_sws,2,santa,building_blocks,building_blocks,tree,building_blocks,santa,mal_plain_mal_sws,critical,2/1/2017,10:23,left,true,2298,1,1_2_2_1,word_3_word_2_word_1,near,building_blocks,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,9,19,mal_plain,mal_sws,3,santa,building_blocks,building_blocks,tree,building_blocks,santa,mal_plain_mal_sws,critical,2/1/2017,10:23,left,true,4404,2,1_2_2_1,word_3_word_2_word_1,near,building_blocks,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,10,15,mal_plain,mal_sws,1,slide,beans,slide,beans,slide,pencil,mal_plain_mal_sws,critical,2/1/2017,10:23,left,true,3638,2,2_1_2_1,word_3_word_1_word_2,far,slide,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,10,15,mal_plain,mal_sws,2,slide,beans,slide,beans,slide,pencil,mal_plain_mal_sws,critical,2/1/2017,10:23,top_img,true,2198,1,2_1_2_1,word_3_word_1_word_2,far,beans,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,10,15,mal_plain,mal_sws,3,slide,beans,slide,beans,slide,pencil,mal_plain_mal_sws,critical,2/1/2017,10:23,left,true,2928,2,2_1_2_1,word_3_word_1_word_2,far,slide,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,11,21,mal_plain,mal_sws,1,eye,frog,sheep,eye,sheep,frog,mal_plain_mal_sws,critical,2/1/2017,10:23,top_img,true,3204,2,2_1_1_0,word_3_word_2_word_1,different,eye,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,11,21,mal_plain,mal_sws,2,eye,frog,sheep,eye,sheep,frog,mal_plain_mal_sws,critical,2/1/2017,10:23,right,true,2871,2,2_1_1_0,word_3_word_2_word_1,different,frog,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,11,21,mal_plain,mal_sws,3,eye,frog,sheep,eye,sheep,frog,mal_plain_mal_sws,critical,2/1/2017,10:23,left,true,4039,2,2_1_1_0,word_3_word_2_word_1,different,sheep,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,12,9,mal_plain,mal_sws,1,window,pizza,grapes,pizza,grapes,window,mal_plain_mal_sws,critical,2/1/2017,10:23,right,true,2327,2,2_1_1_0,word_1_word_3_word_2,different,window,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,12,9,mal_plain,mal_sws,2,window,pizza,grapes,pizza,grapes,window,mal_plain_mal_sws,critical,2/1/2017,10:23,top_img,true,2231,2,2_1_1_0,word_1_word_3_word_2,different,pizza,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,12,9,mal_plain,mal_sws,3,window,pizza,grapes,pizza,grapes,window,mal_plain_mal_sws,critical,2/1/2017,10:23,right,false,3960,2,2_1_1_0,word_1_word_3_word_2,different,window,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,13,8,mal_plain,mal_sws,1,ear,fire_engine,fire_engine,wellyboots,fire_engine,ear,mal_plain_mal_sws,critical,2/1/2017,10:23,right,true,4340,2,1_2_2_1,word_1_word_2_word_3,near,ear,English_Speech,preschool,megan,,,,,,,,,male
cwZoG,13,8,mal_plain,mal_sws,2,ear,fire_engine,fire_engine,wellyboots,fire_engine,ear,mal_plain_mal_sws,critical,2/1/2017,10:23,left,true,2509,2,1_2_2_1,word_1_word_2_word_3,near,fire_engine,English_Speech,preschool,megan,,,,,,,,,male
