subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
jBAbW,1,0,fem_plain,fem_sws,1,fireman,tractor,fireman,tractor,glasses,fireman,fem_plain_fem_sws,training,2/1/2017,10:10,right,true,2404,4,2_1_2_1,word_3_word_2_word_1,far,fireman,English_Speech,preschool,hanna,2012-10-20,,English,,,,,0,male
jBAbW,1,0,fem_plain,fem_sws,2,fireman,tractor,fireman,tractor,glasses,fireman,fem_plain_fem_sws,training,2/1/2017,10:10,top_img,true,2217,2,2_1_2_1,word_3_word_2_word_1,far,tractor,English_Speech,preschool,hanna,2012-10-20,,English,,,,,0,male
jBAbW,1,0,fem_plain,fem_sws,3,fireman,tractor,fireman,tractor,glasses,fireman,fem_plain_fem_sws,training,2/1/2017,10:10,right,true,3757,2,2_1_2_1,word_3_word_2_word_1,far,fireman,English_Speech,preschool,hanna,2012-10-20,,English,,,,,0,male
jBAbW,2,4,fem_plain,fem_sws,1,flower,coat,flower,coat,flower,strawberry,fem_plain_fem_sws,critical,2/1/2017,10:10,left,true,2915,2,2_1_2_1,word_1_word_3_word_2,far,flower,English_Speech,preschool,hanna,2012-10-20,,English,,,,,0,male
jBAbW,2,4,fem_plain,fem_sws,2,flower,coat,flower,coat,flower,strawberry,fem_plain_fem_sws,critical,2/1/2017,10:10,top_img,true,2390,4,2_1_2_1,word_1_word_3_word_2,far,coat,English_Speech,preschool,hanna,2012-10-20,,English,,,,,0,male
jBAbW,2,4,fem_plain,fem_sws,3,flower,coat,flower,coat,flower,strawberry,fem_plain_fem_sws,critical,2/1/2017,10:10,left,true,3146,1,2_1_2_1,word_1_word_3_word_2,far,flower,English_Speech,preschool,hanna,2012-10-20,,English,,,,,0,male
jBAbW,3,10,fem_plain,fem_sws,1,pig,tshirt,hat,pig,hat,tshirt,fem_plain_fem_sws,critical,2/1/2017,10:10,top_img,true,1891,2,1_2_2_0,word_1_word_3_word_2,different,pig,English_Speech,preschool,hanna,2012-10-20,,English,,,,,0,male
jBAbW,3,10,fem_plain,fem_sws,2,pig,tshirt,hat,pig,hat,tshirt,fem_plain_fem_sws,critical,2/1/2017,10:10,right,true,5582,2,1_2_2_0,word_1_word_3_word_2,different,tshirt,English_Speech,preschool,hanna,2012-10-20,,English,,,,,0,male
jBAbW,3,10,fem_plain,fem_sws,3,pig,tshirt,hat,pig,hat,tshirt,fem_plain_fem_sws,critical,2/1/2017,10:10,top_img,false,9048,4,1_2_2_0,word_1_word_3_word_2,different,pig,English_Speech,preschool,hanna,2012-10-20,,English,,,,,0,male
jBAbW,4,17,fem_plain,fem_sws,1,ambulance,hand,cake,hand,cake,ambulance,fem_plain_fem_sws,critical,2/1/2017,10:10,right,true,2375,2,1_2_2_0,word_3_word_1_word_2,different,ambulance,English_Speech,preschool,hanna,2012-10-20,,English,,,,,0,male
jBAbW,4,17,fem_plain,fem_sws,2,ambulance,hand,cake,hand,cake,ambulance,fem_plain_fem_sws,critical,2/1/2017,10:10,top_img,true,2605,2,1_2_2_0,word_3_word_1_word_2,different,hand,English_Speech,preschool,hanna,2012-10-20,,English,,,,,0,male
jBAbW,4,17,fem_plain,fem_sws,3,ambulance,hand,cake,hand,cake,ambulance,fem_plain_fem_sws,critical,2/1/2017,10:10,right,false,6230,4,1_2_2_0,word_3_word_1_word_2,different,ambulance,English_Speech,preschool,hanna,2012-10-20,,English,,,,,0,male
jBAbW,5,7,fem_plain,fem_sws,1,lolly,cat,lolly,lolly,cat,horse,fem_plain_fem_sws,critical,2/1/2017,10:10,top_img,true,3245,2,2_1_2_1,word_1_word_3_word_2,far,lolly,English_Speech,preschool,hanna,2012-10-20,,English,,,,,0,male
jBAbW,5,7,fem_plain,fem_sws,2,lolly,cat,lolly,lolly,cat,horse,fem_plain_fem_sws,critical,2/1/2017,10:10,left,true,3192,1,2_1_2_1,word_1_word_3_word_2,far,cat,English_Speech,preschool,hanna,2012-10-20,,English,,,,,0,male
jBAbW,5,7,fem_plain,fem_sws,3,lolly,cat,lolly,lolly,cat,horse,fem_plain_fem_sws,critical,2/1/2017,10:10,top_img,true,3475,2,2_1_2_1,word_1_word_3_word_2,far,lolly,English_Speech,preschool,hanna,2012-10-20,,English,,,,,0,male
jBAbW,6,23,fem_plain,fem_sws,1,bath,table,teddy_bear,bath,teddy_bear,table,fem_plain_fem_sws,critical,2/1/2017,10:10,top_img,true,2481,8,2_1_1_0,word_1_word_2_word_3,different,bath,English_Speech,preschool,hanna,2012-10-20,,English,,,,,0,male
jBAbW,6,23,fem_plain,fem_sws,2,bath,table,teddy_bear,bath,teddy_bear,table,fem_plain_fem_sws,critical,2/1/2017,10:10,right,true,2646,2,2_1_1_0,word_1_word_2_word_3,different,table,English_Speech,preschool,hanna,2012-10-20,,English,,,,,0,male
jBAbW,6,23,fem_plain,fem_sws,3,bath,table,teddy_bear,bath,teddy_bear,table,fem_plain_fem_sws,critical,2/1/2017,10:10,right,false,4097,2,2_1_1_0,word_1_word_2_word_3,different,table,English_Speech,preschool,hanna,2012-10-20,,English,,,,,0,male
