subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
jMSWa,1,0,mal_plain,fem_sws,1,fireman,glasses,fireman,fireman,tractor,glasses,mal_plain_fem_sws,training,2/1/2017,9:14,top_img,true,12571,1,1_2_1_1,word_1_word_3_word_2,far,fireman,English_Speech,preschool,katy,,,,,,,,,male
jMSWa,1,0,mal_plain,fem_sws,2,fireman,glasses,fireman,fireman,tractor,glasses,mal_plain_fem_sws,training,2/1/2017,9:14,right,true,2399,2,1_2_1_1,word_1_word_3_word_2,far,glasses,English_Speech,preschool,katy,,,,,,,,,male
jMSWa,1,0,mal_plain,fem_sws,3,fireman,glasses,fireman,fireman,tractor,glasses,mal_plain_fem_sws,training,2/1/2017,9:14,top_img,true,7299,8,1_2_1_1,word_1_word_3_word_2,far,fireman,English_Speech,preschool,katy,,,,,,,,,male
jMSWa,2,19,mal_plain,fem_sws,1,building_blocks,santa,tree,tree,building_blocks,santa,mal_plain_fem_sws,critical,2/1/2017,9:14,left,true,3046,2,2_1_1_0,word_3_word_2_word_1,different,building_blocks,English_Speech,preschool,katy,,,,,,,,,male
jMSWa,2,19,mal_plain,fem_sws,2,building_blocks,santa,tree,tree,building_blocks,santa,mal_plain_fem_sws,critical,2/1/2017,9:14,right,true,2755,2,2_1_1_0,word_3_word_2_word_1,different,santa,English_Speech,preschool,katy,,,,,,,,,male
jMSWa,2,19,mal_plain,fem_sws,3,building_blocks,santa,tree,tree,building_blocks,santa,mal_plain_fem_sws,critical,2/1/2017,9:14,top_img,true,5100,2,2_1_1_0,word_3_word_2_word_1,different,tree,English_Speech,preschool,katy,,,,,,,,,male
jMSWa,3,12,mal_plain,fem_sws,1,gloves,foot,gloves,foot,gloves,yoghurt,mal_plain_fem_sws,critical,2/1/2017,9:14,left,true,2961,2,2_1_2_1,word_1_word_3_word_2,far,gloves,English_Speech,preschool,katy,,,,,,,,,male
jMSWa,3,12,mal_plain,fem_sws,2,gloves,foot,gloves,foot,gloves,yoghurt,mal_plain_fem_sws,critical,2/1/2017,9:14,top_img,true,2539,2,2_1_2_1,word_1_word_3_word_2,far,foot,English_Speech,preschool,katy,,,,,,,,,male
jMSWa,3,12,mal_plain,fem_sws,3,gloves,foot,gloves,foot,gloves,yoghurt,mal_plain_fem_sws,critical,2/1/2017,9:14,left,true,5187,2,2_1_2_1,word_1_word_3_word_2,far,gloves,English_Speech,preschool,katy,,,,,,,,,male
jMSWa,4,15,mal_plain,fem_sws,1,pencil,beans,slide,pencil,beans,slide,mal_plain_fem_sws,critical,2/1/2017,9:14,top_img,true,2597,2,2_1_1_0,word_2_word_3_word_1,different,pencil,English_Speech,preschool,katy,,,,,,,,,male
