subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
lgJ9e,1,0,mal_plain,mal_sws,1,tractor,glasses,tractor,fireman,tractor,glasses,mal_plain_mal_sws,training,2/1/2017,11:20,left,true,13697,2,2_1_2_1,word_1_word_3_word_2,far,tractor,English_Speech,preschool,megan,,,,,,,,,female
lgJ9e,1,0,mal_plain,mal_sws,2,tractor,glasses,tractor,fireman,tractor,glasses,mal_plain_mal_sws,training,2/1/2017,11:20,right,true,3538,2,2_1_2_1,word_1_word_3_word_2,far,glasses,English_Speech,preschool,megan,,,,,,,,,female
lgJ9e,1,0,mal_plain,mal_sws,3,tractor,glasses,tractor,fireman,tractor,glasses,mal_plain_mal_sws,training,2/1/2017,11:20,left,true,8655,4,2_1_2_1,word_1_word_3_word_2,far,tractor,English_Speech,preschool,megan,,,,,,,,,female
lgJ9e,2,22,mal_plain,mal_sws,1,dog,doctor,bike,bike,doctor,dog,mal_plain_mal_sws,critical,2/1/2017,11:20,right,true,4376,2,2_1_1_0,word_1_word_3_word_2,different,dog,English_Speech,preschool,megan,,,,,,,,,female
lgJ9e,2,22,mal_plain,mal_sws,2,dog,doctor,bike,bike,doctor,dog,mal_plain_mal_sws,critical,2/1/2017,11:20,left,true,3062,2,2_1_1_0,word_1_word_3_word_2,different,doctor,English_Speech,preschool,megan,,,,,,,,,female
lgJ9e,2,22,mal_plain,mal_sws,3,dog,doctor,bike,bike,doctor,dog,mal_plain_mal_sws,critical,2/1/2017,11:20,top_img,true,697,4,2_1_1_0,word_1_word_3_word_2,different,bike,English_Speech,preschool,megan,,,,,,,,,female
lgJ9e,3,2,mal_plain,mal_sws,1,chicken,fork,chicken,bed,chicken,fork,mal_plain_mal_sws,critical,2/1/2017,11:20,left,true,7400,2,1_2_1_1,word_1_word_2_word_3,far,chicken,English_Speech,preschool,megan,,,,,,,,,female
lgJ9e,3,2,mal_plain,mal_sws,2,chicken,fork,chicken,bed,chicken,fork,mal_plain_mal_sws,critical,2/1/2017,11:20,right,true,3159,2,1_2_1_1,word_1_word_2_word_3,far,fork,English_Speech,preschool,megan,,,,,,,,,female
lgJ9e,3,2,mal_plain,mal_sws,3,chicken,fork,chicken,bed,chicken,fork,mal_plain_mal_sws,critical,2/1/2017,11:20,left,true,2976,5,1_2_1_1,word_1_word_2_word_3,far,chicken,English_Speech,preschool,megan,,,,,,,,,female
lgJ9e,4,8,mal_plain,mal_sws,1,wellyboots,fire_engine,ear,wellyboots,ear,fire_engine,mal_plain_mal_sws,critical,2/1/2017,11:20,top_img,true,3632,2,2_1_1_0,word_1_word_3_word_2,different,wellyboots,English_Speech,preschool,megan,,,,,,,,,female
