subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
nzLmX,1,0,fem_plain,mal_sws,1,tractor,fireman,glasses,fireman,tractor,glasses,fem_plain_mal_sws,training,1/25/2017,10:48,left,true,3068,2,2_1_1_0,word_1_word_3_word_2,different,tractor,English_Speech,preschool,megan,,,,,,,,,female
nzLmX,1,0,fem_plain,mal_sws,2,tractor,fireman,glasses,fireman,tractor,glasses,fem_plain_mal_sws,training,1/25/2017,10:48,top_img,true,2080,2,2_1_1_0,word_1_word_3_word_2,different,fireman,English_Speech,preschool,megan,,,,,,,,,female
nzLmX,1,0,fem_plain,mal_sws,3,tractor,fireman,glasses,fireman,tractor,glasses,fem_plain_mal_sws,training,1/25/2017,10:48,right,true,4701,4,2_1_1_0,word_1_word_3_word_2,different,glasses,English_Speech,preschool,megan,,,,,,,,,female
nzLmX,2,21,fem_plain,mal_sws,1,sheep,eye,eye,frog,eye,sheep,fem_plain_mal_sws,critical,1/25/2017,10:48,right,true,2478,2,1_2_2_1,word_1_word_3_word_2,near,sheep,English_Speech,preschool,megan,,,,,,,,,female
nzLmX,2,21,fem_plain,mal_sws,2,sheep,eye,eye,frog,eye,sheep,fem_plain_mal_sws,critical,1/25/2017,10:48,left,true,2743,2,1_2_2_1,word_1_word_3_word_2,near,eye,English_Speech,preschool,megan,,,,,,,,,female
nzLmX,2,21,fem_plain,mal_sws,3,sheep,eye,eye,frog,eye,sheep,fem_plain_mal_sws,critical,1/25/2017,10:48,left,true,4328,4,1_2_2_1,word_1_word_3_word_2,near,eye,English_Speech,preschool,megan,,,,,,,,,female
nzLmX,3,6,fem_plain,mal_sws,1,bird,peas,carrot,peas,bird,carrot,fem_plain_mal_sws,critical,1/25/2017,10:48,left,true,2238,1,2_1_1_0,word_2_word_1_word_3,different,bird,English_Speech,preschool,megan,,,,,,,,,female
nzLmX,3,6,fem_plain,mal_sws,2,bird,peas,carrot,peas,bird,carrot,fem_plain_mal_sws,critical,1/25/2017,10:48,top_img,true,2058,2,2_1_1_0,word_2_word_1_word_3,different,peas,English_Speech,preschool,megan,,,,,,,,,female
nzLmX,3,6,fem_plain,mal_sws,3,bird,peas,carrot,peas,bird,carrot,fem_plain_mal_sws,critical,1/25/2017,10:48,right,true,4537,2,2_1_1_0,word_2_word_1_word_3,different,carrot,English_Speech,preschool,megan,,,,,,,,,female
nzLmX,4,22,fem_plain,mal_sws,1,dog,bike,doctor,dog,doctor,bike,fem_plain_mal_sws,critical,1/25/2017,10:48,top_img,true,2330,1,1_2_2_0,word_2_word_3_word_1,different,dog,English_Speech,preschool,megan,,,,,,,,,female
