subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
oCdRP,1,0,fem_plain,mal_sws,1,fireman,tractor,glasses,glasses,tractor,fireman,fem_plain_mal_sws,training,2/1/2017,9:54,right,true,2315,1,2_1_1_0,word_2_word_3_word_1,different,fireman,English_Speech,preschool,megan,,,,,,,,,female
oCdRP,1,0,fem_plain,mal_sws,2,fireman,tractor,glasses,glasses,tractor,fireman,fem_plain_mal_sws,training,2/1/2017,9:54,left,true,2517,11,2_1_1_0,word_2_word_3_word_1,different,tractor,English_Speech,preschool,megan,,,,,,,,,female
oCdRP,1,0,fem_plain,mal_sws,3,fireman,tractor,glasses,glasses,tractor,fireman,fem_plain_mal_sws,training,2/1/2017,9:54,top_img,true,7291,4,2_1_1_0,word_2_word_3_word_1,different,glasses,English_Speech,preschool,megan,,,,,,,,,female
oCdRP,2,13,fem_plain,mal_sws,1,airplane,toothbrush,airplane,airplane,toothbrush,bread,fem_plain_mal_sws,critical,2/1/2017,9:54,top_img,true,3741,3,2_1_2_1,word_2_word_1_word_3,far,airplane,English_Speech,preschool,megan,,,,,,,,,female
oCdRP,2,13,fem_plain,mal_sws,2,airplane,toothbrush,airplane,airplane,toothbrush,bread,fem_plain_mal_sws,critical,2/1/2017,9:54,left,true,2399,1,2_1_2_1,word_2_word_1_word_3,far,toothbrush,English_Speech,preschool,megan,,,,,,,,,female
oCdRP,2,13,fem_plain,mal_sws,3,airplane,toothbrush,airplane,airplane,toothbrush,bread,fem_plain_mal_sws,critical,2/1/2017,9:54,top_img,true,1439,6,2_1_2_1,word_2_word_1_word_3,far,airplane,English_Speech,preschool,megan,,,,,,,,,female
oCdRP,3,6,fem_plain,mal_sws,1,peas,carrot,peas,carrot,peas,bird,fem_plain_mal_sws,critical,2/1/2017,9:54,left,true,3447,2,2_1_2_1,word_3_word_2_word_1,far,peas,English_Speech,preschool,megan,,,,,,,,,female
oCdRP,3,6,fem_plain,mal_sws,2,peas,carrot,peas,carrot,peas,bird,fem_plain_mal_sws,critical,2/1/2017,9:54,top_img,true,2599,2,2_1_2_1,word_3_word_2_word_1,far,carrot,English_Speech,preschool,megan,,,,,,,,,female
oCdRP,3,6,fem_plain,mal_sws,3,peas,carrot,peas,carrot,peas,bird,fem_plain_mal_sws,critical,2/1/2017,9:54,left,true,2982,3,2_1_2_1,word_3_word_2_word_1,far,peas,English_Speech,preschool,megan,,,,,,,,,female
oCdRP,4,14,fem_plain,mal_sws,1,shoes,cheese,door,shoes,cheese,door,fem_plain_mal_sws,critical,2/1/2017,9:54,top_img,true,2596,2,1_2_2_0,word_2_word_1_word_3,different,shoes,English_Speech,preschool,megan,,,,,,,,,female
