subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
tOd2W,1,0,fem_plain,fem_sws,1,glasses,fireman,tractor,glasses,tractor,fireman,fem_plain_fem_sws,training,2/2/2017,10:02,top_img,true,3427,2,2_1_1_0,word_2_word_3_word_1,different,glasses,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,1,0,fem_plain,fem_sws,2,glasses,fireman,tractor,glasses,tractor,fireman,fem_plain_fem_sws,training,2/2/2017,10:02,right,true,2251,2,2_1_1_0,word_2_word_3_word_1,different,fireman,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,1,0,fem_plain,fem_sws,3,glasses,fireman,tractor,glasses,tractor,fireman,fem_plain_fem_sws,training,2/2/2017,10:02,left,true,4977,2,2_1_1_0,word_2_word_3_word_1,different,tractor,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,2,11,fem_plain,fem_sws,1,cow,book,lorry,lorry,book,cow,fem_plain_fem_sws,critical,2/2/2017,10:02,right,true,3263,2,2_1_1_0,word_2_word_1_word_3,different,cow,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,2,11,fem_plain,fem_sws,2,cow,book,lorry,lorry,book,cow,fem_plain_fem_sws,critical,2/2/2017,10:02,left,true,2579,2,2_1_1_0,word_2_word_1_word_3,different,book,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,2,11,fem_plain,fem_sws,3,cow,book,lorry,lorry,book,cow,fem_plain_fem_sws,critical,2/2/2017,10:02,top_img,true,3403,2,2_1_1_0,word_2_word_1_word_3,different,lorry,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,3,9,fem_plain,fem_sws,1,window,grapes,pizza,pizza,window,grapes,fem_plain_fem_sws,critical,2/2/2017,10:02,left,true,2566,2,1_2_2_0,word_1_word_2_word_3,different,window,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,3,9,fem_plain,fem_sws,2,window,grapes,pizza,pizza,window,grapes,fem_plain_fem_sws,critical,2/2/2017,10:02,right,true,2147,2,1_2_2_0,word_1_word_2_word_3,different,grapes,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,3,9,fem_plain,fem_sws,3,window,grapes,pizza,pizza,window,grapes,fem_plain_fem_sws,critical,2/2/2017,10:02,top_img,true,3950,1,1_2_2_0,word_1_word_2_word_3,different,pizza,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,4,4,fem_plain,fem_sws,1,strawberry,coat,coat,strawberry,flower,coat,fem_plain_fem_sws,critical,2/2/2017,10:02,top_img,true,2378,2,1_2_2_1,word_2_word_3_word_1,near,strawberry,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,4,4,fem_plain,fem_sws,2,strawberry,coat,coat,strawberry,flower,coat,fem_plain_fem_sws,critical,2/2/2017,10:02,right,true,2340,2,1_2_2_1,word_2_word_3_word_1,near,coat,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,4,4,fem_plain,fem_sws,3,strawberry,coat,coat,strawberry,flower,coat,fem_plain_fem_sws,critical,2/2/2017,10:02,left,false,3147,2,1_2_2_1,word_2_word_3_word_1,near,flower,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,5,23,fem_plain,fem_sws,1,table,bath,teddy_bear,table,teddy_bear,bath,fem_plain_fem_sws,critical,2/2/2017,10:02,top_img,true,3364,1,2_1_2_0,word_3_word_2_word_1,different,table,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,5,23,fem_plain,fem_sws,2,table,bath,teddy_bear,table,teddy_bear,bath,fem_plain_fem_sws,critical,2/2/2017,10:02,right,true,2331,1,2_1_2_0,word_3_word_2_word_1,different,bath,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,5,23,fem_plain,fem_sws,3,table,bath,teddy_bear,table,teddy_bear,bath,fem_plain_fem_sws,critical,2/2/2017,10:02,left,true,3085,2,2_1_2_0,word_3_word_2_word_1,different,teddy_bear,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,6,18,fem_plain,fem_sws,1,camera,raspberry,raspberry,camera,raspberry,ball,fem_plain_fem_sws,critical,2/2/2017,10:02,top_img,true,2030,2,2_1_1_1,word_3_word_2_word_1,near,camera,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,6,18,fem_plain,fem_sws,2,camera,raspberry,raspberry,camera,raspberry,ball,fem_plain_fem_sws,critical,2/2/2017,10:02,left,true,2810,2,2_1_1_1,word_3_word_2_word_1,near,raspberry,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,6,18,fem_plain,fem_sws,3,camera,raspberry,raspberry,camera,raspberry,ball,fem_plain_fem_sws,critical,2/2/2017,10:02,left,true,3765,6,2_1_1_1,word_3_word_2_word_1,near,raspberry,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,7,16,fem_plain,fem_sws,1,paintbrush,chair,paintbrush,banana,paintbrush,chair,fem_plain_fem_sws,critical,2/2/2017,10:02,left,true,3235,1,1_2_1_1,word_2_word_1_word_3,far,paintbrush,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,7,16,fem_plain,fem_sws,2,paintbrush,chair,paintbrush,banana,paintbrush,chair,fem_plain_fem_sws,critical,2/2/2017,10:02,right,true,2674,1,1_2_1_1,word_2_word_1_word_3,far,chair,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,7,16,fem_plain,fem_sws,3,paintbrush,chair,paintbrush,banana,paintbrush,chair,fem_plain_fem_sws,critical,2/2/2017,10:02,top_img,false,1080,2,1_2_1_1,word_2_word_1_word_3,far,banana,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,8,21,fem_plain,fem_sws,1,eye,sheep,sheep,frog,sheep,eye,fem_plain_fem_sws,critical,2/2/2017,10:02,right,true,2715,1,2_1_1_1,word_1_word_2_word_3,near,eye,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,8,21,fem_plain,fem_sws,2,eye,sheep,sheep,frog,sheep,eye,fem_plain_fem_sws,critical,2/2/2017,10:02,left,true,2346,2,2_1_1_1,word_1_word_2_word_3,near,sheep,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,8,21,fem_plain,fem_sws,3,eye,sheep,sheep,frog,sheep,eye,fem_plain_fem_sws,critical,2/2/2017,10:02,top_img,false,3467,1,2_1_1_1,word_1_word_2_word_3,near,frog,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,9,6,fem_plain,fem_sws,1,carrot,bird,carrot,bird,carrot,peas,fem_plain_fem_sws,critical,2/2/2017,10:02,left,true,2636,2,1_2_1_1,word_1_word_3_word_2,far,carrot,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,9,6,fem_plain,fem_sws,2,carrot,bird,carrot,bird,carrot,peas,fem_plain_fem_sws,critical,2/2/2017,10:02,top_img,true,2252,1,1_2_1_1,word_1_word_3_word_2,far,bird,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,9,6,fem_plain,fem_sws,3,carrot,bird,carrot,bird,carrot,peas,fem_plain_fem_sws,critical,2/2/2017,10:02,right,false,3536,2,1_2_1_1,word_1_word_3_word_2,far,peas,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,10,22,fem_plain,fem_sws,1,doctor,bike,dog,doctor,bike,dog,fem_plain_fem_sws,critical,2/2/2017,10:02,top_img,true,2205,2,2_1_2_0,word_3_word_1_word_2,different,doctor,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,10,22,fem_plain,fem_sws,2,doctor,bike,dog,doctor,bike,dog,fem_plain_fem_sws,critical,2/2/2017,10:02,left,true,2651,1,2_1_2_0,word_3_word_1_word_2,different,bike,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,10,22,fem_plain,fem_sws,3,doctor,bike,dog,doctor,bike,dog,fem_plain_fem_sws,critical,2/2/2017,10:02,right,true,3055,1,2_1_2_0,word_3_word_1_word_2,different,dog,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,11,13,fem_plain,fem_sws,1,bread,airplane,airplane,toothbrush,bread,airplane,fem_plain_fem_sws,critical,2/2/2017,10:02,left,true,3544,2,1_2_2_1,word_1_word_3_word_2,near,bread,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,11,13,fem_plain,fem_sws,2,bread,airplane,airplane,toothbrush,bread,airplane,fem_plain_fem_sws,critical,2/2/2017,10:02,right,true,2199,1,1_2_2_1,word_1_word_3_word_2,near,airplane,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,11,13,fem_plain,fem_sws,3,bread,airplane,airplane,toothbrush,bread,airplane,fem_plain_fem_sws,critical,2/2/2017,10:02,top_img,false,4377,2,1_2_2_1,word_1_word_3_word_2,near,toothbrush,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,12,24,fem_plain,fem_sws,1,sink,socks,fish,socks,fish,sink,fem_plain_fem_sws,critical,2/2/2017,10:02,right,true,3410,1,2_1_2_0,word_3_word_2_word_1,different,sink,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,12,24,fem_plain,fem_sws,2,sink,socks,fish,socks,fish,sink,fem_plain_fem_sws,critical,2/2/2017,10:02,top_img,true,2937,1,2_1_2_0,word_3_word_2_word_1,different,socks,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,12,24,fem_plain,fem_sws,3,sink,socks,fish,socks,fish,sink,fem_plain_fem_sws,critical,2/2/2017,10:02,left,true,3298,1,2_1_2_0,word_3_word_2_word_1,different,fish,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,13,8,fem_plain,fem_sws,1,wellyboots,ear,ear,wellyboots,fire_engine,ear,fem_plain_fem_sws,critical,2/2/2017,10:02,top_img,true,2510,2,2_1_1_1,word_1_word_2_word_3,near,wellyboots,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,13,8,fem_plain,fem_sws,2,wellyboots,ear,ear,wellyboots,fire_engine,ear,fem_plain_fem_sws,critical,2/2/2017,10:02,right,true,1960,1,2_1_1_1,word_1_word_2_word_3,near,ear,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,13,8,fem_plain,fem_sws,3,wellyboots,ear,ear,wellyboots,fire_engine,ear,fem_plain_fem_sws,critical,2/2/2017,10:02,right,true,3761,2,2_1_1_1,word_1_word_2_word_3,near,ear,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,14,14,fem_plain,fem_sws,1,shoes,cheese,door,shoes,cheese,door,fem_plain_fem_sws,critical,2/2/2017,10:02,top_img,true,2825,1,2_1_1_0,word_2_word_1_word_3,different,shoes,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,14,14,fem_plain,fem_sws,2,shoes,cheese,door,shoes,cheese,door,fem_plain_fem_sws,critical,2/2/2017,10:02,left,true,2361,1,2_1_1_0,word_2_word_1_word_3,different,cheese,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,14,14,fem_plain,fem_sws,3,shoes,cheese,door,shoes,cheese,door,fem_plain_fem_sws,critical,2/2/2017,10:02,right,true,2463,2,2_1_1_0,word_2_word_1_word_3,different,door,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,15,7,fem_plain,fem_sws,1,cat,horse,cat,lolly,horse,cat,fem_plain_fem_sws,critical,2/2/2017,10:02,right,true,2901,2,2_1_2_1,word_1_word_2_word_3,far,cat,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,15,7,fem_plain,fem_sws,2,cat,horse,cat,lolly,horse,cat,fem_plain_fem_sws,critical,2/2/2017,10:02,left,true,2345,1,2_1_2_1,word_1_word_2_word_3,far,horse,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,15,7,fem_plain,fem_sws,3,cat,horse,cat,lolly,horse,cat,fem_plain_fem_sws,critical,2/2/2017,10:02,top_img,false,5419,1,2_1_2_1,word_1_word_2_word_3,far,lolly,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,16,12,fem_plain,fem_sws,1,gloves,yoghurt,gloves,foot,gloves,yoghurt,fem_plain_fem_sws,critical,2/2/2017,10:02,left,true,3272,2,2_1_2_1,word_1_word_3_word_2,far,gloves,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,16,12,fem_plain,fem_sws,2,gloves,yoghurt,gloves,foot,gloves,yoghurt,fem_plain_fem_sws,critical,2/2/2017,10:02,right,true,2342,2,2_1_2_1,word_1_word_3_word_2,far,yoghurt,English_Speech,preschool,megan,,,,,,,,,female
tOd2W,16,12,fem_plain,fem_sws,3,gloves,yoghurt,gloves,foot,gloves,yoghurt,fem_plain_fem_sws,critical,2/2/2017,10:02,top_img,false,5704,2,2_1_2_1,word_1_word_3_word_2,far,foot,English_Speech,preschool,megan,,,,,,,,,female
