subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
u1Tvb,1,0,mal_plain,mal_sws,1,tractor,glasses,fireman,glasses,fireman,tractor,mal_plain_mal_sws,training,1/11/2017,11:17,right,true,3998,1,2_1_1_0,word_2_word_1_word_3,different,tractor,English_Speech,preschool,megan,,,,,,,,,male
u1Tvb,1,0,mal_plain,mal_sws,2,tractor,glasses,fireman,glasses,fireman,tractor,mal_plain_mal_sws,training,1/11/2017,11:17,top_img,true,2214,2,2_1_1_0,word_2_word_1_word_3,different,glasses,English_Speech,preschool,megan,,,,,,,,,male
u1Tvb,1,0,mal_plain,mal_sws,3,tractor,glasses,fireman,glasses,fireman,tractor,mal_plain_mal_sws,training,1/11/2017,11:17,left,true,4414,3,2_1_1_0,word_2_word_1_word_3,different,fireman,English_Speech,preschool,megan,,,,,,,,,male
u1Tvb,2,24,mal_plain,mal_sws,1,fish,sink,sink,socks,fish,sink,mal_plain_mal_sws,critical,1/11/2017,11:17,left,true,2730,2,1_2_2_1,word_3_word_2_word_1,near,fish,English_Speech,preschool,megan,,,,,,,,,male
u1Tvb,2,24,mal_plain,mal_sws,2,fish,sink,sink,socks,fish,sink,mal_plain_mal_sws,critical,1/11/2017,11:17,right,true,2743,2,1_2_2_1,word_3_word_2_word_1,near,sink,English_Speech,preschool,megan,,,,,,,,,male
u1Tvb,2,24,mal_plain,mal_sws,3,fish,sink,sink,socks,fish,sink,mal_plain_mal_sws,critical,1/11/2017,11:17,top_img,false,2654,2,1_2_2_1,word_3_word_2_word_1,near,socks,English_Speech,preschool,megan,,,,,,,,,male
u1Tvb,3,2,mal_plain,mal_sws,1,chicken,fork,chicken,bed,fork,chicken,mal_plain_mal_sws,critical,1/11/2017,11:17,right,true,3013,2,1_2_1_1,word_1_word_3_word_2,far,chicken,English_Speech,preschool,megan,,,,,,,,,male
u1Tvb,3,2,mal_plain,mal_sws,2,chicken,fork,chicken,bed,fork,chicken,mal_plain_mal_sws,critical,1/11/2017,11:17,left,true,2776,1,1_2_1_1,word_1_word_3_word_2,far,fork,English_Speech,preschool,megan,,,,,,,,,male
u1Tvb,3,2,mal_plain,mal_sws,3,chicken,fork,chicken,bed,fork,chicken,mal_plain_mal_sws,critical,1/11/2017,11:17,top_img,false,2877,3,1_2_1_1,word_1_word_3_word_2,far,bed,English_Speech,preschool,megan,,,,,,,,,male
u1Tvb,4,19,mal_plain,mal_sws,1,santa,tree,santa,santa,building_blocks,tree,mal_plain_mal_sws,critical,1/11/2017,11:17,top_img,true,2813,2,1_2_1_1,word_1_word_2_word_3,far,santa,English_Speech,preschool,megan,,,,,,,,,male
u1Tvb,4,19,mal_plain,mal_sws,2,santa,tree,santa,santa,building_blocks,tree,mal_plain_mal_sws,critical,1/11/2017,11:17,right,true,2527,2,1_2_1_1,word_1_word_2_word_3,far,tree,English_Speech,preschool,megan,,,,,,,,,male
u1Tvb,4,19,mal_plain,mal_sws,3,santa,tree,santa,santa,building_blocks,tree,mal_plain_mal_sws,critical,1/11/2017,11:17,left,false,2927,2,1_2_1_1,word_1_word_2_word_3,far,building_blocks,English_Speech,preschool,megan,,,,,,,,,male
u1Tvb,5,13,mal_plain,mal_sws,1,toothbrush,bread,airplane,bread,airplane,toothbrush,mal_plain_mal_sws,critical,1/11/2017,11:17,right,true,2729,1,2_1_2_0,word_3_word_2_word_1,different,toothbrush,English_Speech,preschool,megan,,,,,,,,,male
u1Tvb,5,13,mal_plain,mal_sws,2,toothbrush,bread,airplane,bread,airplane,toothbrush,mal_plain_mal_sws,critical,1/11/2017,11:17,top_img,true,3293,1,2_1_2_0,word_3_word_2_word_1,different,bread,English_Speech,preschool,megan,,,,,,,,,male
u1Tvb,5,13,mal_plain,mal_sws,3,toothbrush,bread,airplane,bread,airplane,toothbrush,mal_plain_mal_sws,critical,1/11/2017,11:17,left,true,2097,2,2_1_2_0,word_3_word_2_word_1,different,airplane,English_Speech,preschool,megan,,,,,,,,,male
u1Tvb,6,22,mal_plain,mal_sws,1,dog,bike,dog,doctor,dog,bike,mal_plain_mal_sws,critical,1/11/2017,11:17,left,true,2417,1,1_2_1_1,word_3_word_2_word_1,far,dog,English_Speech,preschool,megan,,,,,,,,,male
