subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
uWskH,1,0,mal_plain,mal_sws,1,tractor,fireman,tractor,tractor,glasses,fireman,mal_plain_mal_sws,training,2/1/2017,9:54,top_img,true,3691,4,2_1_2_1,word_3_word_2_word_1,far,tractor,English_Speech,preschool,megan,,,,,,,,,male
uWskH,1,0,mal_plain,mal_sws,2,tractor,fireman,tractor,tractor,glasses,fireman,mal_plain_mal_sws,training,2/1/2017,9:54,right,true,4148,6,2_1_2_1,word_3_word_2_word_1,far,fireman,English_Speech,preschool,megan,,,,,,,,,male
uWskH,1,0,mal_plain,mal_sws,3,tractor,fireman,tractor,tractor,glasses,fireman,mal_plain_mal_sws,training,2/1/2017,9:54,top_img,true,178,4,2_1_2_1,word_3_word_2_word_1,far,tractor,English_Speech,preschool,megan,,,,,,,,,male
uWskH,2,16,mal_plain,mal_sws,1,chair,paintbrush,banana,paintbrush,banana,chair,mal_plain_mal_sws,critical,2/1/2017,9:54,right,true,2996,2,2_1_2_0,word_1_word_2_word_3,different,chair,English_Speech,preschool,megan,,,,,,,,,male
uWskH,2,16,mal_plain,mal_sws,2,chair,paintbrush,banana,paintbrush,banana,chair,mal_plain_mal_sws,critical,2/1/2017,9:54,top_img,true,2929,2,2_1_2_0,word_1_word_2_word_3,different,paintbrush,English_Speech,preschool,megan,,,,,,,,,male
uWskH,2,16,mal_plain,mal_sws,3,chair,paintbrush,banana,paintbrush,banana,chair,mal_plain_mal_sws,critical,2/1/2017,9:54,right,false,7651,2,2_1_2_0,word_1_word_2_word_3,different,chair,English_Speech,preschool,megan,,,,,,,,,male
uWskH,3,1,mal_plain,mal_sws,1,baby,spoon,baby,baby,spoon,train,mal_plain_mal_sws,critical,2/1/2017,9:54,top_img,true,2320,2,1_2_1_1,word_2_word_1_word_3,far,baby,English_Speech,preschool,megan,,,,,,,,,male
uWskH,3,1,mal_plain,mal_sws,2,baby,spoon,baby,baby,spoon,train,mal_plain_mal_sws,critical,2/1/2017,9:54,left,true,2222,1,1_2_1_1,word_2_word_1_word_3,far,spoon,English_Speech,preschool,megan,,,,,,,,,male
uWskH,3,1,mal_plain,mal_sws,3,baby,spoon,baby,baby,spoon,train,mal_plain_mal_sws,critical,2/1/2017,9:54,right,false,5506,2,1_2_1_1,word_2_word_1_word_3,far,train,English_Speech,preschool,megan,,,,,,,,,male
uWskH,4,24,mal_plain,mal_sws,1,socks,fish,fish,socks,fish,sink,mal_plain_mal_sws,critical,2/1/2017,9:54,top_img,true,2579,2,1_2_2_1,word_3_word_2_word_1,near,socks,English_Speech,preschool,megan,,,,,,,,,male
uWskH,4,24,mal_plain,mal_sws,2,socks,fish,fish,socks,fish,sink,mal_plain_mal_sws,critical,2/1/2017,9:54,left,true,2317,1,1_2_2_1,word_3_word_2_word_1,near,fish,English_Speech,preschool,megan,,,,,,,,,male
uWskH,4,24,mal_plain,mal_sws,3,socks,fish,fish,socks,fish,sink,mal_plain_mal_sws,critical,2/1/2017,9:54,right,false,2832,2,1_2_2_1,word_3_word_2_word_1,near,sink,English_Speech,preschool,megan,,,,,,,,,male
