subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
AQUYH,1,0,mal_plain,fem_sws,1,glasses,tractor,fireman,tractor,fireman,glasses,mal_plain_fem_sws,training,2/1/2017,10:34,top_img,false,6145,1,2_1_1_0,word_3_word_1_word_2,different,tractor,English_Speech,preschool,katy,,,,,,,,,male
AQUYH,1,0,mal_plain,fem_sws,2,glasses,tractor,fireman,tractor,fireman,glasses,mal_plain_fem_sws,training,2/1/2017,10:34,right,false,78,1,2_1_1_0,word_3_word_1_word_2,different,glasses,English_Speech,preschool,katy,,,,,,,,,male
AQUYH,1,0,mal_plain,fem_sws,3,glasses,tractor,fireman,tractor,fireman,glasses,mal_plain_fem_sws,training,2/1/2017,10:34,top_img,false,248,1,2_1_1_0,word_3_word_1_word_2,different,tractor,English_Speech,preschool,katy,,,,,,,,,male
AQUYH,2,24,mal_plain,fem_sws,1,socks,sink,fish,socks,sink,fish,mal_plain_fem_sws,critical,2/1/2017,10:34,top_img,true,2374,1,2_1_2_0,word_3_word_1_word_2,different,socks,English_Speech,preschool,katy,,,,,,,,,male
AQUYH,2,24,mal_plain,fem_sws,2,socks,sink,fish,socks,sink,fish,mal_plain_fem_sws,critical,2/1/2017,10:34,left,true,2965,4,2_1_2_0,word_3_word_1_word_2,different,sink,English_Speech,preschool,katy,,,,,,,,,male
AQUYH,2,24,mal_plain,fem_sws,3,socks,sink,fish,socks,sink,fish,mal_plain_fem_sws,critical,2/1/2017,10:34,right,true,5942,2,2_1_2_0,word_3_word_1_word_2,different,fish,English_Speech,preschool,katy,,,,,,,,,male
AQUYH,3,19,mal_plain,fem_sws,1,santa,tree,santa,building_blocks,tree,santa,mal_plain_fem_sws,critical,2/1/2017,10:34,right,true,3194,1,2_1_2_1,word_2_word_3_word_1,far,santa,English_Speech,preschool,katy,,,,,,,,,male
AQUYH,3,19,mal_plain,fem_sws,2,santa,tree,santa,building_blocks,tree,santa,mal_plain_fem_sws,critical,2/1/2017,10:34,left,true,2263,11,2_1_2_1,word_2_word_3_word_1,far,tree,English_Speech,preschool,katy,,,,,,,,,male
AQUYH,3,19,mal_plain,fem_sws,3,santa,tree,santa,building_blocks,tree,santa,mal_plain_fem_sws,critical,2/1/2017,10:34,top_img,false,3202,2,2_1_2_1,word_2_word_3_word_1,far,building_blocks,English_Speech,preschool,katy,,,,,,,,,male
AQUYH,4,7,mal_plain,fem_sws,1,horse,lolly,horse,lolly,horse,cat,mal_plain_fem_sws,critical,2/1/2017,10:34,left,true,2772,1,2_1_2_1,word_1_word_2_word_3,far,horse,English_Speech,preschool,katy,,,,,,,,,male
AQUYH,4,7,mal_plain,fem_sws,2,horse,lolly,horse,lolly,horse,cat,mal_plain_fem_sws,critical,2/1/2017,10:34,top_img,true,2964,2,2_1_2_1,word_1_word_2_word_3,far,lolly,English_Speech,preschool,katy,,,,,,,,,male
AQUYH,4,7,mal_plain,fem_sws,3,horse,lolly,horse,lolly,horse,cat,mal_plain_fem_sws,critical,2/1/2017,10:34,right,false,4097,2,2_1_2_1,word_1_word_2_word_3,far,cat,English_Speech,preschool,katy,,,,,,,,,male
AQUYH,5,10,mal_plain,fem_sws,1,tshirt,hat,hat,pig,hat,tshirt,mal_plain_fem_sws,critical,2/1/2017,10:34,right,true,3063,2,1_2_2_1,word_1_word_3_word_2,near,tshirt,English_Speech,preschool,katy,,,,,,,,,male
AQUYH,5,10,mal_plain,fem_sws,2,tshirt,hat,hat,pig,hat,tshirt,mal_plain_fem_sws,critical,2/1/2017,10:34,left,true,1835,1,1_2_2_1,word_1_word_3_word_2,near,hat,English_Speech,preschool,katy,,,,,,,,,male
AQUYH,5,10,mal_plain,fem_sws,3,tshirt,hat,hat,pig,hat,tshirt,mal_plain_fem_sws,critical,2/1/2017,10:34,top_img,false,1056,2,1_2_2_1,word_1_word_3_word_2,near,pig,English_Speech,preschool,katy,,,,,,,,,male
AQUYH,6,2,mal_plain,fem_sws,1,bed,chicken,bed,chicken,fork,bed,mal_plain_fem_sws,critical,2/1/2017,10:34,right,true,6957,2,1_2_1_1,word_2_word_3_word_1,far,bed,English_Speech,preschool,katy,,,,,,,,,male
