subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
AuyDi,1,0,fem_plain,fem_sws,1,fireman,glasses,tractor,tractor,glasses,fireman,fem_plain_fem_sws,training,2/1/2017,10:35,right,true,2995,2,2_1_1_0,word_3_word_2_word_1,different,fireman,English_Speech,preschool,megan,,,,,,,,,female
AuyDi,1,0,fem_plain,fem_sws,2,fireman,glasses,tractor,tractor,glasses,fireman,fem_plain_fem_sws,training,2/1/2017,10:35,left,true,2495,2,2_1_1_0,word_3_word_2_word_1,different,glasses,English_Speech,preschool,megan,,,,,,,,,female
AuyDi,1,0,fem_plain,fem_sws,3,fireman,glasses,tractor,tractor,glasses,fireman,fem_plain_fem_sws,training,2/1/2017,10:35,top_img,true,5233,2,2_1_1_0,word_3_word_2_word_1,different,tractor,English_Speech,preschool,megan,,,,,,,,,female
AuyDi,2,15,fem_plain,fem_sws,1,beans,slide,beans,pencil,beans,slide,fem_plain_fem_sws,critical,2/1/2017,10:35,left,true,2309,2,2_1_2_1,word_2_word_3_word_1,far,beans,English_Speech,preschool,megan,,,,,,,,,female
AuyDi,2,15,fem_plain,fem_sws,2,beans,slide,beans,pencil,beans,slide,fem_plain_fem_sws,critical,2/1/2017,10:35,right,true,2861,2,2_1_2_1,word_2_word_3_word_1,far,slide,English_Speech,preschool,megan,,,,,,,,,female
AuyDi,2,15,fem_plain,fem_sws,3,beans,slide,beans,pencil,beans,slide,fem_plain_fem_sws,critical,2/1/2017,10:35,left,true,3563,4,2_1_2_1,word_2_word_3_word_1,far,beans,English_Speech,preschool,megan,,,,,,,,,female
AuyDi,3,12,fem_plain,fem_sws,1,yoghurt,foot,yoghurt,yoghurt,foot,gloves,fem_plain_fem_sws,critical,2/1/2017,10:35,top_img,true,2808,2,2_1_2_1,word_2_word_1_word_3,far,yoghurt,English_Speech,preschool,megan,,,,,,,,,female
AuyDi,3,12,fem_plain,fem_sws,2,yoghurt,foot,yoghurt,yoghurt,foot,gloves,fem_plain_fem_sws,critical,2/1/2017,10:35,left,true,2250,1,2_1_2_1,word_2_word_1_word_3,far,foot,English_Speech,preschool,megan,,,,,,,,,female
AuyDi,3,12,fem_plain,fem_sws,3,yoghurt,foot,yoghurt,yoghurt,foot,gloves,fem_plain_fem_sws,critical,2/1/2017,10:35,top_img,true,3113,4,2_1_2_1,word_2_word_1_word_3,far,yoghurt,English_Speech,preschool,megan,,,,,,,,,female
AuyDi,4,10,fem_plain,fem_sws,1,pig,tshirt,pig,hat,pig,tshirt,fem_plain_fem_sws,critical,2/1/2017,10:35,left,true,2531,2,1_2_1_1,word_3_word_1_word_2,far,pig,English_Speech,preschool,megan,,,,,,,,,female
