subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
FFPAm,1,0,fem_plain,fem_sws,1,tractor,glasses,tractor,fireman,glasses,tractor,fem_plain_fem_sws,training,1/11/2017,11:05,right,true,4187,2,2_1_2_1,word_1_word_2_word_3,far,tractor,English_Speech,preschool,megan,,,,,,,,,male
FFPAm,1,0,fem_plain,fem_sws,2,tractor,glasses,tractor,fireman,glasses,tractor,fem_plain_fem_sws,training,1/11/2017,11:05,left,true,3669,1,2_1_2_1,word_1_word_2_word_3,far,glasses,English_Speech,preschool,megan,,,,,,,,,male
FFPAm,1,0,fem_plain,fem_sws,3,tractor,glasses,tractor,fireman,glasses,tractor,fem_plain_fem_sws,training,1/11/2017,11:05,top_img,false,4297,2,2_1_2_1,word_1_word_2_word_3,far,fireman,English_Speech,preschool,megan,,,,,,,,,male
FFPAm,2,14,fem_plain,fem_sws,1,door,shoes,shoes,shoes,cheese,door,fem_plain_fem_sws,critical,1/11/2017,11:05,right,true,2412,1,2_1_1_1,word_2_word_1_word_3,near,door,English_Speech,preschool,megan,,,,,,,,,male
FFPAm,2,14,fem_plain,fem_sws,2,door,shoes,shoes,shoes,cheese,door,fem_plain_fem_sws,critical,1/11/2017,11:05,top_img,true,2673,1,2_1_1_1,word_2_word_1_word_3,near,shoes,English_Speech,preschool,megan,,,,,,,,,male
FFPAm,2,14,fem_plain,fem_sws,3,door,shoes,shoes,shoes,cheese,door,fem_plain_fem_sws,critical,1/11/2017,11:05,left,false,3387,6,2_1_1_1,word_2_word_1_word_3,near,cheese,English_Speech,preschool,megan,,,,,,,,,male
FFPAm,3,11,fem_plain,fem_sws,1,lorry,book,cow,lorry,cow,book,fem_plain_fem_sws,critical,1/11/2017,11:05,top_img,true,4239,2,2_1_1_0,word_2_word_3_word_1,different,lorry,English_Speech,preschool,megan,,,,,,,,,male
FFPAm,3,11,fem_plain,fem_sws,2,lorry,book,cow,lorry,cow,book,fem_plain_fem_sws,critical,1/11/2017,11:05,right,true,2889,2,2_1_1_0,word_2_word_3_word_1,different,book,English_Speech,preschool,megan,,,,,,,,,male
FFPAm,3,11,fem_plain,fem_sws,3,lorry,book,cow,lorry,cow,book,fem_plain_fem_sws,critical,1/11/2017,11:05,left,true,3602,1,2_1_1_0,word_2_word_3_word_1,different,cow,English_Speech,preschool,megan,,,,,,,,,male
FFPAm,4,12,fem_plain,fem_sws,1,foot,gloves,yoghurt,yoghurt,gloves,foot,fem_plain_fem_sws,critical,1/11/2017,11:05,right,true,2400,2,2_1_1_0,word_2_word_3_word_1,different,foot,English_Speech,preschool,megan,,,,,,,,,male
FFPAm,4,12,fem_plain,fem_sws,2,foot,gloves,yoghurt,yoghurt,gloves,foot,fem_plain_fem_sws,critical,1/11/2017,11:05,left,true,3550,2,2_1_1_0,word_2_word_3_word_1,different,gloves,English_Speech,preschool,megan,,,,,,,,,male
FFPAm,4,12,fem_plain,fem_sws,3,foot,gloves,yoghurt,yoghurt,gloves,foot,fem_plain_fem_sws,critical,1/11/2017,11:05,top_img,true,4159,1,2_1_1_0,word_2_word_3_word_1,different,yoghurt,English_Speech,preschool,megan,,,,,,,,,male
FFPAm,5,9,fem_plain,fem_sws,1,grapes,pizza,pizza,pizza,window,grapes,fem_plain_fem_sws,critical,1/11/2017,11:05,right,true,5192,1,1_2_2_1,word_1_word_2_word_3,near,grapes,English_Speech,preschool,megan,,,,,,,,,male
