subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
L8py2,1,0,fem_plain,mal_sws,1,tractor,glasses,fireman,fireman,tractor,glasses,fem_plain_mal_sws,training,2/2/2017,10:21,left,true,4017,2,1_2_2_0,word_1_word_3_word_2,different,tractor,English_Speech,preschool,megan,,,,,,,,,male
L8py2,1,0,fem_plain,mal_sws,2,tractor,glasses,fireman,fireman,tractor,glasses,fem_plain_mal_sws,training,2/2/2017,10:21,right,true,2454,2,1_2_2_0,word_1_word_3_word_2,different,glasses,English_Speech,preschool,megan,,,,,,,,,male
L8py2,1,0,fem_plain,mal_sws,3,tractor,glasses,fireman,fireman,tractor,glasses,fem_plain_mal_sws,training,2/2/2017,10:21,top_img,true,6571,6,1_2_2_0,word_1_word_3_word_2,different,fireman,English_Speech,preschool,megan,,,,,,,,,male
L8py2,2,11,fem_plain,mal_sws,1,book,cow,book,book,lorry,cow,fem_plain_mal_sws,critical,2/2/2017,10:21,top_img,true,2987,2,1_2_1_1,word_1_word_2_word_3,far,book,English_Speech,preschool,megan,,,,,,,,,male
L8py2,2,11,fem_plain,mal_sws,2,book,cow,book,book,lorry,cow,fem_plain_mal_sws,critical,2/2/2017,10:21,right,true,2980,1,1_2_1_1,word_1_word_2_word_3,far,cow,English_Speech,preschool,megan,,,,,,,,,male
L8py2,2,11,fem_plain,mal_sws,3,book,cow,book,book,lorry,cow,fem_plain_mal_sws,critical,2/2/2017,10:21,top_img,true,2621,5,1_2_1_1,word_1_word_2_word_3,far,book,English_Speech,preschool,megan,,,,,,,,,male
L8py2,3,13,fem_plain,mal_sws,1,airplane,toothbrush,airplane,bread,toothbrush,airplane,fem_plain_mal_sws,critical,2/2/2017,10:21,right,true,2521,1,1_2_1_1,word_3_word_1_word_2,far,airplane,English_Speech,preschool,megan,,,,,,,,,male
L8py2,3,13,fem_plain,mal_sws,2,airplane,toothbrush,airplane,bread,toothbrush,airplane,fem_plain_mal_sws,critical,2/2/2017,10:21,left,true,2297,1,1_2_1_1,word_3_word_1_word_2,far,toothbrush,English_Speech,preschool,megan,,,,,,,,,male
L8py2,3,13,fem_plain,mal_sws,3,airplane,toothbrush,airplane,bread,toothbrush,airplane,fem_plain_mal_sws,critical,2/2/2017,10:21,right,true,12573,2,1_2_1_1,word_3_word_1_word_2,far,airplane,English_Speech,preschool,megan,,,,,,,,,male
L8py2,4,1,fem_plain,mal_sws,1,spoon,train,spoon,train,spoon,baby,fem_plain_mal_sws,critical,2/2/2017,10:21,left,true,2377,2,2_1_2_1,word_3_word_1_word_2,far,spoon,English_Speech,preschool,megan,,,,,,,,,male
