subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
LVI0X,1,0,mal_plain,mal_sws,1,tractor,fireman,glasses,fireman,glasses,tractor,mal_plain_mal_sws,training,1/11/2017,10:52,right,true,6251,4,2_1_2_0,word_1_word_2_word_3,different,tractor,English_Speech,preschool,megan,,,,,,,,,male
LVI0X,1,0,mal_plain,mal_sws,2,tractor,fireman,glasses,fireman,glasses,tractor,mal_plain_mal_sws,training,1/11/2017,10:52,top_img,true,2774,1,2_1_2_0,word_1_word_2_word_3,different,fireman,English_Speech,preschool,megan,,,,,,,,,male
LVI0X,1,0,mal_plain,mal_sws,3,tractor,fireman,glasses,fireman,glasses,tractor,mal_plain_mal_sws,training,1/11/2017,10:52,right,false,8282,5,2_1_2_0,word_1_word_2_word_3,different,tractor,English_Speech,preschool,megan,,,,,,,,,male
LVI0X,2,21,mal_plain,mal_sws,1,sheep,frog,eye,frog,eye,sheep,mal_plain_mal_sws,critical,1/11/2017,10:52,right,true,3714,1,2_1_1_0,word_1_word_3_word_2,different,sheep,English_Speech,preschool,megan,,,,,,,,,male
LVI0X,2,21,mal_plain,mal_sws,2,sheep,frog,eye,frog,eye,sheep,mal_plain_mal_sws,critical,1/11/2017,10:52,top_img,true,3132,2,2_1_1_0,word_1_word_3_word_2,different,frog,English_Speech,preschool,megan,,,,,,,,,male
LVI0X,2,21,mal_plain,mal_sws,3,sheep,frog,eye,frog,eye,sheep,mal_plain_mal_sws,critical,1/11/2017,10:52,right,false,10018,3,2_1_1_0,word_1_word_3_word_2,different,sheep,English_Speech,preschool,megan,,,,,,,,,male
LVI0X,3,24,mal_plain,mal_sws,1,fish,socks,fish,socks,sink,fish,mal_plain_mal_sws,critical,1/11/2017,10:52,right,true,3458,2,1_2_1_1,word_3_word_1_word_2,far,fish,English_Speech,preschool,megan,,,,,,,,,male
LVI0X,3,24,mal_plain,mal_sws,2,fish,socks,fish,socks,sink,fish,mal_plain_mal_sws,critical,1/11/2017,10:52,top_img,true,2431,2,1_2_1_1,word_3_word_1_word_2,far,socks,English_Speech,preschool,megan,,,,,,,,,male
LVI0X,3,24,mal_plain,mal_sws,3,fish,socks,fish,socks,sink,fish,mal_plain_mal_sws,critical,1/11/2017,10:52,top_img,false,7672,2,1_2_1_1,word_3_word_1_word_2,far,socks,English_Speech,preschool,megan,,,,,,,,,male
LVI0X,4,9,mal_plain,mal_sws,1,pizza,grapes,pizza,pizza,grapes,window,mal_plain_mal_sws,critical,1/11/2017,10:52,top_img,true,4289,2,1_2_1_1,word_1_word_3_word_2,far,pizza,English_Speech,preschool,megan,,,,,,,,,male
