subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
QFfN5,1,0,mal_plain,fem_sws,1,glasses,tractor,glasses,tractor,fireman,glasses,mal_plain_fem_sws,training,2/2/2017,11:10,right,true,3059,2,1_2_1_1,word_3_word_1_word_2,far,glasses,English_Speech,preschool,megan,,,,,,,,,male
QFfN5,1,0,mal_plain,fem_sws,2,glasses,tractor,glasses,tractor,fireman,glasses,mal_plain_fem_sws,training,2/2/2017,11:10,top_img,true,2399,2,1_2_1_1,word_3_word_1_word_2,far,tractor,English_Speech,preschool,megan,,,,,,,,,male
QFfN5,1,0,mal_plain,fem_sws,3,glasses,tractor,glasses,tractor,fireman,glasses,mal_plain_fem_sws,training,2/2/2017,11:10,right,true,4266,8,1_2_1_1,word_3_word_1_word_2,far,glasses,English_Speech,preschool,megan,,,,,,,,,male
QFfN5,2,11,mal_plain,fem_sws,1,book,lorry,lorry,cow,lorry,book,mal_plain_fem_sws,critical,2/2/2017,11:10,right,true,3122,2,2_1_1_1,word_3_word_2_word_1,near,book,English_Speech,preschool,megan,,,,,,,,,male
QFfN5,2,11,mal_plain,fem_sws,2,book,lorry,lorry,cow,lorry,book,mal_plain_fem_sws,critical,2/2/2017,11:10,left,true,5929,1,2_1_1_1,word_3_word_2_word_1,near,lorry,English_Speech,preschool,megan,,,,,,,,,male
QFfN5,2,11,mal_plain,fem_sws,3,book,lorry,lorry,cow,lorry,book,mal_plain_fem_sws,critical,2/2/2017,11:10,left,true,2839,1,2_1_1_1,word_3_word_2_word_1,near,lorry,English_Speech,preschool,megan,,,,,,,,,male
QFfN5,3,21,mal_plain,fem_sws,1,eye,sheep,frog,sheep,frog,eye,mal_plain_fem_sws,critical,2/2/2017,11:10,right,true,2430,2,2_1_1_0,word_2_word_1_word_3,different,eye,English_Speech,preschool,megan,,,,,,,,,male
QFfN5,3,21,mal_plain,fem_sws,2,eye,sheep,frog,sheep,frog,eye,mal_plain_fem_sws,critical,2/2/2017,11:10,top_img,true,2767,2,2_1_1_0,word_2_word_1_word_3,different,sheep,English_Speech,preschool,megan,,,,,,,,,male
QFfN5,3,21,mal_plain,fem_sws,3,eye,sheep,frog,sheep,frog,eye,mal_plain_fem_sws,critical,2/2/2017,11:10,left,true,3604,1,2_1_1_0,word_2_word_1_word_3,different,frog,English_Speech,preschool,megan,,,,,,,,,male
QFfN5,4,15,mal_plain,fem_sws,1,slide,pencil,pencil,slide,beans,pencil,mal_plain_fem_sws,critical,2/2/2017,11:10,top_img,true,2733,2,2_1_1_1,word_1_word_3_word_2,near,slide,English_Speech,preschool,megan,,,,,,,,,male
QFfN5,4,15,mal_plain,fem_sws,2,slide,pencil,pencil,slide,beans,pencil,mal_plain_fem_sws,critical,2/2/2017,11:10,right,true,1956,1,2_1_1_1,word_1_word_3_word_2,near,pencil,English_Speech,preschool,megan,,,,,,,,,male
QFfN5,4,15,mal_plain,fem_sws,3,slide,pencil,pencil,slide,beans,pencil,mal_plain_fem_sws,critical,2/2/2017,11:10,right,true,4203,2,2_1_1_1,word_1_word_3_word_2,near,pencil,English_Speech,preschool,megan,,,,,,,,,male
QFfN5,5,5,mal_plain,fem_sws,1,mouth,orange,orange,mouth,orange,car,mal_plain_fem_sws,critical,2/2/2017,11:10,top_img,true,2441,2,2_1_1_1,word_3_word_1_word_2,near,mouth,English_Speech,preschool,megan,,,,,,,,,male
QFfN5,5,5,mal_plain,fem_sws,2,mouth,orange,orange,mouth,orange,car,mal_plain_fem_sws,critical,2/2/2017,11:10,left,true,3269,1,2_1_1_1,word_3_word_1_word_2,near,orange,English_Speech,preschool,megan,,,,,,,,,male
QFfN5,5,5,mal_plain,fem_sws,3,mouth,orange,orange,mouth,orange,car,mal_plain_fem_sws,critical,2/2/2017,11:10,left,true,3195,2,2_1_1_1,word_3_word_1_word_2,near,orange,English_Speech,preschool,megan,,,,,,,,,male
QFfN5,6,1,mal_plain,fem_sws,1,baby,spoon,train,spoon,train,baby,mal_plain_fem_sws,critical,2/2/2017,11:10,right,true,1977,2,1_2_2_0,word_1_word_3_word_2,different,baby,English_Speech,preschool,megan,,,,,,,,,male
