subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
QSyJO,1,0,fem_plain,mal_sws,1,glasses,fireman,tractor,glasses,tractor,fireman,fem_plain_mal_sws,training,2/1/2017,11:16,right,false,7967,1,1_2_2_0,word_2_word_3_word_1,different,fireman,English_Speech,preschool,katy,,,,,,,,,female
QSyJO,1,0,fem_plain,mal_sws,2,glasses,fireman,tractor,glasses,tractor,fireman,fem_plain_mal_sws,training,2/1/2017,11:16,right,true,6396,1,1_2_2_0,word_2_word_3_word_1,different,fireman,English_Speech,preschool,katy,,,,,,,,,female
QSyJO,1,0,fem_plain,mal_sws,3,glasses,fireman,tractor,glasses,tractor,fireman,fem_plain_mal_sws,training,2/1/2017,11:16,left,true,4424,7,1_2_2_0,word_2_word_3_word_1,different,tractor,English_Speech,preschool,katy,,,,,,,,,female
QSyJO,2,20,fem_plain,mal_sws,1,jumper,rabbit,rabbit,apple,jumper,rabbit,fem_plain_mal_sws,critical,2/1/2017,11:16,left,true,2843,2,2_1_1_1,word_3_word_1_word_2,near,jumper,English_Speech,preschool,katy,,,,,,,,,female
QSyJO,2,20,fem_plain,mal_sws,2,jumper,rabbit,rabbit,apple,jumper,rabbit,fem_plain_mal_sws,critical,2/1/2017,11:16,right,true,2481,1,2_1_1_1,word_3_word_1_word_2,near,rabbit,English_Speech,preschool,katy,,,,,,,,,female
QSyJO,2,20,fem_plain,mal_sws,3,jumper,rabbit,rabbit,apple,jumper,rabbit,fem_plain_mal_sws,critical,2/1/2017,11:16,right,true,2439,2,2_1_1_1,word_3_word_1_word_2,near,rabbit,English_Speech,preschool,katy,,,,,,,,,female
QSyJO,3,9,fem_plain,mal_sws,1,grapes,window,pizza,window,grapes,pizza,fem_plain_mal_sws,critical,2/1/2017,11:16,left,true,2523,1,2_1_2_0,word_2_word_3_word_1,different,grapes,English_Speech,preschool,katy,,,,,,,,,female
QSyJO,3,9,fem_plain,mal_sws,2,grapes,window,pizza,window,grapes,pizza,fem_plain_mal_sws,critical,2/1/2017,11:16,top_img,true,2557,1,2_1_2_0,word_2_word_3_word_1,different,window,English_Speech,preschool,katy,,,,,,,,,female
QSyJO,3,9,fem_plain,mal_sws,3,grapes,window,pizza,window,grapes,pizza,fem_plain_mal_sws,critical,2/1/2017,11:16,right,true,5402,2,2_1_2_0,word_2_word_3_word_1,different,pizza,English_Speech,preschool,katy,,,,,,,,,female
QSyJO,4,24,fem_plain,mal_sws,1,fish,socks,fish,socks,sink,fish,fem_plain_mal_sws,critical,2/1/2017,11:16,right,true,2841,2,2_1_2_1,word_3_word_1_word_2,far,fish,English_Speech,preschool,katy,,,,,,,,,female
