subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
QtSJ6,1,0,fem_plain,mal_sws,1,fireman,glasses,tractor,fireman,glasses,tractor,fem_plain_mal_sws,training,1/11/2017,10:29,top_img,true,10128,2,2_1_1_0,word_1_word_2_word_3,different,fireman,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,1,0,fem_plain,mal_sws,2,fireman,glasses,tractor,fireman,glasses,tractor,fem_plain_mal_sws,training,1/11/2017,10:29,left,true,2823,2,2_1_1_0,word_1_word_2_word_3,different,glasses,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,1,0,fem_plain,mal_sws,3,fireman,glasses,tractor,fireman,glasses,tractor,fem_plain_mal_sws,training,1/11/2017,10:29,right,true,3980,6,2_1_1_0,word_1_word_2_word_3,different,tractor,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,2,24,fem_plain,mal_sws,1,sink,fish,socks,fish,sink,socks,fem_plain_mal_sws,critical,1/11/2017,10:29,left,true,3780,2,2_1_1_0,word_2_word_1_word_3,different,sink,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,2,24,fem_plain,mal_sws,2,sink,fish,socks,fish,sink,socks,fem_plain_mal_sws,critical,1/11/2017,10:29,top_img,true,2622,2,2_1_1_0,word_2_word_1_word_3,different,fish,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,2,24,fem_plain,mal_sws,3,sink,fish,socks,fish,sink,socks,fem_plain_mal_sws,critical,1/11/2017,10:29,right,true,5911,2,2_1_1_0,word_2_word_1_word_3,different,socks,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,3,7,fem_plain,mal_sws,1,cat,lolly,lolly,lolly,cat,horse,fem_plain_mal_sws,critical,1/11/2017,10:29,left,true,3225,2,1_2_2_1,word_1_word_3_word_2,near,cat,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,3,7,fem_plain,mal_sws,2,cat,lolly,lolly,lolly,cat,horse,fem_plain_mal_sws,critical,1/11/2017,10:29,top_img,true,3465,2,1_2_2_1,word_1_word_3_word_2,near,lolly,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,3,7,fem_plain,mal_sws,3,cat,lolly,lolly,lolly,cat,horse,fem_plain_mal_sws,critical,1/11/2017,10:29,right,false,4151,4,1_2_2_1,word_1_word_3_word_2,near,horse,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,4,3,fem_plain,mal_sws,1,trousers,nose,telephone,trousers,nose,telephone,fem_plain_mal_sws,critical,1/11/2017,10:29,top_img,true,2534,2,2_1_2_0,word_1_word_2_word_3,different,trousers,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,4,3,fem_plain,mal_sws,2,trousers,nose,telephone,trousers,nose,telephone,fem_plain_mal_sws,critical,1/11/2017,10:29,left,true,4257,2,2_1_2_0,word_1_word_2_word_3,different,nose,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,4,3,fem_plain,mal_sws,3,trousers,nose,telephone,trousers,nose,telephone,fem_plain_mal_sws,critical,1/11/2017,10:29,right,true,5747,2,2_1_2_0,word_1_word_2_word_3,different,telephone,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,5,14,fem_plain,mal_sws,1,shoes,door,shoes,cheese,shoes,door,fem_plain_mal_sws,critical,1/11/2017,10:29,left,true,2939,2,2_1_2_1,word_1_word_2_word_3,far,shoes,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,5,14,fem_plain,mal_sws,2,shoes,door,shoes,cheese,shoes,door,fem_plain_mal_sws,critical,1/11/2017,10:29,right,true,2860,2,2_1_2_1,word_1_word_2_word_3,far,door,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,5,14,fem_plain,mal_sws,3,shoes,door,shoes,cheese,shoes,door,fem_plain_mal_sws,critical,1/11/2017,10:29,top_img,false,3249,3,2_1_2_1,word_1_word_2_word_3,far,cheese,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,6,4,fem_plain,mal_sws,1,strawberry,flower,coat,coat,strawberry,flower,fem_plain_mal_sws,critical,1/11/2017,10:29,left,true,2666,2,2_1_1_0,word_1_word_2_word_3,different,strawberry,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,6,4,fem_plain,mal_sws,2,strawberry,flower,coat,coat,strawberry,flower,fem_plain_mal_sws,critical,1/11/2017,10:29,right,true,2262,2,2_1_1_0,word_1_word_2_word_3,different,flower,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,6,4,fem_plain,mal_sws,3,strawberry,flower,coat,coat,strawberry,flower,fem_plain_mal_sws,critical,1/11/2017,10:29,top_img,true,3932,2,2_1_1_0,word_1_word_2_word_3,different,coat,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,7,16,fem_plain,mal_sws,1,banana,chair,banana,paintbrush,banana,chair,fem_plain_mal_sws,critical,1/11/2017,10:29,left,true,2204,4,2_1_2_1,word_1_word_2_word_3,far,banana,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,7,16,fem_plain,mal_sws,2,banana,chair,banana,paintbrush,banana,chair,fem_plain_mal_sws,critical,1/11/2017,10:29,right,true,2532,2,2_1_2_1,word_1_word_2_word_3,far,chair,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,7,16,fem_plain,mal_sws,3,banana,chair,banana,paintbrush,banana,chair,fem_plain_mal_sws,critical,1/11/2017,10:29,top_img,false,5042,2,2_1_2_1,word_1_word_2_word_3,far,paintbrush,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,8,9,fem_plain,mal_sws,1,grapes,window,window,pizza,grapes,window,fem_plain_mal_sws,critical,1/11/2017,10:29,left,true,2440,2,1_2_2_1,word_1_word_3_word_2,near,grapes,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,8,9,fem_plain,mal_sws,2,grapes,window,window,pizza,grapes,window,fem_plain_mal_sws,critical,1/11/2017,10:29,right,true,2572,2,1_2_2_1,word_1_word_3_word_2,near,window,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,8,9,fem_plain,mal_sws,3,grapes,window,window,pizza,grapes,window,fem_plain_mal_sws,critical,1/11/2017,10:29,right,true,4821,4,1_2_2_1,word_1_word_3_word_2,near,window,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,9,10,fem_plain,mal_sws,1,pig,hat,pig,tshirt,hat,pig,fem_plain_mal_sws,critical,1/11/2017,10:29,right,true,2237,2,2_1_2_1,word_2_word_3_word_1,far,pig,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,9,10,fem_plain,mal_sws,2,pig,hat,pig,tshirt,hat,pig,fem_plain_mal_sws,critical,1/11/2017,10:29,left,true,2449,2,2_1_2_1,word_2_word_3_word_1,far,hat,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,9,10,fem_plain,mal_sws,3,pig,hat,pig,tshirt,hat,pig,fem_plain_mal_sws,critical,1/11/2017,10:29,top_img,false,4660,2,2_1_2_1,word_2_word_3_word_1,far,tshirt,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,10,19,fem_plain,mal_sws,1,santa,building_blocks,tree,building_blocks,tree,santa,fem_plain_mal_sws,critical,1/11/2017,10:29,right,true,3459,2,2_1_1_0,word_2_word_3_word_1,different,santa,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,10,19,fem_plain,mal_sws,2,santa,building_blocks,tree,building_blocks,tree,santa,fem_plain_mal_sws,critical,1/11/2017,10:29,top_img,true,2612,1,2_1_1_0,word_2_word_3_word_1,different,building_blocks,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,10,19,fem_plain,mal_sws,3,santa,building_blocks,tree,building_blocks,tree,santa,fem_plain_mal_sws,critical,1/11/2017,10:29,left,true,4824,2,2_1_1_0,word_2_word_3_word_1,different,tree,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,11,23,fem_plain,mal_sws,1,bath,table,table,bath,table,teddy_bear,fem_plain_mal_sws,critical,1/11/2017,10:29,top_img,true,2842,2,1_2_2_1,word_1_word_3_word_2,near,bath,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,11,23,fem_plain,mal_sws,2,bath,table,table,bath,table,teddy_bear,fem_plain_mal_sws,critical,1/11/2017,10:29,left,true,4122,2,1_2_2_1,word_1_word_3_word_2,near,table,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,11,23,fem_plain,mal_sws,3,bath,table,table,bath,table,teddy_bear,fem_plain_mal_sws,critical,1/11/2017,10:29,left,true,6491,2,1_2_2_1,word_1_word_3_word_2,near,table,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,12,18,fem_plain,mal_sws,1,raspberry,camera,ball,ball,raspberry,camera,fem_plain_mal_sws,critical,1/11/2017,10:29,left,true,3378,2,1_2_2_0,word_1_word_2_word_3,different,raspberry,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,12,18,fem_plain,mal_sws,2,raspberry,camera,ball,ball,raspberry,camera,fem_plain_mal_sws,critical,1/11/2017,10:29,right,true,2818,2,1_2_2_0,word_1_word_2_word_3,different,camera,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,12,18,fem_plain,mal_sws,3,raspberry,camera,ball,ball,raspberry,camera,fem_plain_mal_sws,critical,1/11/2017,10:29,top_img,true,5062,2,1_2_2_0,word_1_word_2_word_3,different,ball,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,13,11,fem_plain,mal_sws,1,book,lorry,lorry,lorry,cow,book,fem_plain_mal_sws,critical,1/11/2017,10:29,right,true,3866,2,2_1_1_1,word_2_word_3_word_1,near,book,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,13,11,fem_plain,mal_sws,2,book,lorry,lorry,lorry,cow,book,fem_plain_mal_sws,critical,1/11/2017,10:29,top_img,true,2480,2,2_1_1_1,word_2_word_3_word_1,near,lorry,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,13,11,fem_plain,mal_sws,3,book,lorry,lorry,lorry,cow,book,fem_plain_mal_sws,critical,1/11/2017,10:29,left,false,5275,2,2_1_1_1,word_2_word_3_word_1,near,cow,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,14,20,fem_plain,mal_sws,1,jumper,rabbit,apple,jumper,apple,rabbit,fem_plain_mal_sws,critical,1/11/2017,10:29,top_img,true,2205,2,2_1_1_0,word_1_word_3_word_2,different,jumper,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,14,20,fem_plain,mal_sws,2,jumper,rabbit,apple,jumper,apple,rabbit,fem_plain_mal_sws,critical,1/11/2017,10:29,right,true,2249,2,2_1_1_0,word_1_word_3_word_2,different,rabbit,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,14,20,fem_plain,mal_sws,3,jumper,rabbit,apple,jumper,apple,rabbit,fem_plain_mal_sws,critical,1/11/2017,10:29,left,true,3449,2,2_1_1_0,word_1_word_3_word_2,different,apple,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,15,5,fem_plain,mal_sws,1,orange,mouth,car,car,orange,mouth,fem_plain_mal_sws,critical,1/11/2017,10:29,left,true,4064,2,2_1_2_0,word_2_word_1_word_3,different,orange,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,15,5,fem_plain,mal_sws,2,orange,mouth,car,car,orange,mouth,fem_plain_mal_sws,critical,1/11/2017,10:29,right,true,3050,1,2_1_2_0,word_2_word_1_word_3,different,mouth,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,15,5,fem_plain,mal_sws,3,orange,mouth,car,car,orange,mouth,fem_plain_mal_sws,critical,1/11/2017,10:29,top_img,true,3183,1,2_1_2_0,word_2_word_1_word_3,different,car,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,16,13,fem_plain,mal_sws,1,toothbrush,airplane,toothbrush,bread,airplane,toothbrush,fem_plain_mal_sws,critical,1/11/2017,10:29,right,true,2435,2,1_2_1_1,word_3_word_2_word_1,far,toothbrush,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,16,13,fem_plain,mal_sws,2,toothbrush,airplane,toothbrush,bread,airplane,toothbrush,fem_plain_mal_sws,critical,1/11/2017,10:29,left,true,2489,3,1_2_1_1,word_3_word_2_word_1,far,airplane,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,16,13,fem_plain,mal_sws,3,toothbrush,airplane,toothbrush,bread,airplane,toothbrush,fem_plain_mal_sws,critical,1/11/2017,10:29,top_img,false,4131,4,1_2_1_1,word_3_word_2_word_1,far,bread,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,17,15,fem_plain,mal_sws,1,pencil,beans,beans,pencil,beans,slide,fem_plain_mal_sws,critical,1/11/2017,10:29,top_img,true,2687,2,2_1_1_1,word_2_word_3_word_1,near,pencil,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,17,15,fem_plain,mal_sws,2,pencil,beans,beans,pencil,beans,slide,fem_plain_mal_sws,critical,1/11/2017,10:29,left,true,3543,2,2_1_1_1,word_2_word_3_word_1,near,beans,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,17,15,fem_plain,mal_sws,3,pencil,beans,beans,pencil,beans,slide,fem_plain_mal_sws,critical,1/11/2017,10:29,left,true,4574,2,2_1_1_1,word_2_word_3_word_1,near,beans,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,18,17,fem_plain,mal_sws,1,ambulance,hand,cake,cake,ambulance,hand,fem_plain_mal_sws,critical,1/11/2017,10:29,left,true,2584,1,1_2_2_0,word_1_word_2_word_3,different,ambulance,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,18,17,fem_plain,mal_sws,2,ambulance,hand,cake,cake,ambulance,hand,fem_plain_mal_sws,critical,1/11/2017,10:29,right,true,2759,2,1_2_2_0,word_1_word_2_word_3,different,hand,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,18,17,fem_plain,mal_sws,3,ambulance,hand,cake,cake,ambulance,hand,fem_plain_mal_sws,critical,1/11/2017,10:29,top_img,true,3349,1,1_2_2_0,word_1_word_2_word_3,different,cake,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,19,12,fem_plain,mal_sws,1,foot,gloves,gloves,foot,gloves,yoghurt,fem_plain_mal_sws,critical,1/11/2017,10:29,top_img,true,3703,2,2_1_1_1,word_1_word_3_word_2,near,foot,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,19,12,fem_plain,mal_sws,2,foot,gloves,gloves,foot,gloves,yoghurt,fem_plain_mal_sws,critical,1/11/2017,10:29,left,true,3034,2,2_1_1_1,word_1_word_3_word_2,near,gloves,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,19,12,fem_plain,mal_sws,3,foot,gloves,gloves,foot,gloves,yoghurt,fem_plain_mal_sws,critical,1/11/2017,10:29,left,true,4148,1,2_1_1_1,word_1_word_3_word_2,near,gloves,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,20,2,fem_plain,mal_sws,1,chicken,fork,bed,fork,bed,chicken,fem_plain_mal_sws,critical,1/11/2017,10:29,right,true,2937,2,2_1_2_0,word_3_word_1_word_2,different,chicken,English_Speech,preschool,katy,,,,,,,,,female
QtSJ6,20,2,fem_plain,mal_sws,2,chicken,fork,bed,fork,bed,chicken,fem_plain_mal_sws,critical,1/11/2017,10:29,top_img,true,2650,2,2_1_2_0,word_3_word_1_word_2,different,fork,English_Speech,preschool,katy,,,,,,,,,female
