subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
UWngh,1,0,mal_plain,fem_sws,1,tractor,glasses,fireman,tractor,glasses,fireman,mal_plain_fem_sws,training,1/11/2017,10:05,top_img,true,2879,4,2_1_1_0,word_3_word_2_word_1,different,tractor,English_Speech,preschool,katy,,,,,,,,,female
UWngh,1,0,mal_plain,fem_sws,2,tractor,glasses,fireman,tractor,glasses,fireman,mal_plain_fem_sws,training,1/11/2017,10:05,left,true,3575,1,2_1_1_0,word_3_word_2_word_1,different,glasses,English_Speech,preschool,katy,,,,,,,,,female
UWngh,1,0,mal_plain,fem_sws,3,tractor,glasses,fireman,tractor,glasses,fireman,mal_plain_fem_sws,training,1/11/2017,10:05,right,true,2980,1,2_1_1_0,word_3_word_2_word_1,different,fireman,English_Speech,preschool,katy,,,,,,,,,female
UWngh,2,13,mal_plain,fem_sws,1,toothbrush,bread,airplane,airplane,bread,toothbrush,mal_plain_fem_sws,critical,1/11/2017,10:05,right,true,2221,2,2_1_1_0,word_2_word_3_word_1,different,toothbrush,English_Speech,preschool,katy,,,,,,,,,female
UWngh,2,13,mal_plain,fem_sws,2,toothbrush,bread,airplane,airplane,bread,toothbrush,mal_plain_fem_sws,critical,1/11/2017,10:05,left,true,2471,2,2_1_1_0,word_2_word_3_word_1,different,bread,English_Speech,preschool,katy,,,,,,,,,female
UWngh,2,13,mal_plain,fem_sws,3,toothbrush,bread,airplane,airplane,bread,toothbrush,mal_plain_fem_sws,critical,1/11/2017,10:05,top_img,true,2119,4,2_1_1_0,word_2_word_3_word_1,different,airplane,English_Speech,preschool,katy,,,,,,,,,female
UWngh,3,2,mal_plain,fem_sws,1,chicken,fork,chicken,chicken,bed,fork,mal_plain_fem_sws,critical,1/11/2017,10:05,top_img,true,2559,2,1_2_1_1,word_2_word_1_word_3,far,chicken,English_Speech,preschool,katy,,,,,,,,,female
UWngh,3,2,mal_plain,fem_sws,2,chicken,fork,chicken,chicken,bed,fork,mal_plain_fem_sws,critical,1/11/2017,10:05,right,true,2079,1,1_2_1_1,word_2_word_1_word_3,far,fork,English_Speech,preschool,katy,,,,,,,,,female
UWngh,3,2,mal_plain,fem_sws,3,chicken,fork,chicken,chicken,bed,fork,mal_plain_fem_sws,critical,1/11/2017,10:05,left,false,6046,2,1_2_1_1,word_2_word_1_word_3,far,bed,English_Speech,preschool,katy,,,,,,,,,female
UWngh,4,19,mal_plain,fem_sws,1,santa,building_blocks,building_blocks,santa,building_blocks,tree,mal_plain_fem_sws,critical,1/11/2017,10:05,top_img,true,2320,2,1_2_2_1,word_1_word_2_word_3,near,santa,English_Speech,preschool,katy,,,,,,,,,female
UWngh,4,19,mal_plain,fem_sws,2,santa,building_blocks,building_blocks,santa,building_blocks,tree,mal_plain_fem_sws,critical,1/11/2017,10:05,left,true,2199,2,1_2_2_1,word_1_word_2_word_3,near,building_blocks,English_Speech,preschool,katy,,,,,,,,,female
UWngh,4,19,mal_plain,fem_sws,3,santa,building_blocks,building_blocks,santa,building_blocks,tree,mal_plain_fem_sws,critical,1/11/2017,10:05,right,false,2794,4,1_2_2_1,word_1_word_2_word_3,near,tree,English_Speech,preschool,katy,,,,,,,,,female
UWngh,5,17,mal_plain,fem_sws,1,cake,hand,hand,cake,hand,ambulance,mal_plain_fem_sws,critical,1/11/2017,10:05,top_img,true,2203,2,1_2_2_1,word_1_word_3_word_2,near,cake,English_Speech,preschool,katy,,,,,,,,,female
UWngh,5,17,mal_plain,fem_sws,2,cake,hand,hand,cake,hand,ambulance,mal_plain_fem_sws,critical,1/11/2017,10:05,left,true,2676,2,1_2_2_1,word_1_word_3_word_2,near,hand,English_Speech,preschool,katy,,,,,,,,,female
UWngh,5,17,mal_plain,fem_sws,3,cake,hand,hand,cake,hand,ambulance,mal_plain_fem_sws,critical,1/11/2017,10:05,right,false,3071,1,1_2_2_1,word_1_word_3_word_2,near,ambulance,English_Speech,preschool,katy,,,,,,,,,female
UWngh,6,22,mal_plain,fem_sws,1,dog,doctor,doctor,dog,doctor,bike,mal_plain_fem_sws,critical,1/11/2017,10:05,top_img,true,1731,2,2_1_1_1,word_2_word_3_word_1,near,dog,English_Speech,preschool,katy,,,,,,,,,female
UWngh,6,22,mal_plain,fem_sws,2,dog,doctor,doctor,dog,doctor,bike,mal_plain_fem_sws,critical,1/11/2017,10:05,left,true,2669,2,2_1_1_1,word_2_word_3_word_1,near,doctor,English_Speech,preschool,katy,,,,,,,,,female
UWngh,6,22,mal_plain,fem_sws,3,dog,doctor,doctor,dog,doctor,bike,mal_plain_fem_sws,critical,1/11/2017,10:05,right,false,3282,2,2_1_1_1,word_2_word_3_word_1,near,bike,English_Speech,preschool,katy,,,,,,,,,female
UWngh,7,11,mal_plain,fem_sws,1,cow,book,lorry,cow,lorry,book,mal_plain_fem_sws,critical,1/11/2017,10:05,top_img,true,3484,2,2_1_1_0,word_3_word_2_word_1,different,cow,English_Speech,preschool,katy,,,,,,,,,female
UWngh,7,11,mal_plain,fem_sws,2,cow,book,lorry,cow,lorry,book,mal_plain_fem_sws,critical,1/11/2017,10:05,right,true,2257,2,2_1_1_0,word_3_word_2_word_1,different,book,English_Speech,preschool,katy,,,,,,,,,female
UWngh,7,11,mal_plain,fem_sws,3,cow,book,lorry,cow,lorry,book,mal_plain_fem_sws,critical,1/11/2017,10:05,left,true,2236,2,2_1_1_0,word_3_word_2_word_1,different,lorry,English_Speech,preschool,katy,,,,,,,,,female
UWngh,8,3,mal_plain,fem_sws,1,trousers,telephone,nose,telephone,trousers,nose,mal_plain_fem_sws,critical,1/11/2017,10:05,left,true,2153,2,2_1_1_0,word_3_word_1_word_2,different,trousers,English_Speech,preschool,katy,,,,,,,,,female
UWngh,8,3,mal_plain,fem_sws,2,trousers,telephone,nose,telephone,trousers,nose,mal_plain_fem_sws,critical,1/11/2017,10:05,top_img,true,2599,2,2_1_1_0,word_3_word_1_word_2,different,telephone,English_Speech,preschool,katy,,,,,,,,,female
UWngh,8,3,mal_plain,fem_sws,3,trousers,telephone,nose,telephone,trousers,nose,mal_plain_fem_sws,critical,1/11/2017,10:05,right,true,2506,2,2_1_1_0,word_3_word_1_word_2,different,nose,English_Speech,preschool,katy,,,,,,,,,female
UWngh,9,9,mal_plain,fem_sws,1,window,grapes,window,window,grapes,pizza,mal_plain_fem_sws,critical,1/11/2017,10:05,top_img,true,2637,2,1_2_1_1,word_2_word_3_word_1,far,window,English_Speech,preschool,katy,,,,,,,,,female
