subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
UvuO6,1,0,fem_plain,fem_sws,1,glasses,fireman,glasses,tractor,fireman,glasses,fem_plain_fem_sws,training,1/11/2017,14:17,right,true,3534,12,1_2_1_1,word_3_word_1_word_2,far,glasses,English_Speech,preschool,katy,,,,,,,,,female
UvuO6,1,0,fem_plain,fem_sws,2,glasses,fireman,glasses,tractor,fireman,glasses,fem_plain_fem_sws,training,1/11/2017,14:17,left,true,2345,3,1_2_1_1,word_3_word_1_word_2,far,fireman,English_Speech,preschool,katy,,,,,,,,,female
UvuO6,1,0,fem_plain,fem_sws,3,glasses,fireman,glasses,tractor,fireman,glasses,fem_plain_fem_sws,training,1/11/2017,14:17,right,true,3098,2,1_2_1_1,word_3_word_1_word_2,far,glasses,English_Speech,preschool,katy,,,,,,,,,female
UvuO6,2,22,fem_plain,fem_sws,1,dog,bike,doctor,bike,doctor,dog,fem_plain_fem_sws,critical,1/11/2017,14:17,right,true,2874,1,1_2_2_0,word_1_word_3_word_2,different,dog,English_Speech,preschool,katy,,,,,,,,,female
UvuO6,2,22,fem_plain,fem_sws,2,dog,bike,doctor,bike,doctor,dog,fem_plain_fem_sws,critical,1/11/2017,14:17,top_img,true,2778,3,1_2_2_0,word_1_word_3_word_2,different,bike,English_Speech,preschool,katy,,,,,,,,,female
UvuO6,2,22,fem_plain,fem_sws,3,dog,bike,doctor,bike,doctor,dog,fem_plain_fem_sws,critical,1/11/2017,14:17,left,true,2879,2,1_2_2_0,word_1_word_3_word_2,different,doctor,English_Speech,preschool,katy,,,,,,,,,female
UvuO6,3,4,fem_plain,fem_sws,1,strawberry,coat,flower,strawberry,coat,flower,fem_plain_fem_sws,critical,1/11/2017,14:17,top_img,true,2465,2,2_1_1_0,word_2_word_1_word_3,different,strawberry,English_Speech,preschool,katy,,,,,,,,,female
UvuO6,3,4,fem_plain,fem_sws,2,strawberry,coat,flower,strawberry,coat,flower,fem_plain_fem_sws,critical,1/11/2017,14:17,left,true,2457,2,2_1_1_0,word_2_word_1_word_3,different,coat,English_Speech,preschool,katy,,,,,,,,,female
UvuO6,3,4,fem_plain,fem_sws,3,strawberry,coat,flower,strawberry,coat,flower,fem_plain_fem_sws,critical,1/11/2017,14:17,right,true,2322,2,2_1_1_0,word_2_word_1_word_3,different,flower,English_Speech,preschool,katy,,,,,,,,,female
UvuO6,4,2,fem_plain,fem_sws,1,fork,chicken,bed,chicken,fork,bed,fem_plain_fem_sws,critical,1/11/2017,14:17,left,true,2759,2,2_1_1_0,word_2_word_3_word_1,different,fork,English_Speech,preschool,katy,,,,,,,,,female
