subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
XjE6o,1,0,mal_plain,fem_sws,1,glasses,tractor,glasses,glasses,fireman,tractor,mal_plain_fem_sws,training,1/11/2017,10:19,top_img,true,5244,1,2_1_2_1,word_2_word_1_word_3,far,glasses,English_Speech,preschool,katy,,,,,,,,,female
XjE6o,1,0,mal_plain,fem_sws,2,glasses,tractor,glasses,glasses,fireman,tractor,mal_plain_fem_sws,training,1/11/2017,10:19,right,true,2157,2,2_1_2_1,word_2_word_1_word_3,far,tractor,English_Speech,preschool,katy,,,,,,,,,female
XjE6o,1,0,mal_plain,fem_sws,3,glasses,tractor,glasses,glasses,fireman,tractor,mal_plain_fem_sws,training,1/11/2017,10:19,top_img,true,5191,7,2_1_2_1,word_2_word_1_word_3,far,glasses,English_Speech,preschool,katy,,,,,,,,,female
XjE6o,2,6,mal_plain,fem_sws,1,carrot,peas,bird,bird,peas,carrot,mal_plain_fem_sws,critical,1/11/2017,10:19,right,true,2823,2,2_1_1_0,word_1_word_2_word_3,different,carrot,English_Speech,preschool,katy,,,,,,,,,female
XjE6o,2,6,mal_plain,fem_sws,2,carrot,peas,bird,bird,peas,carrot,mal_plain_fem_sws,critical,1/11/2017,10:19,left,true,2444,2,2_1_1_0,word_1_word_2_word_3,different,peas,English_Speech,preschool,katy,,,,,,,,,female
XjE6o,2,6,mal_plain,fem_sws,3,carrot,peas,bird,bird,peas,carrot,mal_plain_fem_sws,critical,1/11/2017,10:19,top_img,true,3819,4,2_1_1_0,word_1_word_2_word_3,different,bird,English_Speech,preschool,katy,,,,,,,,,female
XjE6o,3,21,mal_plain,fem_sws,1,sheep,frog,eye,frog,sheep,eye,mal_plain_fem_sws,critical,1/11/2017,10:19,left,true,3880,2,2_1_1_0,word_1_word_2_word_3,different,sheep,English_Speech,preschool,katy,,,,,,,,,female
XjE6o,3,21,mal_plain,fem_sws,2,sheep,frog,eye,frog,sheep,eye,mal_plain_fem_sws,critical,1/11/2017,10:19,top_img,true,3320,2,2_1_1_0,word_1_word_2_word_3,different,frog,English_Speech,preschool,katy,,,,,,,,,female
XjE6o,3,21,mal_plain,fem_sws,3,sheep,frog,eye,frog,sheep,eye,mal_plain_fem_sws,critical,1/11/2017,10:19,right,true,5876,2,2_1_1_0,word_1_word_2_word_3,different,eye,English_Speech,preschool,katy,,,,,,,,,female
XjE6o,4,15,mal_plain,fem_sws,1,slide,pencil,slide,pencil,beans,slide,mal_plain_fem_sws,critical,1/11/2017,10:19,right,true,3405,1,1_2_1_1,word_2_word_3_word_1,far,slide,English_Speech,preschool,katy,,,,,,,,,female
