subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
adS3o,1,0,mal_plain,fem_sws,1,tractor,fireman,tractor,glasses,fireman,tractor,mal_plain_fem_sws,training,1/11/2017,10:15,right,true,9315,2,1_2_1_1,word_2_word_1_word_3,far,tractor,English_Speech,preschool,katy,,,,,,,,,male
adS3o,1,0,mal_plain,fem_sws,2,tractor,fireman,tractor,glasses,fireman,tractor,mal_plain_fem_sws,training,1/11/2017,10:15,left,true,5673,4,1_2_1_1,word_2_word_1_word_3,far,fireman,English_Speech,preschool,katy,,,,,,,,,male
adS3o,1,0,mal_plain,fem_sws,3,tractor,fireman,tractor,glasses,fireman,tractor,mal_plain_fem_sws,training,1/11/2017,10:15,right,true,6992,5,1_2_1_1,word_2_word_1_word_3,far,tractor,English_Speech,preschool,katy,,,,,,,,,male
adS3o,2,1,mal_plain,fem_sws,1,spoon,train,spoon,spoon,train,baby,mal_plain_fem_sws,critical,1/11/2017,10:15,top_img,true,4807,2,1_2_1_1,word_1_word_3_word_2,far,spoon,English_Speech,preschool,katy,,,,,,,,,male
adS3o,2,1,mal_plain,fem_sws,2,spoon,train,spoon,spoon,train,baby,mal_plain_fem_sws,critical,1/11/2017,10:15,left,true,6288,1,1_2_1_1,word_1_word_3_word_2,far,train,English_Speech,preschool,katy,,,,,,,,,male
adS3o,2,1,mal_plain,fem_sws,3,spoon,train,spoon,spoon,train,baby,mal_plain_fem_sws,critical,1/11/2017,10:15,top_img,true,5384,5,1_2_1_1,word_1_word_3_word_2,far,spoon,English_Speech,preschool,katy,,,,,,,,,male
adS3o,3,3,mal_plain,fem_sws,1,telephone,nose,telephone,trousers,nose,telephone,mal_plain_fem_sws,critical,1/11/2017,10:15,right,true,4579,2,2_1_2_1,word_1_word_2_word_3,far,telephone,English_Speech,preschool,katy,,,,,,,,,male
adS3o,3,3,mal_plain,fem_sws,2,telephone,nose,telephone,trousers,nose,telephone,mal_plain_fem_sws,critical,1/11/2017,10:15,left,true,5433,2,2_1_2_1,word_1_word_2_word_3,far,nose,English_Speech,preschool,katy,,,,,,,,,male
adS3o,3,3,mal_plain,fem_sws,3,telephone,nose,telephone,trousers,nose,telephone,mal_plain_fem_sws,critical,1/11/2017,10:15,right,true,6656,2,2_1_2_1,word_1_word_2_word_3,far,telephone,English_Speech,preschool,katy,,,,,,,,,male
adS3o,4,5,mal_plain,fem_sws,1,car,orange,mouth,mouth,car,orange,mal_plain_fem_sws,critical,1/11/2017,10:15,left,true,3100,2,2_1_2_0,word_3_word_2_word_1,different,car,English_Speech,preschool,katy,,,,,,,,,male
adS3o,4,5,mal_plain,fem_sws,2,car,orange,mouth,mouth,car,orange,mal_plain_fem_sws,critical,1/11/2017,10:15,right,true,3965,2,2_1_2_0,word_3_word_2_word_1,different,orange,English_Speech,preschool,katy,,,,,,,,,male
adS3o,4,5,mal_plain,fem_sws,3,car,orange,mouth,mouth,car,orange,mal_plain_fem_sws,critical,1/11/2017,10:15,top_img,true,4255,7,2_1_2_0,word_3_word_2_word_1,different,mouth,English_Speech,preschool,katy,,,,,,,,,male
