subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
bYMXQ,1,0,fem_plain,mal_sws,1,tractor,fireman,glasses,fireman,tractor,glasses,fem_plain_mal_sws,training,1/11/2017,9:30,right,false,97,2,1_2_2_0,word_1_word_3_word_2,different,glasses,English_Speech,preschool,katy,,,,,,,,,male
bYMXQ,1,0,fem_plain,mal_sws,2,tractor,fireman,glasses,fireman,tractor,glasses,fem_plain_mal_sws,training,1/11/2017,9:30,top_img,true,12381,2,1_2_2_0,word_1_word_3_word_2,different,fireman,English_Speech,preschool,katy,,,,,,,,,male
bYMXQ,1,0,fem_plain,mal_sws,3,tractor,fireman,glasses,fireman,tractor,glasses,fem_plain_mal_sws,training,1/11/2017,9:30,left,false,6040,2,1_2_2_0,word_1_word_3_word_2,different,tractor,English_Speech,preschool,katy,,,,,,,,,male
bYMXQ,2,4,fem_plain,mal_sws,1,strawberry,coat,flower,coat,strawberry,flower,fem_plain_mal_sws,critical,1/11/2017,9:30,left,true,4614,2,2_1_1_0,word_1_word_2_word_3,different,strawberry,English_Speech,preschool,katy,,,,,,,,,male
bYMXQ,2,4,fem_plain,mal_sws,2,strawberry,coat,flower,coat,strawberry,flower,fem_plain_mal_sws,critical,1/11/2017,9:30,top_img,true,6979,1,2_1_1_0,word_1_word_2_word_3,different,coat,English_Speech,preschool,katy,,,,,,,,,male
bYMXQ,2,4,fem_plain,mal_sws,3,strawberry,coat,flower,coat,strawberry,flower,fem_plain_mal_sws,critical,1/11/2017,9:30,right,true,3812,2,2_1_1_0,word_1_word_2_word_3,different,flower,English_Speech,preschool,katy,,,,,,,,,male
bYMXQ,3,9,fem_plain,mal_sws,1,window,grapes,grapes,grapes,window,pizza,fem_plain_mal_sws,critical,1/11/2017,9:30,left,true,8255,6,1_2_2_1,word_3_word_2_word_1,near,window,English_Speech,preschool,katy,,,,,,,,,male
bYMXQ,3,9,fem_plain,mal_sws,2,window,grapes,grapes,grapes,window,pizza,fem_plain_mal_sws,critical,1/11/2017,9:30,top_img,true,4132,1,1_2_2_1,word_3_word_2_word_1,near,grapes,English_Speech,preschool,katy,,,,,,,,,male
bYMXQ,3,9,fem_plain,mal_sws,3,window,grapes,grapes,grapes,window,pizza,fem_plain_mal_sws,critical,1/11/2017,9:30,right,false,4786,2,1_2_2_1,word_3_word_2_word_1,near,pizza,English_Speech,preschool,katy,,,,,,,,,male
bYMXQ,4,23,fem_plain,mal_sws,1,bath,teddy_bear,table,bath,teddy_bear,table,fem_plain_mal_sws,critical,1/11/2017,9:30,top_img,true,3855,4,1_2_2_0,word_1_word_2_word_3,different,bath,English_Speech,preschool,katy,,,,,,,,,male
bYMXQ,4,23,fem_plain,mal_sws,2,bath,teddy_bear,table,bath,teddy_bear,table,fem_plain_mal_sws,critical,1/11/2017,9:30,left,true,3446,2,1_2_2_0,word_1_word_2_word_3,different,teddy_bear,English_Speech,preschool,katy,,,,,,,,,male
bYMXQ,4,23,fem_plain,mal_sws,3,bath,teddy_bear,table,bath,teddy_bear,table,fem_plain_mal_sws,critical,1/11/2017,9:30,right,true,5351,2,1_2_2_0,word_1_word_2_word_3,different,table,English_Speech,preschool,katy,,,,,,,,,male
bYMXQ,5,14,fem_plain,mal_sws,1,shoes,cheese,door,cheese,door,shoes,fem_plain_mal_sws,critical,1/11/2017,9:30,right,true,6874,1,1_2_2_0,word_1_word_3_word_2,different,shoes,English_Speech,preschool,katy,,,,,,,,,male
