subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
iAiXc,1,0,fem_plain,fem_sws,1,glasses,fireman,glasses,fireman,glasses,tractor,fem_plain_fem_sws,training,2/2/2017,10:40,left,true,3434,2,1_2_1_1,word_1_word_2_word_3,far,glasses,English_Speech,preschool,megan,,,,,,,,,female
iAiXc,1,0,fem_plain,fem_sws,2,glasses,fireman,glasses,fireman,glasses,tractor,fem_plain_fem_sws,training,2/2/2017,10:40,top_img,true,2476,2,1_2_1_1,word_1_word_2_word_3,far,fireman,English_Speech,preschool,megan,,,,,,,,,female
iAiXc,1,0,fem_plain,fem_sws,3,glasses,fireman,glasses,fireman,glasses,tractor,fem_plain_fem_sws,training,2/2/2017,10:40,right,false,2886,2,1_2_1_1,word_1_word_2_word_3,far,tractor,English_Speech,preschool,megan,,,,,,,,,female
iAiXc,2,11,fem_plain,fem_sws,1,book,lorry,cow,cow,book,lorry,fem_plain_fem_sws,critical,2/2/2017,10:40,left,true,5181,1,2_1_1_0,word_3_word_1_word_2,different,book,English_Speech,preschool,megan,,,,,,,,,female
iAiXc,2,11,fem_plain,fem_sws,2,book,lorry,cow,cow,book,lorry,fem_plain_fem_sws,critical,2/2/2017,10:40,right,true,2303,2,2_1_1_0,word_3_word_1_word_2,different,lorry,English_Speech,preschool,megan,,,,,,,,,female
iAiXc,2,11,fem_plain,fem_sws,3,book,lorry,cow,cow,book,lorry,fem_plain_fem_sws,critical,2/2/2017,10:40,left,false,2441,2,2_1_1_0,word_3_word_1_word_2,different,book,English_Speech,preschool,megan,,,,,,,,,female
iAiXc,3,7,fem_plain,fem_sws,1,horse,lolly,horse,horse,lolly,cat,fem_plain_fem_sws,critical,2/2/2017,10:40,top_img,true,2456,2,2_1_2_1,word_2_word_1_word_3,far,horse,English_Speech,preschool,megan,,,,,,,,,female
iAiXc,3,7,fem_plain,fem_sws,2,horse,lolly,horse,horse,lolly,cat,fem_plain_fem_sws,critical,2/2/2017,10:40,left,true,3382,2,2_1_2_1,word_2_word_1_word_3,far,lolly,English_Speech,preschool,megan,,,,,,,,,female
iAiXc,3,7,fem_plain,fem_sws,3,horse,lolly,horse,horse,lolly,cat,fem_plain_fem_sws,critical,2/2/2017,10:40,top_img,true,497,6,2_1_2_1,word_2_word_1_word_3,far,horse,English_Speech,preschool,megan,,,,,,,,,female
iAiXc,4,9,fem_plain,fem_sws,1,pizza,window,pizza,grapes,window,pizza,fem_plain_fem_sws,critical,2/2/2017,10:40,right,true,2986,1,1_2_1_1,word_3_word_2_word_1,far,pizza,English_Speech,preschool,megan,,,,,,,,,female
