subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
ufv2T,1,0,fem_plain,fem_sws,1,fireman,glasses,glasses,fireman,tractor,glasses,fem_plain_fem_sws,training,1/11/2017,9:58,top_img,true,3181,2,1_2_2_1,word_1_word_3_word_2,near,fireman,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,1,0,fem_plain,fem_sws,2,fireman,glasses,glasses,fireman,tractor,glasses,fem_plain_fem_sws,training,1/11/2017,9:58,right,true,5784,2,1_2_2_1,word_1_word_3_word_2,near,glasses,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,1,0,fem_plain,fem_sws,3,fireman,glasses,glasses,fireman,tractor,glasses,fem_plain_fem_sws,training,1/11/2017,9:58,left,false,3968,2,1_2_2_1,word_1_word_3_word_2,near,tractor,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,2,22,fem_plain,fem_sws,1,dog,bike,doctor,bike,doctor,dog,fem_plain_fem_sws,critical,1/11/2017,9:58,right,true,2266,2,2_1_2_0,word_1_word_3_word_2,different,dog,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,2,22,fem_plain,fem_sws,2,dog,bike,doctor,bike,doctor,dog,fem_plain_fem_sws,critical,1/11/2017,9:58,top_img,true,2521,2,2_1_2_0,word_1_word_3_word_2,different,bike,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,2,22,fem_plain,fem_sws,3,dog,bike,doctor,bike,doctor,dog,fem_plain_fem_sws,critical,1/11/2017,9:58,left,true,1271,2,2_1_2_0,word_1_word_3_word_2,different,doctor,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,3,1,fem_plain,fem_sws,1,train,spoon,baby,spoon,train,baby,fem_plain_fem_sws,critical,1/11/2017,9:58,left,true,2607,1,2_1_1_0,word_1_word_3_word_2,different,train,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,3,1,fem_plain,fem_sws,2,train,spoon,baby,spoon,train,baby,fem_plain_fem_sws,critical,1/11/2017,9:58,top_img,true,1872,2,2_1_1_0,word_1_word_3_word_2,different,spoon,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,3,1,fem_plain,fem_sws,3,train,spoon,baby,spoon,train,baby,fem_plain_fem_sws,critical,1/11/2017,9:58,right,true,2904,1,2_1_1_0,word_1_word_3_word_2,different,baby,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,4,11,fem_plain,fem_sws,1,cow,book,lorry,book,lorry,cow,fem_plain_fem_sws,critical,1/11/2017,9:58,right,true,3873,2,2_1_1_0,word_1_word_2_word_3,different,cow,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,4,11,fem_plain,fem_sws,2,cow,book,lorry,book,lorry,cow,fem_plain_fem_sws,critical,1/11/2017,9:58,top_img,true,3039,2,2_1_1_0,word_1_word_2_word_3,different,book,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,4,11,fem_plain,fem_sws,3,cow,book,lorry,book,lorry,cow,fem_plain_fem_sws,critical,1/11/2017,9:58,left,true,2084,2,2_1_1_0,word_1_word_2_word_3,different,lorry,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,5,2,fem_plain,fem_sws,1,chicken,fork,bed,bed,chicken,fork,fem_plain_fem_sws,critical,1/11/2017,9:58,left,true,3271,1,2_1_1_0,word_1_word_2_word_3,different,chicken,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,5,2,fem_plain,fem_sws,2,chicken,fork,bed,bed,chicken,fork,fem_plain_fem_sws,critical,1/11/2017,9:58,right,true,2948,3,2_1_1_0,word_1_word_2_word_3,different,fork,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,5,2,fem_plain,fem_sws,3,chicken,fork,bed,bed,chicken,fork,fem_plain_fem_sws,critical,1/11/2017,9:58,top_img,true,2453,2,2_1_1_0,word_1_word_2_word_3,different,bed,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,6,24,fem_plain,fem_sws,1,fish,socks,fish,socks,sink,fish,fem_plain_fem_sws,critical,1/11/2017,9:58,right,true,3406,2,1_2_1_1,word_3_word_1_word_2,far,fish,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,6,24,fem_plain,fem_sws,2,fish,socks,fish,socks,sink,fish,fem_plain_fem_sws,critical,1/11/2017,9:58,top_img,true,2478,2,1_2_1_1,word_3_word_1_word_2,far,socks,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,6,24,fem_plain,fem_sws,3,fish,socks,fish,socks,sink,fish,fem_plain_fem_sws,critical,1/11/2017,9:58,left,false,2857,2,1_2_1_1,word_3_word_1_word_2,far,sink,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,7,12,fem_plain,fem_sws,1,gloves,foot,gloves,foot,yoghurt,gloves,fem_plain_fem_sws,critical,1/11/2017,9:58,right,true,3567,1,2_1_2_1,word_1_word_2_word_3,far,gloves,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,7,12,fem_plain,fem_sws,2,gloves,foot,gloves,foot,yoghurt,gloves,fem_plain_fem_sws,critical,1/11/2017,9:58,top_img,true,1839,2,2_1_2_1,word_1_word_2_word_3,far,foot,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,7,12,fem_plain,fem_sws,3,gloves,foot,gloves,foot,yoghurt,gloves,fem_plain_fem_sws,critical,1/11/2017,9:58,left,false,1095,1,2_1_2_1,word_1_word_2_word_3,far,yoghurt,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,8,14,fem_plain,fem_sws,1,shoes,cheese,shoes,door,cheese,shoes,fem_plain_fem_sws,critical,1/11/2017,9:58,right,true,2489,2,2_1_2_1,word_3_word_1_word_2,far,shoes,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,8,14,fem_plain,fem_sws,2,shoes,cheese,shoes,door,cheese,shoes,fem_plain_fem_sws,critical,1/11/2017,9:58,left,true,2783,1,2_1_2_1,word_3_word_1_word_2,far,cheese,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,8,14,fem_plain,fem_sws,3,shoes,cheese,shoes,door,cheese,shoes,fem_plain_fem_sws,critical,1/11/2017,9:58,top_img,false,3120,2,2_1_2_1,word_3_word_1_word_2,far,door,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,9,21,fem_plain,fem_sws,1,frog,eye,sheep,eye,sheep,frog,fem_plain_fem_sws,critical,1/11/2017,9:58,right,true,3120,2,2_1_2_0,word_3_word_2_word_1,different,frog,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,9,21,fem_plain,fem_sws,2,frog,eye,sheep,eye,sheep,frog,fem_plain_fem_sws,critical,1/11/2017,9:58,top_img,true,2824,1,2_1_2_0,word_3_word_2_word_1,different,eye,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,9,21,fem_plain,fem_sws,3,frog,eye,sheep,eye,sheep,frog,fem_plain_fem_sws,critical,1/11/2017,9:58,left,true,2372,2,2_1_2_0,word_3_word_2_word_1,different,sheep,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,10,7,fem_plain,fem_sws,1,cat,horse,cat,cat,lolly,horse,fem_plain_fem_sws,critical,1/11/2017,9:58,top_img,true,3088,2,2_1_2_1,word_3_word_1_word_2,far,cat,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,10,7,fem_plain,fem_sws,2,cat,horse,cat,cat,lolly,horse,fem_plain_fem_sws,critical,1/11/2017,9:58,right,true,1964,2,2_1_2_1,word_3_word_1_word_2,far,horse,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,10,7,fem_plain,fem_sws,3,cat,horse,cat,cat,lolly,horse,fem_plain_fem_sws,critical,1/11/2017,9:58,left,false,2628,2,2_1_2_1,word_3_word_1_word_2,far,lolly,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,11,6,fem_plain,fem_sws,1,peas,carrot,carrot,peas,carrot,bird,fem_plain_fem_sws,critical,1/11/2017,9:58,top_img,true,2357,2,2_1_1_1,word_2_word_3_word_1,near,peas,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,11,6,fem_plain,fem_sws,2,peas,carrot,carrot,peas,carrot,bird,fem_plain_fem_sws,critical,1/11/2017,9:58,left,true,3617,2,2_1_1_1,word_2_word_3_word_1,near,carrot,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,11,6,fem_plain,fem_sws,3,peas,carrot,carrot,peas,carrot,bird,fem_plain_fem_sws,critical,1/11/2017,9:58,right,false,2844,2,2_1_1_1,word_2_word_3_word_1,near,bird,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,12,23,fem_plain,fem_sws,1,teddy_bear,bath,table,table,bath,teddy_bear,fem_plain_fem_sws,critical,1/11/2017,9:58,right,true,2615,2,2_1_1_0,word_3_word_1_word_2,different,teddy_bear,English_Speech,preschool,megan,,,,,,,,,female
ufv2T,12,23,fem_plain,fem_sws,2,teddy_bear,bath,table,table,bath,teddy_bear,fem_plain_fem_sws,critical,1/11/2017,9:58,left,true,3739,2,2_1_1_0,word_3_word_1_word_2,different,bath,English_Speech,preschool,megan,,,,,,,,,female
