subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
vsT2y,1,0,fem_plain,fem_sws,1,fireman,glasses,glasses,tractor,glasses,fireman,fem_plain_fem_sws,training,2/1/2017,9:17,right,true,3321,1,2_1_1_1,word_3_word_2_word_1,near,fireman,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,1,0,fem_plain,fem_sws,2,fireman,glasses,glasses,tractor,glasses,fireman,fem_plain_fem_sws,training,2/1/2017,9:17,left,true,2361,2,2_1_1_1,word_3_word_2_word_1,near,glasses,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,1,0,fem_plain,fem_sws,3,fireman,glasses,glasses,tractor,glasses,fireman,fem_plain_fem_sws,training,2/1/2017,9:17,left,true,5749,3,2_1_1_1,word_3_word_2_word_1,near,glasses,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,2,4,fem_plain,fem_sws,1,strawberry,coat,flower,coat,flower,strawberry,fem_plain_fem_sws,critical,2/1/2017,9:17,right,true,2678,2,1_2_2_0,word_1_word_3_word_2,different,strawberry,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,2,4,fem_plain,fem_sws,2,strawberry,coat,flower,coat,flower,strawberry,fem_plain_fem_sws,critical,2/1/2017,9:17,top_img,true,2651,2,1_2_2_0,word_1_word_3_word_2,different,coat,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,2,4,fem_plain,fem_sws,3,strawberry,coat,flower,coat,flower,strawberry,fem_plain_fem_sws,critical,2/1/2017,9:17,left,true,3824,4,1_2_2_0,word_1_word_3_word_2,different,flower,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,3,6,fem_plain,fem_sws,1,carrot,bird,peas,bird,peas,carrot,fem_plain_fem_sws,critical,2/1/2017,9:17,right,true,2703,2,2_1_2_0,word_1_word_2_word_3,different,carrot,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,3,6,fem_plain,fem_sws,2,carrot,bird,peas,bird,peas,carrot,fem_plain_fem_sws,critical,2/1/2017,9:17,top_img,true,2068,2,2_1_2_0,word_1_word_2_word_3,different,bird,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,3,6,fem_plain,fem_sws,3,carrot,bird,peas,bird,peas,carrot,fem_plain_fem_sws,critical,2/1/2017,9:17,left,true,2481,2,2_1_2_0,word_1_word_2_word_3,different,peas,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,4,5,fem_plain,fem_sws,1,orange,car,mouth,car,mouth,orange,fem_plain_fem_sws,critical,2/1/2017,9:17,right,true,3833,2,2_1_1_0,word_2_word_3_word_1,different,orange,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,4,5,fem_plain,fem_sws,2,orange,car,mouth,car,mouth,orange,fem_plain_fem_sws,critical,2/1/2017,9:17,top_img,true,2121,2,2_1_1_0,word_2_word_3_word_1,different,car,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,4,5,fem_plain,fem_sws,3,orange,car,mouth,car,mouth,orange,fem_plain_fem_sws,critical,2/1/2017,9:17,left,true,2204,2,2_1_1_0,word_2_word_3_word_1,different,mouth,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,5,17,fem_plain,fem_sws,1,hand,ambulance,hand,cake,ambulance,hand,fem_plain_fem_sws,critical,2/1/2017,9:17,right,true,2917,2,2_1_2_1,word_1_word_2_word_3,far,hand,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,5,17,fem_plain,fem_sws,2,hand,ambulance,hand,cake,ambulance,hand,fem_plain_fem_sws,critical,2/1/2017,9:17,left,true,2732,2,2_1_2_1,word_1_word_2_word_3,far,ambulance,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,5,17,fem_plain,fem_sws,3,hand,ambulance,hand,cake,ambulance,hand,fem_plain_fem_sws,critical,2/1/2017,9:17,top_img,false,4466,1,2_1_2_1,word_1_word_2_word_3,far,cake,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,6,7,fem_plain,fem_sws,1,horse,lolly,cat,cat,lolly,horse,fem_plain_fem_sws,critical,2/1/2017,9:17,right,true,2596,2,2_1_2_0,word_3_word_1_word_2,different,horse,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,6,7,fem_plain,fem_sws,2,horse,lolly,cat,cat,lolly,horse,fem_plain_fem_sws,critical,2/1/2017,9:17,left,true,3393,2,2_1_2_0,word_3_word_1_word_2,different,lolly,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,6,7,fem_plain,fem_sws,3,horse,lolly,cat,cat,lolly,horse,fem_plain_fem_sws,critical,2/1/2017,9:17,top_img,true,3262,2,2_1_2_0,word_3_word_1_word_2,different,cat,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,7,1,fem_plain,fem_sws,1,spoon,baby,train,spoon,baby,train,fem_plain_fem_sws,critical,2/1/2017,9:17,top_img,true,2185,2,1_2_2_0,word_1_word_2_word_3,different,spoon,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,7,1,fem_plain,fem_sws,2,spoon,baby,train,spoon,baby,train,fem_plain_fem_sws,critical,2/1/2017,9:17,left,true,2593,1,1_2_2_0,word_1_word_2_word_3,different,baby,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,7,1,fem_plain,fem_sws,3,spoon,baby,train,spoon,baby,train,fem_plain_fem_sws,critical,2/1/2017,9:17,right,true,2757,2,1_2_2_0,word_1_word_2_word_3,different,train,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,8,3,fem_plain,fem_sws,1,telephone,trousers,nose,telephone,trousers,nose,fem_plain_fem_sws,critical,2/1/2017,9:17,top_img,true,3889,1,2_1_1_0,word_3_word_1_word_2,different,telephone,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,8,3,fem_plain,fem_sws,2,telephone,trousers,nose,telephone,trousers,nose,fem_plain_fem_sws,critical,2/1/2017,9:17,left,true,2164,2,2_1_1_0,word_3_word_1_word_2,different,trousers,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,8,3,fem_plain,fem_sws,3,telephone,trousers,nose,telephone,trousers,nose,fem_plain_fem_sws,critical,2/1/2017,9:17,right,true,2726,2,2_1_1_0,word_3_word_1_word_2,different,nose,English_Speech,preschool,megan,,,,,,,,,male
vsT2y,9,16,fem_plain,fem_sws,1,banana,paintbrush,chair,banana,paintbrush,chair,fem_plain_fem_sws,critical,2/1/2017,9:17,top_img,true,2801,2,2_1_1_0,word_2_word_1_word_3,different,banana,English_Speech,preschool,megan,,,,,,,,,male
