subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
zmte4,1,0,mal_plain,mal_sws,1,fireman,tractor,fireman,tractor,fireman,glasses,mal_plain_mal_sws,training,2/2/2017,10:10,left,true,3117,2,1_2_1_1,word_3_word_1_word_2,far,fireman,English_Speech,preschool,katy,,,,,,,,,female
zmte4,1,0,mal_plain,mal_sws,2,fireman,tractor,fireman,tractor,fireman,glasses,mal_plain_mal_sws,training,2/2/2017,10:10,top_img,true,2538,2,1_2_1_1,word_3_word_1_word_2,far,tractor,English_Speech,preschool,katy,,,,,,,,,female
zmte4,1,0,mal_plain,mal_sws,3,fireman,tractor,fireman,tractor,fireman,glasses,mal_plain_mal_sws,training,2/2/2017,10:10,left,true,1369,6,1_2_1_1,word_3_word_1_word_2,far,fireman,English_Speech,preschool,katy,,,,,,,,,female
zmte4,2,1,mal_plain,mal_sws,1,train,baby,spoon,spoon,train,baby,mal_plain_mal_sws,critical,2/2/2017,10:10,left,true,2874,2,2_1_1_0,word_1_word_3_word_2,different,train,English_Speech,preschool,katy,,,,,,,,,female
zmte4,2,1,mal_plain,mal_sws,2,train,baby,spoon,spoon,train,baby,mal_plain_mal_sws,critical,2/2/2017,10:10,right,true,2235,2,2_1_1_0,word_1_word_3_word_2,different,baby,English_Speech,preschool,katy,,,,,,,,,female
zmte4,2,1,mal_plain,mal_sws,3,train,baby,spoon,spoon,train,baby,mal_plain_mal_sws,critical,2/2/2017,10:10,top_img,true,7436,2,2_1_1_0,word_1_word_3_word_2,different,spoon,English_Speech,preschool,katy,,,,,,,,,female
zmte4,3,7,mal_plain,mal_sws,1,horse,cat,lolly,cat,lolly,horse,mal_plain_mal_sws,critical,2/2/2017,10:10,right,true,3128,2,2_1_1_0,word_3_word_1_word_2,different,horse,English_Speech,preschool,katy,,,,,,,,,female
zmte4,3,7,mal_plain,mal_sws,2,horse,cat,lolly,cat,lolly,horse,mal_plain_mal_sws,critical,2/2/2017,10:10,top_img,true,3729,3,2_1_1_0,word_3_word_1_word_2,different,cat,English_Speech,preschool,katy,,,,,,,,,female
zmte4,3,7,mal_plain,mal_sws,3,horse,cat,lolly,cat,lolly,horse,mal_plain_mal_sws,critical,2/2/2017,10:10,left,true,3194,2,2_1_1_0,word_3_word_1_word_2,different,lolly,English_Speech,preschool,katy,,,,,,,,,female
zmte4,4,19,mal_plain,mal_sws,1,tree,santa,building_blocks,santa,building_blocks,tree,mal_plain_mal_sws,critical,2/2/2017,10:10,right,true,2860,1,2_1_2_0,word_1_word_2_word_3,different,tree,English_Speech,preschool,katy,,,,,,,,,female
zmte4,4,19,mal_plain,mal_sws,2,tree,santa,building_blocks,santa,building_blocks,tree,mal_plain_mal_sws,critical,2/2/2017,10:10,top_img,true,2715,2,2_1_2_0,word_1_word_2_word_3,different,santa,English_Speech,preschool,katy,,,,,,,,,female
zmte4,4,19,mal_plain,mal_sws,3,tree,santa,building_blocks,santa,building_blocks,tree,mal_plain_mal_sws,critical,2/2/2017,10:10,left,true,2243,2,2_1_2_0,word_1_word_2_word_3,different,building_blocks,English_Speech,preschool,katy,,,,,,,,,female
zmte4,5,24,mal_plain,mal_sws,1,socks,sink,fish,socks,sink,fish,mal_plain_mal_sws,critical,2/2/2017,10:10,top_img,true,2649,2,1_2_2_0,word_3_word_1_word_2,different,socks,English_Speech,preschool,katy,,,,,,,,,female
