subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
BhmYV,1,0,mal_plain,fem_sws,1,glasses,fireman,glasses,glasses,tractor,fireman,mal_plain_fem_sws,training,2/13/2017,12:58,top_img,true,2637,3,2_1_2_1,word_2_word_3_word_1,far,glasses,Italian_Speech,adult,katy,,,,,,,,,female
BhmYV,1,0,mal_plain,fem_sws,2,glasses,fireman,glasses,glasses,tractor,fireman,mal_plain_fem_sws,training,2/13/2017,12:58,right,true,3234,1,2_1_2_1,word_2_word_3_word_1,far,fireman,Italian_Speech,adult,katy,,,,,,,,,female
BhmYV,1,0,mal_plain,fem_sws,3,glasses,fireman,glasses,glasses,tractor,fireman,mal_plain_fem_sws,training,2/13/2017,12:58,left,false,3723,1,2_1_2_1,word_2_word_3_word_1,far,tractor,Italian_Speech,adult,katy,,,,,,,,,female
BhmYV,2,8,mal_plain,fem_sws,1,ear,fire_engine,wellboots,ear,wellboots,fire_engine,mal_plain_fem_sws,critical,2/13/2017,12:58,top_img,true,2984,1,1_2_2_0,word_3_word_1_word_2,different,ear,Italian_Speech,adult,katy,,,,,,,,,female
BhmYV,2,8,mal_plain,fem_sws,2,ear,fire_engine,wellboots,ear,wellboots,fire_engine,mal_plain_fem_sws,critical,2/13/2017,12:58,right,true,6984,1,1_2_2_0,word_3_word_1_word_2,different,fire_engine,Italian_Speech,adult,katy,,,,,,,,,female
BhmYV,2,8,mal_plain,fem_sws,3,ear,fire_engine,wellboots,ear,wellboots,fire_engine,mal_plain_fem_sws,critical,2/13/2017,12:58,top_img,false,4040,1,1_2_2_0,word_3_word_1_word_2,different,ear,Italian_Speech,adult,katy,,,,,,,,,female
BhmYV,3,21,mal_plain,fem_sws,1,sheep,eye,frog,frog,eye,sheep,mal_plain_fem_sws,critical,2/13/2017,12:58,top_img,false,5992,2,2_1_1_0,word_1_word_3_word_2,different,frog,Italian_Speech,adult,katy,,,,,,,,,female
BhmYV,3,21,mal_plain,fem_sws,2,sheep,eye,frog,frog,eye,sheep,mal_plain_fem_sws,critical,2/13/2017,12:58,left,true,3580,4,2_1_1_0,word_1_word_3_word_2,different,eye,Italian_Speech,adult,katy,,,,,,,,,female
BhmYV,3,21,mal_plain,fem_sws,3,sheep,eye,frog,frog,eye,sheep,mal_plain_fem_sws,critical,2/13/2017,12:58,right,false,3458,1,2_1_1_0,word_1_word_3_word_2,different,sheep,Italian_Speech,adult,katy,,,,,,,,,female
BhmYV,4,6,mal_plain,fem_sws,1,peas,bird,peas,peas,bird,carrot,mal_plain_fem_sws,critical,2/13/2017,12:58,top_img,true,2999,2,1_2_1_1,word_2_word_1_word_3,far,peas,Italian_Speech,adult,katy,,,,,,,,,female
BhmYV,4,6,mal_plain,fem_sws,2,peas,bird,peas,peas,bird,carrot,mal_plain_fem_sws,critical,2/13/2017,12:58,left,true,3166,1,1_2_1_1,word_2_word_1_word_3,far,bird,Italian_Speech,adult,katy,,,,,,,,,female
BhmYV,4,6,mal_plain,fem_sws,3,peas,bird,peas,peas,bird,carrot,mal_plain_fem_sws,critical,2/13/2017,12:58,left,false,4970,1,1_2_1_1,word_2_word_1_word_3,far,bird,Italian_Speech,adult,katy,,,,,,,,,female
BhmYV,5,24,mal_plain,fem_sws,1,socks,sink,fish,fish,sink,socks,mal_plain_fem_sws,critical,2/13/2017,12:58,right,true,5726,2,2_1_2_0,word_2_word_1_word_3,different,socks,Italian_Speech,adult,katy,,,,,,,,,female
BhmYV,5,24,mal_plain,fem_sws,2,socks,sink,fish,fish,sink,socks,mal_plain_fem_sws,critical,2/13/2017,12:58,top_img,false,3169,2,2_1_2_0,word_2_word_1_word_3,different,fish,Italian_Speech,adult,katy,,,,,,,,,female
BhmYV,5,24,mal_plain,fem_sws,3,socks,sink,fish,fish,sink,socks,mal_plain_fem_sws,critical,2/13/2017,12:58,top_img,true,3603,1,2_1_2_0,word_2_word_1_word_3,different,fish,Italian_Speech,adult,katy,,,,,,,,,female
BhmYV,6,18,mal_plain,fem_sws,1,raspberry,camera,ball,ball,raspberry,camera,mal_plain_fem_sws,critical,2/13/2017,12:58,left,true,4843,1,2_1_1_0,word_1_word_2_word_3,different,raspberry,Italian_Speech,adult,katy,,,,,,,,,female
BhmYV,6,18,mal_plain,fem_sws,2,raspberry,camera,ball,ball,raspberry,camera,mal_plain_fem_sws,critical,2/13/2017,12:58,right,true,2875,2,2_1_1_0,word_1_word_2_word_3,different,camera,Italian_Speech,adult,katy,,,,,,,,,female
