subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
EVwlI,1,0,fem_plain,fem_sws,1,fireman,glasses,tractor,fireman,tractor,glasses,fem_plain_fem_sws,training,1/30/2017,13:58,right,false,2143,9,2_1_1_0,word_1_word_3_word_2,different,glasses,Italian_Speech,adult,katy,,,,,,,,,male
EVwlI,1,0,fem_plain,fem_sws,2,fireman,glasses,tractor,fireman,tractor,glasses,fem_plain_fem_sws,training,1/30/2017,13:58,left,false,4411,2,2_1_1_0,word_1_word_3_word_2,different,tractor,Italian_Speech,adult,katy,,,,,,,,,male
EVwlI,1,0,fem_plain,fem_sws,3,fireman,glasses,tractor,fireman,tractor,glasses,fem_plain_fem_sws,training,1/30/2017,13:58,right,false,11394,2,2_1_1_0,word_1_word_3_word_2,different,glasses,Italian_Speech,adult,katy,,,,,,,,,male
EVwlI,2,19,fem_plain,fem_sws,1,tree,building_blocks,building_blocks,tree,santa,building_blocks,fem_plain_fem_sws,critical,1/30/2017,13:58,top_img,true,2056,2,2_1_1_1,word_3_word_1_word_2,near,tree,Italian_Speech,adult,katy,,,,,,,,,male
EVwlI,2,19,fem_plain,fem_sws,2,tree,building_blocks,building_blocks,tree,santa,building_blocks,fem_plain_fem_sws,critical,1/30/2017,13:58,right,true,2498,4,2_1_1_1,word_3_word_1_word_2,near,building_blocks,Italian_Speech,adult,katy,,,,,,,,,male
EVwlI,2,19,fem_plain,fem_sws,3,tree,building_blocks,building_blocks,tree,santa,building_blocks,fem_plain_fem_sws,critical,1/30/2017,13:58,right,true,9509,1,2_1_1_1,word_3_word_1_word_2,near,building_blocks,Italian_Speech,adult,katy,,,,,,,,,male
EVwlI,3,23,fem_plain,fem_sws,1,table,teddy_bear,bath,table,teddy_bear,bath,fem_plain_fem_sws,critical,1/30/2017,13:58,top_img,true,3422,2,2_1_1_0,word_3_word_2_word_1,different,table,Italian_Speech,adult,katy,,,,,,,,,male
EVwlI,3,23,fem_plain,fem_sws,2,table,teddy_bear,bath,table,teddy_bear,bath,fem_plain_fem_sws,critical,1/30/2017,13:58,left,true,4861,2,2_1_1_0,word_3_word_2_word_1,different,teddy_bear,Italian_Speech,adult,katy,,,,,,,,,male
EVwlI,3,23,fem_plain,fem_sws,3,table,teddy_bear,bath,table,teddy_bear,bath,fem_plain_fem_sws,critical,1/30/2017,13:58,right,true,3959,2,2_1_1_0,word_3_word_2_word_1,different,bath,Italian_Speech,adult,katy,,,,,,,,,male
EVwlI,4,1,fem_plain,fem_sws,1,train,spoon,spoon,train,baby,spoon,fem_plain_fem_sws,critical,1/30/2017,13:58,top_img,true,2109,2,1_2_2_1,word_3_word_2_word_1,near,train,Italian_Speech,adult,katy,,,,,,,,,male
