subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
Jmc8P,1,0,fem_plain,fem_sws,1,fireman,tractor,tractor,glasses,fireman,tractor,fem_plain_fem_sws,training,2/24/2017,22:37,right,false,4636,3,1_2_2_1,word_2_word_1_word_3,near,tractor,Italian_Speech,adult,megan,,,,,,,,,female
Jmc8P,1,0,fem_plain,fem_sws,2,fireman,tractor,tractor,glasses,fireman,tractor,fem_plain_fem_sws,training,2/24/2017,22:37,left,false,6038,1,1_2_2_1,word_2_word_1_word_3,near,fireman,Italian_Speech,adult,megan,,,,,,,,,female
Jmc8P,1,0,fem_plain,fem_sws,3,fireman,tractor,tractor,glasses,fireman,tractor,fem_plain_fem_sws,training,2/24/2017,22:37,top_img,false,2419,2,1_2_2_1,word_2_word_1_word_3,near,glasses,Italian_Speech,adult,megan,,,,,,,,,female
Jmc8P,2,5,fem_plain,fem_sws,1,orange,mouth,car,car,mouth,orange,fem_plain_fem_sws,critical,2/24/2017,22:37,right,true,3258,1,2_1_1_0,word_2_word_3_word_1,different,orange,Italian_Speech,adult,megan,,,,,,,,,female
Jmc8P,2,5,fem_plain,fem_sws,2,orange,mouth,car,car,mouth,orange,fem_plain_fem_sws,critical,2/24/2017,22:37,top_img,false,5211,1,2_1_1_0,word_2_word_3_word_1,different,car,Italian_Speech,adult,megan,,,,,,,,,female
Jmc8P,2,5,fem_plain,fem_sws,3,orange,mouth,car,car,mouth,orange,fem_plain_fem_sws,critical,2/24/2017,22:37,left,false,1814,2,2_1_1_0,word_2_word_3_word_1,different,mouth,Italian_Speech,adult,megan,,,,,,,,,female
Jmc8P,3,24,fem_plain,fem_sws,1,socks,sink,sink,fish,sink,socks,fem_plain_fem_sws,critical,2/24/2017,22:37,left,false,6051,1,2_1_1_1,word_2_word_1_word_3,near,sink,Italian_Speech,adult,megan,,,,,,,,,female
Jmc8P,3,24,fem_plain,fem_sws,2,socks,sink,sink,fish,sink,socks,fem_plain_fem_sws,critical,2/24/2017,22:37,top_img,false,5307,2,2_1_1_1,word_2_word_1_word_3,near,fish,Italian_Speech,adult,megan,,,,,,,,,female
Jmc8P,3,24,fem_plain,fem_sws,3,socks,sink,sink,fish,sink,socks,fem_plain_fem_sws,critical,2/24/2017,22:37,right,false,2254,3,2_1_1_1,word_2_word_1_word_3,near,socks,Italian_Speech,adult,megan,,,,,,,,,female
Jmc8P,4,1,fem_plain,fem_sws,1,spoon,baby,spoon,train,spoon,baby,fem_plain_fem_sws,critical,2/24/2017,22:37,left,true,7149,2,1_2_1_1,word_3_word_1_word_2,far,spoon,Italian_Speech,adult,megan,,,,,,,,,female
