subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
dbBjs,1,0,mal_plain,fem_sws,1,fireman,tractor,glasses,fireman,tractor,glasses,mal_plain_fem_sws,training,2/7/2017,13:22,right,false,3211,4,2_1_2_0,word_1_word_3_word_2,different,glasses,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,1,0,mal_plain,fem_sws,2,fireman,tractor,glasses,fireman,tractor,glasses,mal_plain_fem_sws,training,2/7/2017,13:22,top_img,false,11393,2,2_1_2_0,word_1_word_3_word_2,different,fireman,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,1,0,mal_plain,fem_sws,3,fireman,tractor,glasses,fireman,tractor,glasses,mal_plain_fem_sws,training,2/7/2017,13:22,left,false,3758,3,2_1_2_0,word_1_word_3_word_2,different,tractor,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,2,3,mal_plain,fem_sws,1,telephone,nose,trousers,telephone,nose,trousers,mal_plain_fem_sws,critical,2/7/2017,13:22,top_img,true,2782,2,2_1_1_0,word_3_word_2_word_1,different,telephone,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,2,3,mal_plain,fem_sws,2,telephone,nose,trousers,telephone,nose,trousers,mal_plain_fem_sws,critical,2/7/2017,13:22,left,true,5087,1,2_1_1_0,word_3_word_2_word_1,different,nose,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,2,3,mal_plain,fem_sws,3,telephone,nose,trousers,telephone,nose,trousers,mal_plain_fem_sws,critical,2/7/2017,13:22,right,true,3784,3,2_1_1_0,word_3_word_2_word_1,different,trousers,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,3,24,mal_plain,fem_sws,1,sink,fish,fish,fish,sink,socks,mal_plain_fem_sws,critical,2/7/2017,13:22,left,true,3083,1,2_1_1_1,word_2_word_1_word_3,near,sink,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,3,24,mal_plain,fem_sws,2,sink,fish,fish,fish,sink,socks,mal_plain_fem_sws,critical,2/7/2017,13:22,top_img,true,2927,4,2_1_1_1,word_2_word_1_word_3,near,fish,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,3,24,mal_plain,fem_sws,3,sink,fish,fish,fish,sink,socks,mal_plain_fem_sws,critical,2/7/2017,13:22,right,false,2739,4,2_1_1_1,word_2_word_1_word_3,near,socks,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,4,9,mal_plain,fem_sws,1,pizza,window,window,grapes,window,pizza,mal_plain_fem_sws,critical,2/7/2017,13:22,right,true,2624,2,2_1_1_1,word_3_word_2_word_1,near,pizza,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,4,9,mal_plain,fem_sws,2,pizza,window,window,grapes,window,pizza,mal_plain_fem_sws,critical,2/7/2017,13:22,top_img,false,7710,2,2_1_1_1,word_3_word_2_word_1,near,grapes,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,4,9,mal_plain,fem_sws,3,pizza,window,window,grapes,window,pizza,mal_plain_fem_sws,critical,2/7/2017,13:22,left,true,2939,2,2_1_1_1,word_3_word_2_word_1,near,window,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,5,2,mal_plain,fem_sws,1,fork,chicken,fork,fork,chicken,bed,mal_plain_fem_sws,critical,2/7/2017,13:22,top_img,true,2084,2,2_1_2_1,word_3_word_2_word_1,far,fork,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,5,2,mal_plain,fem_sws,2,fork,chicken,fork,fork,chicken,bed,mal_plain_fem_sws,critical,2/7/2017,13:22,left,true,6723,2,2_1_2_1,word_3_word_2_word_1,far,chicken,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,5,2,mal_plain,fem_sws,3,fork,chicken,fork,fork,chicken,bed,mal_plain_fem_sws,critical,2/7/2017,13:22,right,false,2888,1,2_1_2_1,word_3_word_2_word_1,far,bed,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,6,15,mal_plain,fem_sws,1,pencil,beans,pencil,pencil,slide,beans,mal_plain_fem_sws,critical,2/7/2017,13:22,top_img,true,8221,2,1_2_1_1,word_2_word_1_word_3,far,pencil,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,6,15,mal_plain,fem_sws,2,pencil,beans,pencil,pencil,slide,beans,mal_plain_fem_sws,critical,2/7/2017,13:22,left,false,4764,2,1_2_1_1,word_2_word_1_word_3,far,slide,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,6,15,mal_plain,fem_sws,3,pencil,beans,pencil,pencil,slide,beans,mal_plain_fem_sws,critical,2/7/2017,13:22,right,false,2937,1,1_2_1_1,word_2_word_1_word_3,far,beans,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,7,14,mal_plain,fem_sws,1,shoes,cheese,cheese,shoes,cheese,door,mal_plain_fem_sws,critical,2/7/2017,13:22,right,false,6417,2,1_2_2_1,word_2_word_1_word_3,near,door,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,7,14,mal_plain,fem_sws,2,shoes,cheese,cheese,shoes,cheese,door,mal_plain_fem_sws,critical,2/7/2017,13:22,left,true,2245,2,1_2_2_1,word_2_word_1_word_3,near,cheese,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,7,14,mal_plain,fem_sws,3,shoes,cheese,cheese,shoes,cheese,door,mal_plain_fem_sws,critical,2/7/2017,13:22,top_img,false,2489,2,1_2_2_1,word_2_word_1_word_3,near,shoes,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,8,10,mal_plain,fem_sws,1,hat,tshirt,tshirt,pig,hat,tshirt,mal_plain_fem_sws,critical,2/7/2017,13:22,left,true,2453,1,1_2_2_1,word_1_word_3_word_2,near,hat,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,8,10,mal_plain,fem_sws,2,hat,tshirt,tshirt,pig,hat,tshirt,mal_plain_fem_sws,critical,2/7/2017,13:22,top_img,false,3677,4,1_2_2_1,word_1_word_3_word_2,near,pig,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,8,10,mal_plain,fem_sws,3,hat,tshirt,tshirt,pig,hat,tshirt,mal_plain_fem_sws,critical,2/7/2017,13:22,right,true,2914,2,1_2_2_1,word_1_word_3_word_2,near,tshirt,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,9,19,mal_plain,fem_sws,1,santa,building_blocks,tree,tree,santa,building_blocks,mal_plain_fem_sws,critical,2/7/2017,13:22,left,true,7787,2,1_2_2_0,word_3_word_1_word_2,different,santa,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,9,19,mal_plain,fem_sws,2,santa,building_blocks,tree,tree,santa,building_blocks,mal_plain_fem_sws,critical,2/7/2017,13:22,top_img,false,3295,2,1_2_2_0,word_3_word_1_word_2,different,tree,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,9,19,mal_plain,fem_sws,3,santa,building_blocks,tree,tree,santa,building_blocks,mal_plain_fem_sws,critical,2/7/2017,13:22,right,false,2561,4,1_2_2_0,word_3_word_1_word_2,different,building_blocks,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,10,6,mal_plain,fem_sws,1,bird,carrot,bird,bird,peas,carrot,mal_plain_fem_sws,critical,2/7/2017,13:22,top_img,true,4210,2,1_2_1_1,word_1_word_2_word_3,far,bird,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,10,6,mal_plain,fem_sws,2,bird,carrot,bird,bird,peas,carrot,mal_plain_fem_sws,critical,2/7/2017,13:22,right,true,2809,2,1_2_1_1,word_1_word_2_word_3,far,carrot,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,10,6,mal_plain,fem_sws,3,bird,carrot,bird,bird,peas,carrot,mal_plain_fem_sws,critical,2/7/2017,13:22,left,false,3524,2,1_2_1_1,word_1_word_2_word_3,far,peas,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,11,7,mal_plain,fem_sws,1,lolly,horse,lolly,lolly,cat,horse,mal_plain_fem_sws,critical,2/7/2017,13:22,left,false,8472,2,2_1_2_1,word_1_word_3_word_2,far,cat,Italian_Speech,adult,megan,,,,,,,,,male
dbBjs,11,7,mal_plain,fem_sws,2,lolly,horse,lolly,lolly,cat,horse,mal_plain_fem_sws,critical,2/7/2017,13:22,right,true,3553,4,2_1_2_1,word_1_word_3_word_2,far,horse,Italian_Speech,adult,megan,,,,,,,,,male
