subject_id,trial_number,trial_id,plain,sws,instruction_number,sound1_item,sound2_item,sound3_item,top_image,left_image,right_image,sound_gender,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,play_counter,order,pic_position,distance,chosen_pic,test_lang,testing_loc,tester,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
tPVsB,1,0,mal_plain,fem_sws,1,glasses,fireman,glasses,tractor,fireman,glasses,mal_plain_fem_sws,training,2/26/2017,15:38,left,false,21812,2,2_1_2_1,word_3_word_1_word_2,far,fireman,Italian_Speech,adult,katy,,,,,,,,,male
tPVsB,1,0,mal_plain,fem_sws,2,glasses,fireman,glasses,tractor,fireman,glasses,mal_plain_fem_sws,training,2/26/2017,15:38,right,false,12217,1,2_1_2_1,word_3_word_1_word_2,far,glasses,Italian_Speech,adult,katy,,,,,,,,,male
tPVsB,1,0,mal_plain,fem_sws,3,glasses,fireman,glasses,tractor,fireman,glasses,mal_plain_fem_sws,training,2/26/2017,15:38,left,false,6193,1,2_1_2_1,word_3_word_1_word_2,far,fireman,Italian_Speech,adult,katy,,,,,,,,,male
tPVsB,2,15,mal_plain,fem_sws,1,pencil,slide,beans,slide,pencil,beans,mal_plain_fem_sws,critical,2/26/2017,15:38,right,false,6409,3,2_1_1_0,word_1_word_2_word_3,different,beans,Italian_Speech,adult,katy,,,,,,,,,male
tPVsB,2,15,mal_plain,fem_sws,2,pencil,slide,beans,slide,pencil,beans,mal_plain_fem_sws,critical,2/26/2017,15:38,left,false,5301,1,2_1_1_0,word_1_word_2_word_3,different,pencil,Italian_Speech,adult,katy,,,,,,,,,male
tPVsB,2,15,mal_plain,fem_sws,3,pencil,slide,beans,slide,pencil,beans,mal_plain_fem_sws,critical,2/26/2017,15:38,right,true,8433,1,2_1_1_0,word_1_word_2_word_3,different,beans,Italian_Speech,adult,katy,,,,,,,,,male
tPVsB,3,10,mal_plain,fem_sws,1,tshirt,pig,pig,hat,tshirt,pig,mal_plain_fem_sws,critical,2/26/2017,15:38,right,false,11391,2,2_1_1_1,word_3_word_2_word_1,near,pig,Italian_Speech,adult,katy,,,,,,,,,male
tPVsB,3,10,mal_plain,fem_sws,2,tshirt,pig,pig,hat,tshirt,pig,mal_plain_fem_sws,critical,2/26/2017,15:38,top_img,false,4921,1,2_1_1_1,word_3_word_2_word_1,near,hat,Italian_Speech,adult,katy,,,,,,,,,male
tPVsB,3,10,mal_plain,fem_sws,3,tshirt,pig,pig,hat,tshirt,pig,mal_plain_fem_sws,critical,2/26/2017,15:38,top_img,false,2973,1,2_1_1_1,word_3_word_2_word_1,near,hat,Italian_Speech,adult,katy,,,,,,,,,male
tPVsB,4,22,mal_plain,fem_sws,1,doctor,dog,doctor,dog,doctor,bike,mal_plain_fem_sws,critical,2/26/2017,15:38,left,true,5283,2,2_1_2_1,word_2_word_3_word_1,far,doctor,Italian_Speech,adult,katy,,,,,,,,,male
tPVsB,4,22,mal_plain,fem_sws,2,doctor,dog,doctor,dog,doctor,bike,mal_plain_fem_sws,critical,2/26/2017,15:38,top_img,true,4018,1,2_1_2_1,word_2_word_3_word_1,far,dog,Italian_Speech,adult,katy,,,,,,,,,male
tPVsB,4,22,mal_plain,fem_sws,3,doctor,dog,doctor,dog,doctor,bike,mal_plain_fem_sws,critical,2/26/2017,15:38,left,true,3585,1,2_1_2_1,word_2_word_3_word_1,far,doctor,Italian_Speech,adult,katy,,,,,,,,,male
