"","subject_id","speaker_match","clear","distorted","familiar","novel","far","near","familiar.unmentioned","novel.unmentioned","gender","dob","test_loc","age_years","language_status"
"1","1c2jj","Speaker Mismatch",1,0.708333333333333,0.416666666666667,1,0.428571428571429,0.4,0.5,1,"male","05/11/2012","nursery",4,"first"
"2","3MXnJ","Speaker Match",1,0.583333333333333,0.166666666666667,1,0.166666666666667,0.166666666666667,0.833333333333333,1,"female","08/10/2012","nursery",4,"first"
"3","4NX9Z","Speaker Mismatch",1,0.916666666666667,1,0.818181818181818,1,1,0,0.818181818181818,"female","11/03/2013","nursery",3,"first"
"4","51KXr","Speaker Mismatch",0.916666666666667,0.5,0.166666666666667,0.833333333333333,0,0.333333333333333,0.833333333333333,0.833333333333333,"female","26/05/2013","nursery",3,"first"
"5","5k53z","Speaker Match",1,0.958333333333333,0.916666666666667,1,0.857142857142857,1,0,1,"female","26/01/2013","nursery",4,"first"
"6","6ICF9","Speaker Match",0.979166666666667,0.458333333333333,0,1,0,0,1,1,"female","09/03/2012","nursery",4,"first"
"7","7QrlE","Speaker Match",0.979166666666667,0.791666666666667,0.916666666666667,0.666666666666667,1,0.8,0.0833333333333333,0.666666666666667,"female","06/06/2011","home",5,"first"
"8","7v7n8","Speaker Match",0.916666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,1,0.25,0.666666666666667,"female","04/10/2014","nursery",2,"first"
"9","83NdR","Speaker Match",0.875,0.5,0.416666666666667,0.583333333333333,0.285714285714286,0.6,0.416666666666667,0.583333333333333,"male","08/07/2013","nursery",3,"first"
"10","8EQTU","Speaker Mismatch",0.979166666666667,0.458333333333333,0.583333333333333,0.333333333333333,0.666666666666667,0.5,0.25,0.333333333333333,"female","13/10/2013","nursery",3,"first"
"11","952Nr","Speaker Match",1,0.916666666666667,0.916666666666667,0.916666666666667,0.833333333333333,1,0.0833333333333333,0.916666666666667,"female","11/07/2012","nursery",4,"first"
"12","9St0X","Speaker Match",1,0.833333333333333,0.846153846153846,0.818181818181818,0.857142857142857,0.833333333333333,0.153846153846154,0.818181818181818,"female","19/08/2013","nursery",3,"first"
"13","abEVk","Speaker Match",1,0.875,0.923076923076923,0.818181818181818,0.857142857142857,1,0.0769230769230769,0.818181818181818,"male","24/10/2012","nursery",4,"first"
"14","adNVz","Speaker Match",0.979166666666667,0.625,0.416666666666667,0.833333333333333,0.166666666666667,0.666666666666667,0.333333333333333,0.833333333333333,"male","23/02/2013","nursery",3,"first"
"15","AFHho","Speaker Match",1,0.5,0.0769230769230769,1,0.142857142857143,0,0.923076923076923,1,"female","23/02/2013","nursery",3,"first"
"16","AQUYH","Speaker Mismatch",0.916666666666667,0.541666666666667,0.230769230769231,0.909090909090909,0,0.5,0.769230769230769,0.909090909090909,"male","12/03/2012","nursery",4,"first"
"17","AuyDi","Speaker Match",0.916666666666667,0.458333333333333,0.307692307692308,0.636363636363636,0.571428571428571,0,0.692307692307692,0.636363636363636,"female","21/02/2013","nursery",3,"first"
"18","Bp5dk","Speaker Mismatch",0.791666666666667,0.541666666666667,0.384615384615385,0.727272727272727,0.285714285714286,0.5,0.384615384615385,0.727272727272727,"male","16/12/2013","nursery",3,"first"
"19","BPvzC","Speaker Match",0.958333333333333,0.583333333333333,0.166666666666667,1,0.285714285714286,0,0.833333333333333,1,"female","19/02/2012","nursery",4,"first"
"20","bYMXQ","Speaker Mismatch",0.75,0.583333333333333,0.461538461538462,0.727272727272727,0.428571428571429,0.5,0.384615384615385,0.727272727272727,"male","11/06/2013","nursery",3,"first"
