subject_id,trial_number,trial_id,target_side,foil_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
5NLhfsiAOk12d3xCXXeG9Zp4a,1,c,right,left,training,9/7/2016,10:34,left,0,27243,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,2,b,left,right,training,9/7/2016,10:34,left,1,8618,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,3,a,right,left,training,9/7/2016,10:34,right,1,5929,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,4,2,left,right,critical,9/7/2016,10:34,right,0,10254,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,5,3,left,right,critical,9/7/2016,10:34,left,1,12575,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,6,6,left,right,critical,9/7/2016,10:34,left,1,4840,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,7,8,right,left,critical,9/7/2016,10:34,right,1,6520,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,8,13,right,left,critical,9/7/2016,10:34,right,1,5417,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,9,23,right,left,critical,9/7/2016,10:34,right,1,16941,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,10,19,left,right,critical,9/7/2016,10:34,right,0,8095,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,11,21,right,left,critical,9/7/2016,10:34,right,1,7419,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,12,16,left,right,critical,9/7/2016,10:34,left,1,10924,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,13,18,left,right,critical,9/7/2016,10:34,left,1,8352,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,14,17,right,left,critical,9/7/2016,10:34,right,1,15471,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,15,12,right,left,critical,9/7/2016,10:34,right,1,10048,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,16,11,right,left,critical,9/7/2016,10:34,right,1,10835,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,17,1,left,right,critical,9/7/2016,10:34,left,1,3932,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,18,7,right,left,critical,9/7/2016,10:34,right,1,9034,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,19,20,right,left,critical,9/7/2016,10:34,right,1,17303,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,20,9,right,left,critical,9/7/2016,10:34,right,1,6094,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,21,15,left,right,critical,9/7/2016,10:34,left,1,9102,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,22,5,left,right,critical,9/7/2016,10:34,left,1,11487,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,23,22,left,right,critical,9/7/2016,10:34,left,1,9978,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,24,10,left,right,critical,9/7/2016,10:34,left,1,10218,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,25,14,right,left,critical,9/7/2016,10:34,right,1,6989,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,26,24,left,right,critical,9/7/2016,10:34,left,1,13829,2013-04-16,,,,,,2,1,male
5NLhfsiAOk12d3xCXXeG9Zp4a,27,4,right,left,critical,9/7/2016,10:34,right,1,6350,2013-04-16,,,,,,2,1,male
