subject_id,trial_number,trial_id,target_side,foil_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
BmT7BErGMOXys2BZxYVGxcIRu,1,c,right,left,training,9/20/2016,17:00,left,0,17462,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,2,b,left,right,training,9/20/2016,17:00,left,1,6261,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,3,a,right,left,training,9/20/2016,17:00,right,1,3978,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,4,17,left,right,critical,9/20/2016,17:00,left,1,3480,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,5,1,right,left,critical,9/20/2016,17:00,right,1,4032,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,6,23,left,right,critical,9/20/2016,17:00,left,1,4380,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,7,14,left,right,critical,9/20/2016,17:00,left,1,4515,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,8,2,right,left,critical,9/20/2016,17:00,right,1,5960,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,9,8,right,left,critical,9/20/2016,17:00,right,1,15105,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,10,24,left,right,critical,9/20/2016,17:00,left,1,4478,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,11,18,left,right,critical,9/20/2016,17:00,left,1,3323,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,12,10,left,right,critical,9/20/2016,17:00,left,1,2870,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,13,12,right,left,critical,9/20/2016,17:00,right,1,2763,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,14,11,left,right,critical,9/20/2016,17:00,left,1,3007,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,15,7,right,left,critical,9/20/2016,17:00,right,1,3201,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,16,20,left,right,critical,9/20/2016,17:00,left,1,3502,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,17,13,right,left,critical,9/20/2016,17:00,right,1,2497,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,18,21,right,left,critical,9/20/2016,17:00,right,1,2511,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,19,15,left,right,critical,9/20/2016,17:00,left,1,3690,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,20,9,right,left,critical,9/20/2016,17:00,right,1,3723,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,21,5,right,left,critical,9/20/2016,17:00,right,1,3479,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,22,16,right,left,critical,9/20/2016,17:00,right,1,2851,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,23,22,left,right,critical,9/20/2016,17:00,left,1,3316,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,24,6,left,right,critical,9/20/2016,17:00,left,1,3254,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,25,4,left,right,critical,9/20/2016,17:00,left,1,4126,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,26,3,right,left,critical,9/20/2016,17:00,right,1,2558,2011-06-16,,,,,,2,1,male
BmT7BErGMOXys2BZxYVGxcIRu,27,19,right,left,critical,9/20/2016,17:00,right,1,3948,2011-06-16,,,,,,2,1,male
