subject_id,trial_number,trial_id,target_side,foil_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
DmOdifvUXnfPPHPrGqCh4Cjx4,1,c,right,left,training,9/6/2016,19:18,left,0,12423,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,2,b,left,right,training,9/6/2016,19:18,left,1,2063,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,3,a,right,left,training,9/6/2016,19:18,right,1,1608,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,4,24,left,right,critical,9/6/2016,19:18,left,1,2378,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,5,23,left,right,critical,9/6/2016,19:18,left,1,4111,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,6,5,right,left,critical,9/6/2016,19:18,right,1,2359,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,7,7,left,right,critical,9/6/2016,19:18,left,1,1778,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,8,6,right,left,critical,9/6/2016,19:18,right,1,1462,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,9,17,left,right,critical,9/6/2016,19:18,left,1,1792,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,10,19,right,left,critical,9/6/2016,19:18,right,1,4783,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,11,14,left,right,critical,9/6/2016,19:18,left,1,2425,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,12,21,left,right,critical,9/6/2016,19:18,left,1,1626,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,13,8,right,left,critical,9/6/2016,19:18,right,1,1677,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,14,13,left,right,critical,9/6/2016,19:18,left,1,1491,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,15,10,right,left,critical,9/6/2016,19:18,right,1,1625,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,16,20,right,left,critical,9/6/2016,19:18,right,1,1349,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,17,15,right,left,critical,9/6/2016,19:18,right,1,1363,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,18,11,left,right,critical,9/6/2016,19:18,left,1,1958,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,19,16,right,left,critical,9/6/2016,19:18,right,1,2235,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,20,22,left,right,critical,9/6/2016,19:18,left,1,1158,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,21,3,right,left,critical,9/6/2016,19:18,right,1,7152,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,22,12,right,left,critical,9/6/2016,19:18,right,1,1418,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,23,2,right,left,critical,9/6/2016,19:18,right,1,1211,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,24,9,left,right,critical,9/6/2016,19:18,left,1,2110,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,25,18,left,right,critical,9/6/2016,19:18,left,1,1776,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,26,4,right,left,critical,9/6/2016,19:18,right,1,1691,2007-05-20,,,,,Sound first,1,1,female
DmOdifvUXnfPPHPrGqCh4Cjx4,27,1,left,right,critical,9/6/2016,19:18,left,1,1349,2007-05-20,,,,,Sound first,1,1,female
