subject_id,trial_number,trial_id,target_side,foil_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
N5zfTNCwuXXuFfU6QvbAG5h52,1,c,right,left,training,9/22/2016,16:58,left,0,14534,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,2,b,left,right,training,9/22/2016,16:58,left,1,6256,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,3,a,right,left,training,9/22/2016,16:58,right,1,4177,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,4,11,left,right,critical,9/22/2016,16:58,left,1,5533,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,5,24,left,right,critical,9/22/2016,16:58,left,1,6155,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,6,22,right,left,critical,9/22/2016,16:58,right,1,3660,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,7,19,right,left,critical,9/22/2016,16:58,right,1,8142,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,8,23,right,left,critical,9/22/2016,16:58,right,1,7408,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,9,1,left,right,critical,9/22/2016,16:58,right,0,3324,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,10,17,left,right,critical,9/22/2016,16:58,left,1,4700,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,11,10,right,left,critical,9/22/2016,16:58,right,1,5187,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,12,13,left,right,critical,9/22/2016,16:58,left,1,4145,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,13,5,right,left,critical,9/22/2016,16:58,right,1,3743,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,14,12,right,left,critical,9/22/2016,16:58,right,1,3014,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,15,14,left,right,critical,9/22/2016,16:58,left,1,4217,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,16,21,right,left,critical,9/22/2016,16:58,right,1,4053,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,17,20,right,left,critical,9/22/2016,16:58,right,1,5591,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,18,7,right,left,critical,9/22/2016,16:58,right,1,3191,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,19,9,left,right,critical,9/22/2016,16:58,left,1,3792,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,20,2,right,left,critical,9/22/2016,16:58,right,1,5344,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,21,3,left,right,critical,9/22/2016,16:58,left,1,3842,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,22,16,left,right,critical,9/22/2016,16:58,left,1,3470,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,23,4,left,right,critical,9/22/2016,16:58,left,1,2888,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,24,8,left,right,critical,9/22/2016,16:58,left,1,4281,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,25,6,right,left,critical,9/22/2016,16:58,right,1,4582,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,26,15,left,right,critical,9/22/2016,16:58,left,1,3469,2016-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,27,18,right,left,critical,9/22/2016,16:58,right,1,2882,2016-10-04,,,,,,1,1,male
