subject_id,trial_number,trial_id,target_side,foil_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
QQ9dw1f4Zlu2UVsbp8ox68uXd,1,c,right,left,training,8/24/2016,02:35,right,1,10935,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,2,b,left,right,training,8/24/2016,02:35,right,0,5075,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,3,a,right,left,training,8/24/2016,02:35,right,1,7314,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,4,13,left,right,critical,8/24/2016,02:35,left,1,4410,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,5,11,right,left,critical,8/24/2016,02:35,right,1,3180,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,6,20,right,left,critical,8/24/2016,02:35,right,1,2704,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,7,9,right,left,critical,8/24/2016,02:35,right,1,3415,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,8,7,left,right,critical,8/24/2016,02:35,left,1,2456,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,9,24,right,left,critical,8/24/2016,02:35,right,1,3442,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,10,3,right,left,critical,8/24/2016,02:35,right,1,3317,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,11,5,right,left,critical,8/24/2016,02:35,left,0,4692,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,12,6,right,left,critical,8/24/2016,02:35,left,0,6117,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,13,10,left,right,critical,8/24/2016,02:35,left,1,5283,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,14,12,right,left,critical,8/24/2016,02:35,right,1,3998,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,15,18,right,left,critical,8/24/2016,02:35,left,0,2790,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,16,2,left,right,critical,8/24/2016,02:35,left,1,5451,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,17,1,left,right,critical,8/24/2016,02:35,left,1,1990,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,18,22,left,right,critical,8/24/2016,02:35,left,1,2986,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,19,21,right,left,critical,8/24/2016,02:35,right,1,1683,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,20,19,right,left,critical,8/24/2016,02:35,left,0,1655,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,21,14,right,left,critical,8/24/2016,02:35,right,1,2468,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,22,17,left,right,critical,8/24/2016,02:35,left,1,1909,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,23,23,left,right,critical,8/24/2016,02:35,right,0,3705,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,24,4,left,right,critical,8/24/2016,02:35,left,1,4223,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,25,16,left,right,critical,8/24/2016,02:35,left,1,5454,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,26,8,left,right,critical,8/24/2016,02:35,left,1,5439,03/12/11,,English,,,,2,1,male
QQ9dw1f4Zlu2UVsbp8ox68uXd,27,15,left,right,critical,8/24/2016,02:35,left,1,2962,03/12/11,,English,,,,2,1,male
