subject_id,trial_number,trial_id,target_side,foil_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
WrK2XGw7teMA48WPiV9YWugEP,1,c,right,left,training,9/16/2016,14:42,left,0,25811,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,2,b,left,right,training,9/16/2016,14:42,left,1,4306,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,3,a,right,left,training,9/16/2016,14:42,right,1,3034,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,4,10,left,right,critical,9/16/2016,14:42,left,1,6729,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,5,4,right,left,critical,9/16/2016,14:42,right,1,5277,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,6,11,left,right,critical,9/16/2016,14:42,left,1,3896,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,7,15,right,left,critical,9/16/2016,14:42,right,1,3787,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,8,16,right,left,critical,9/16/2016,14:42,right,1,7385,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,9,22,left,right,critical,9/16/2016,14:42,left,1,2251,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,10,17,right,left,critical,9/16/2016,14:42,right,1,1555,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,11,5,left,right,critical,9/16/2016,14:42,left,1,2526,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,12,18,right,left,critical,9/16/2016,14:42,right,1,2810,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,13,24,left,right,critical,9/16/2016,14:42,left,1,2211,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,14,21,right,left,critical,9/16/2016,14:42,right,1,1993,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,15,7,left,right,critical,9/16/2016,14:42,left,1,1775,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,16,8,left,right,critical,9/16/2016,14:42,left,1,2570,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,17,2,right,left,critical,9/16/2016,14:42,right,1,3938,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,18,1,left,right,critical,9/16/2016,14:42,left,1,1996,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,19,12,right,left,critical,9/16/2016,14:42,right,1,2721,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,20,13,left,right,critical,9/16/2016,14:42,left,1,2229,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,21,19,right,left,critical,9/16/2016,14:42,right,1,3362,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,22,9,right,left,critical,9/16/2016,14:42,right,1,4547,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,23,3,left,right,critical,9/16/2016,14:42,left,1,11168,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,24,6,right,left,critical,9/16/2016,14:42,right,1,2541,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,25,14,left,right,critical,9/16/2016,14:42,left,1,5182,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,26,23,left,right,critical,9/16/2016,14:42,left,1,5415,2010-06-19,,,,,,1,1,female
WrK2XGw7teMA48WPiV9YWugEP,27,20,right,left,critical,9/16/2016,14:42,right,1,2371,2010-06-19,,,,,,1,1,female
