subject_id,trial_number,trial_id,target_side,foil_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
eqRFvHLDoLo78cytWszwngpEf,1,c,right,left,training,9/19/2016,15:35,right,1,40613,2014-05-24,,,,,,2,1,male
eqRFvHLDoLo78cytWszwngpEf,2,b,left,right,training,9/19/2016,15:35,left,1,31386,2014-05-24,,,,,,2,1,male
eqRFvHLDoLo78cytWszwngpEf,3,a,right,left,training,9/19/2016,15:35,right,1,3674,2014-05-24,,,,,,2,1,male
eqRFvHLDoLo78cytWszwngpEf,4,18,left,right,critical,9/19/2016,15:35,right,0,672,2014-05-24,,,,,,2,1,male
eqRFvHLDoLo78cytWszwngpEf,5,21,left,right,critical,9/19/2016,15:35,left,1,40847,2014-05-24,,,,,,2,1,male
eqRFvHLDoLo78cytWszwngpEf,6,6,left,right,critical,9/19/2016,15:35,left,1,20984,2014-05-24,,,,,,2,1,male
eqRFvHLDoLo78cytWszwngpEf,7,2,left,right,critical,9/19/2016,15:35,right,0,12463,2014-05-24,,,,,,2,1,male
eqRFvHLDoLo78cytWszwngpEf,8,11,left,right,critical,9/19/2016,15:35,left,1,18755,2014-05-24,,,,,,2,1,male
eqRFvHLDoLo78cytWszwngpEf,9,9,right,left,critical,9/19/2016,15:35,right,1,14805,2014-05-24,,,,,,2,1,male
eqRFvHLDoLo78cytWszwngpEf,10,7,left,right,critical,9/19/2016,15:35,left,1,22401,2014-05-24,,,,,,2,1,male
eqRFvHLDoLo78cytWszwngpEf,11,3,right,left,critical,9/19/2016,15:35,right,1,42911,2014-05-24,,,,,,2,1,male
