subject_id,trial_number,trial_id,target_side,foil_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
eqdUnKi4fU6e15UBzIRKwP7C4,1,c,right,left,training,9/29/2016,11:12,left,0,18411,2013-11-19,,,,,,1,1,female
eqdUnKi4fU6e15UBzIRKwP7C4,2,b,left,right,training,9/29/2016,11:12,left,1,9038,2013-11-19,,,,,,1,1,female
eqdUnKi4fU6e15UBzIRKwP7C4,3,a,right,left,training,9/29/2016,11:12,left,0,1670,2013-11-19,,,,,,1,1,female
eqdUnKi4fU6e15UBzIRKwP7C4,4,22,left,right,critical,9/29/2016,11:12,right,0,20988,2013-11-19,,,,,,1,1,female
eqdUnKi4fU6e15UBzIRKwP7C4,5,14,right,left,critical,9/29/2016,11:12,left,0,9812,2013-11-19,,,,,,1,1,female
eqdUnKi4fU6e15UBzIRKwP7C4,6,16,left,right,critical,9/29/2016,11:12,left,1,8687,2013-11-19,,,,,,1,1,female
eqdUnKi4fU6e15UBzIRKwP7C4,7,9,right,left,critical,9/29/2016,11:12,left,0,32903,2013-11-19,,,,,,1,1,female
eqdUnKi4fU6e15UBzIRKwP7C4,8,3,right,left,critical,9/29/2016,11:12,right,1,88262,2013-11-19,,,,,,1,1,female
eqdUnKi4fU6e15UBzIRKwP7C4,9,10,left,right,critical,9/29/2016,11:12,right,0,9571,2013-11-19,,,,,,1,1,female
eqdUnKi4fU6e15UBzIRKwP7C4,10,11,right,left,critical,9/29/2016,11:12,right,1,3340,2013-11-19,,,,,,1,1,female
eqdUnKi4fU6e15UBzIRKwP7C4,11,20,right,left,critical,9/29/2016,11:12,right,1,10370,2013-11-19,,,,,,1,1,female
eqdUnKi4fU6e15UBzIRKwP7C4,12,19,left,right,critical,9/29/2016,11:12,right,0,11876,2013-11-19,,,,,,1,1,female
eqdUnKi4fU6e15UBzIRKwP7C4,13,6,right,left,critical,9/29/2016,11:12,right,1,7886,2013-11-19,,,,,,1,1,female
eqdUnKi4fU6e15UBzIRKwP7C4,14,18,right,left,critical,9/29/2016,11:12,right,1,8202,2013-11-19,,,,,,1,1,female
eqdUnKi4fU6e15UBzIRKwP7C4,15,24,right,left,critical,9/29/2016,11:12,right,1,6511,2013-11-19,,,,,,1,1,female
eqdUnKi4fU6e15UBzIRKwP7C4,16,1,left,right,critical,9/29/2016,11:12,right,0,4727,2013-11-19,,,,,,1,1,female
eqdUnKi4fU6e15UBzIRKwP7C4,17,4,left,right,critical,9/29/2016,11:12,right,0,2749,2013-11-19,,,,,,1,1,female
