subject_id,trial_number,trial_id,target_side,foil_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
jlPGS8kR6fgYLSuLB0acTGPFG,1,c,right,left,training,9/16/2016,14:48,left,0,37388,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,2,b,left,right,training,9/16/2016,14:48,left,1,3485,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,3,a,right,left,training,9/16/2016,14:48,right,1,2633,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,4,10,left,right,critical,9/16/2016,14:48,left,1,3434,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,5,22,right,left,critical,9/16/2016,14:48,right,1,2542,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,6,7,right,left,critical,9/16/2016,14:48,right,1,2862,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,7,9,left,right,critical,9/16/2016,14:48,left,1,3876,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,8,24,right,left,critical,9/16/2016,14:48,right,1,2643,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,9,4,left,right,critical,9/16/2016,14:48,left,1,3780,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,10,18,left,right,critical,9/16/2016,14:48,left,1,3152,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,11,6,right,left,critical,9/16/2016,14:48,right,1,1945,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,12,17,right,left,critical,9/16/2016,14:48,right,1,2535,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,13,20,left,right,critical,9/16/2016,14:48,left,1,2218,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,14,5,right,left,critical,9/16/2016,14:48,right,1,4725,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,15,21,right,left,critical,9/16/2016,14:48,right,1,2313,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,16,1,left,right,critical,9/16/2016,14:48,left,1,2359,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,17,8,left,right,critical,9/16/2016,14:48,left,1,4539,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,18,14,right,left,critical,9/16/2016,14:48,right,1,2395,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,19,23,left,right,critical,9/16/2016,14:48,left,1,3225,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,20,15,right,left,critical,9/16/2016,14:48,right,1,2800,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,21,16,left,right,critical,9/16/2016,14:48,left,1,5907,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,22,19,left,right,critical,9/16/2016,14:48,right,0,3065,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,23,3,left,right,critical,9/16/2016,14:48,left,1,2546,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,24,12,left,right,critical,9/16/2016,14:48,left,1,3140,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,25,11,right,left,critical,9/16/2016,14:48,right,1,4010,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,26,2,left,right,critical,9/16/2016,14:48,left,1,6201,2013-06-19,,,,,,2,1,female
jlPGS8kR6fgYLSuLB0acTGPFG,27,13,right,left,critical,9/16/2016,14:48,right,1,2755,2013-06-19,,,,,,2,1,female
