subject_id,trial_number,trial_id,target_side,foil_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
uKrNQSPNLUAOufqNYUu5ZDURo,1,c,right,left,training,8/24/2016,11:56,left,0,17115,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,2,b,left,right,training,8/24/2016,11:56,left,1,7231,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,3,a,right,left,training,8/24/2016,11:56,right,1,4822,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,4,16,left,right,critical,8/24/2016,11:56,left,1,11843,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,5,6,right,left,critical,8/24/2016,11:56,right,1,3628,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,6,22,left,right,critical,8/24/2016,11:56,left,1,3134,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,7,23,left,right,critical,8/24/2016,11:56,left,1,3103,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,8,17,left,right,critical,8/24/2016,11:56,left,1,3508,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,9,9,right,left,critical,8/24/2016,11:56,right,1,3023,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,10,11,right,left,critical,8/24/2016,11:56,right,1,4065,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,11,21,left,right,critical,8/24/2016,11:56,left,1,3810,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,12,4,left,right,critical,8/24/2016,11:56,left,1,3304,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,13,14,right,left,critical,8/24/2016,11:56,right,1,2273,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,14,24,right,left,critical,8/24/2016,11:56,right,1,2106,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,15,8,left,right,critical,8/24/2016,11:56,right,0,7973,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,16,13,right,left,critical,8/24/2016,11:56,right,1,1801,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,17,18,left,right,critical,8/24/2016,11:56,left,1,3799,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,18,5,right,left,critical,8/24/2016,11:56,right,1,2992,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,19,15,right,left,critical,8/24/2016,11:56,right,1,3512,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,20,12,left,right,critical,8/24/2016,11:56,left,1,2335,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,21,7,left,right,critical,8/24/2016,11:56,left,1,1972,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,22,10,right,left,critical,8/24/2016,11:56,right,1,2024,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,23,3,left,right,critical,8/24/2016,11:56,left,1,3028,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,24,2,right,left,critical,8/24/2016,11:56,right,1,3858,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,25,19,left,right,critical,8/24/2016,11:56,left,1,2944,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,26,20,right,left,critical,8/24/2016,11:56,right,1,1752,19/02/12,,,,,,,,female
uKrNQSPNLUAOufqNYUu5ZDURo,27,1,left,right,critical,8/24/2016,11:56,left,1,2624,19/02/12,,,,,,,,female
