subject_id,trial_number,trial_id,target_side,foil_side,trial_type,date_stamp,time_stamp,side_chosen,accuracy,rt,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
vYygUI9RvRkz4L4mOQgdamN14,1,c,right,left,training,9/23/2016,16:54,left,0,19381,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,2,b,left,right,training,9/23/2016,16:54,left,1,5817,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,3,a,right,left,training,9/23/2016,16:54,right,1,2960,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,4,18,left,right,critical,9/23/2016,16:54,left,1,2469,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,5,6,right,left,critical,9/23/2016,16:54,right,1,5724,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,6,24,left,right,critical,9/23/2016,16:54,left,1,2634,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,7,22,left,right,critical,9/23/2016,16:54,left,1,4646,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,8,3,right,left,critical,9/23/2016,16:54,right,1,3581,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,9,11,right,left,critical,9/23/2016,16:54,right,1,2799,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,10,15,right,left,critical,9/23/2016,16:54,right,1,2524,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,11,2,left,right,critical,9/23/2016,16:54,left,1,17442,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,12,13,left,right,critical,9/23/2016,16:54,left,1,7434,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,13,1,right,left,critical,9/23/2016,16:54,right,1,5664,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,14,9,right,left,critical,9/23/2016,16:54,right,1,3594,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,15,20,right,left,critical,9/23/2016,16:54,right,1,2728,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,16,8,left,right,critical,9/23/2016,16:54,left,1,3083,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,17,7,left,right,critical,9/23/2016,16:54,left,1,2750,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,18,14,right,left,critical,9/23/2016,16:54,right,1,6103,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,19,5,left,right,critical,9/23/2016,16:54,left,1,4096,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,20,16,left,right,critical,9/23/2016,16:54,left,1,23313,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,21,21,right,left,critical,9/23/2016,16:54,right,1,2847,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,22,12,left,right,critical,9/23/2016,16:54,left,1,4332,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,23,17,right,left,critical,9/23/2016,16:54,right,1,1864,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,24,23,right,left,critical,9/23/2016,16:54,right,1,5668,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,25,10,right,left,critical,9/23/2016,16:54,right,1,3160,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,26,19,left,right,critical,9/23/2016,16:54,left,1,3689,2010-05-12,,,,,,1,0,female
vYygUI9RvRkz4L4mOQgdamN14,27,4,left,right,critical,9/23/2016,16:54,left,1,2486,2010-05-12,,,,,,1,0,female
