subject_id,trial_number,trial_id,target_sentence,foil_sentence,target_side,foil_side,trial_type,presentation_order,date_stamp,time_stamp,side_chosen,accuracy,rt,times_played,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
4I1sr42yr3MIPFu287uq5b8gn,1,c,the_mouse_loves_cheese,the_cat_is_sleeping,right,left,training,1,8/24/2016,03:01,right,1,5734,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,2,b,the_frog_is_jumping,the_mouse_loves_cheese,left,right,training,0,8/24/2016,03:01,left,1,1136,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,3,a,the_cat_is_sleeping,the_frog_is_jumping,right,left,training,1,8/24/2016,03:01,right,1,683,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,4,14,he_finished_all_the_chocolates,she_has_cereal_for_breakfast,left,right,critical,0,8/24/2016,03:01,left,1,6503,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,5,8,she_likes_eating_carrots,the_chickens_lay_eggs,left,right,critical,1,8/24/2016,03:01,right,0,694,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,6,6,the_bee_is_on_the_flower,the_birds_are_flying,right,left,critical,0,8/24/2016,03:01,left,0,254,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,7,12,the_pizza_was_too_hot,the_dolphins_are_swimming,left,right,critical,1,8/24/2016,03:01,right,0,791,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,8,18,the_birds_are_flying,the_dog_is_barking,right,left,critical,0,8/24/2016,03:01,left,0,952,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,9,20,the_cheese_is_tasty,she_bought_a_cake,right,left,critical,0,8/24/2016,03:01,left,0,1094,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,10,1,the_dolphins_are_swimming,the_horses_are_in_the_field,right,left,critical,1,8/24/2016,03:01,right,1,804,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,11,16,she_grew_lots_of_tomatoes,the_turtle_lives_in_the_sea,right,left,critical,1,8/24/2016,03:01,left,0,1961,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,12,23,the_fish_are_in_the_river,he_is_peeling_a_banana,left,right,critical,0,8/24/2016,03:01,left,1,485,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,13,15,he_dropped_the_cheeseburger,the_bee_is_on_the_flower,right,left,critical,0,8/24/2016,03:01,left,0,126,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,14,10,the_chickens_lay_eggs,he_finished_all_the_chocolates,right,left,critical,0,8/24/2016,03:01,right,1,-24,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,15,19,he_made_a_salad,we_took_some_sandwiches,left,right,critical,0,8/24/2016,03:01,left,1,631,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,16,5,the_turtle_lives_in_the_sea,we_had_pasta_for_dinner,right,left,critical,0,8/24/2016,03:01,right,1,603,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,17,22,she_bought_a_cake,he_made_a_salad,right,left,critical,1,8/24/2016,03:01,right,1,108,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,18,13,the_butterfly_is_pretty,the_pizza_was_too_hot,right,left,critical,0,8/24/2016,03:01,right,1,-15,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,19,24,the_monkey_is_up_in_the_tree,the_ladybirds_are_very_red,left,right,critical,1,8/24/2016,03:01,left,1,114,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,20,9,the_elephant_is_very_big,the_monkey_is_up_in_the_tree,left,right,critical,1,8/24/2016,03:01,right,0,140,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,21,3,the_horses_are_in_the_field,the_fish_are_in_the_river,right,left,critical,1,8/24/2016,03:01,left,0,1444,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,22,11,the_dog_is_barking,the_cheese_is_tasty,left,right,critical,0,8/24/2016,03:01,left,1,90,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,23,4,we_had_pasta_for_dinner,she_likes_eating_carrots,left,right,critical,1,8/24/2016,03:01,right,0,178,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,24,17,we_took_some_sandwiches,he_dropped_the_cheeseburger,left,right,critical,0,8/24/2016,03:01,left,1,296,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,25,2,she_has_cereal_for_breakfast,she_grew_lots_of_tomatoes,right,left,critical,1,8/24/2016,03:01,right,1,337,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,26,7,the_ladybirds_are_very_red,the_elephant_is_very_big,left,right,critical,1,8/24/2016,03:01,left,1,212,1,22/09/10,,,,,,,,male
4I1sr42yr3MIPFu287uq5b8gn,27,21,he_is_peeling_a_banana,the_butterfly_is_pretty,left,right,critical,1,8/24/2016,03:01,right,0,145,1,22/09/10,,,,,,,,male
