subject_id,trial_number,trial_id,target_sentence,foil_sentence,target_side,foil_side,trial_type,presentation_order,date_stamp,time_stamp,side_chosen,accuracy,rt,times_played,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
N5zfTNCwuXXuFfU6QvbAG5h52,1,c,the_mouse_loves_cheese,the_cat_is_sleeping,right,left,training,1,9/22/2016,17:05,right,1,1522.999999999999,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,2,b,the_frog_is_jumping,the_mouse_loves_cheese,left,right,training,0,9/22/2016,17:05,left,1,1476.999999999999,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,3,a,the_cat_is_sleeping,the_frog_is_jumping,right,left,training,1,9/22/2016,17:05,right,1,1506.999999999999,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,4,24,the_monkey_is_up_in_the_tree,the_ladybirds_are_very_red,left,right,critical,0,9/22/2016,17:05,left,1,2372.999999999999,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,5,16,she_grew_lots_of_tomatoes,the_turtle_lives_in_the_sea,right,left,critical,1,9/22/2016,17:05,right,1,3644.999999999999,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,6,4,we_had_pasta_for_dinner,she_likes_eating_carrots,right,left,critical,1,9/22/2016,17:05,right,1,2192.999999999999,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,7,17,we_took_some_sandwiches,he_dropped_the_cheeseburger,right,left,critical,1,9/22/2016,17:05,right,1,490.9999999999991,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,8,14,he_finished_all_the_chocolates,she_has_cereal_for_breakfast,right,left,critical,1,9/22/2016,17:05,right,1,1473.999999999999,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,9,8,she_likes_eating_carrots,the_chickens_lay_eggs,left,right,critical,1,9/22/2016,17:05,right,0,543.9999999999991,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,10,18,the_birds_are_flying,the_dog_is_barking,left,right,critical,0,9/22/2016,17:05,left,1,97.99999999999909,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,11,6,the_bee_is_on_the_flower,the_birds_are_flying,left,right,critical,1,9/22/2016,17:05,right,0,1252.999999999999,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,12,22,she_bought_a_cake,he_made_a_salad,right,left,critical,0,9/22/2016,17:05,right,1,58.99999999999909,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,13,5,the_turtle_lives_in_the_sea,we_had_pasta_for_dinner,left,right,critical,1,9/22/2016,17:05,left,1,898.9999999999991,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,14,3,the_horses_are_in_the_field,the_fish_are_in_the_river,left,right,critical,1,9/22/2016,17:05,left,1,897.9999999999991,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,15,9,the_elephant_is_very_big,the_monkey_is_up_in_the_tree,left,right,critical,0,9/22/2016,17:05,left,1,2897.999999999999,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,16,11,the_dog_is_barking,the_cheese_is_tasty,left,right,critical,1,9/22/2016,17:05,left,1,909.9999999999991,2,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,17,15,he_dropped_the_cheeseburger,the_bee_is_on_the_flower,left,right,critical,0,9/22/2016,17:05,left,1,553.9999999999991,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,18,1,the_dolphins_are_swimming,the_horses_are_in_the_field,left,right,critical,1,9/22/2016,17:05,left,1,896.9999999999991,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,19,12,the_pizza_was_too_hot,the_dolphins_are_swimming,right,left,critical,0,9/22/2016,17:05,right,1,890.9999999999991,2,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,20,23,the_fish_are_in_the_river,he_is_peeling_a_banana,right,left,critical,1,9/22/2016,17:05,right,1,390.9999999999991,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,21,7,the_ladybirds_are_very_red,the_elephant_is_very_big,left,right,critical,0,9/22/2016,17:05,left,1,2220.999999999999,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,22,19,he_made_a_salad,we_took_some_sandwiches,left,right,critical,0,9/22/2016,17:05,left,1,430.9999999999991,2,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,23,21,he_is_peeling_a_banana,the_butterfly_is_pretty,right,left,critical,0,9/22/2016,17:05,right,1,299.9999999999991,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,24,10,the_chickens_lay_eggs,he_finished_all_the_chocolates,right,left,critical,0,9/22/2016,17:05,right,1,428.9999999999991,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,25,20,the_cheese_is_tasty,she_bought_a_cake,right,left,critical,0,9/22/2016,17:05,right,1,787.9999999999991,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,26,2,she_has_cereal_for_breakfast,she_grew_lots_of_tomatoes,left,right,critical,0,9/22/2016,17:05,left,1,1200.999999999999,1,2010-10-04,,,,,,1,1,male
N5zfTNCwuXXuFfU6QvbAG5h52,27,13,the_butterfly_is_pretty,the_pizza_was_too_hot,right,left,critical,0,9/22/2016,17:05,right,1,597.9999999999991,1,2010-10-04,,,,,,1,1,male
