subject_id,trial_number,trial_id,target_sentence,foil_sentence,target_side,foil_side,trial_type,presentation_order,date_stamp,time_stamp,side_chosen,accuracy,rt,times_played,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
aa2mcQ5IacTpJ6hJEXEapOopd,1,c,the_mouse_loves_cheese,the_cat_is_sleeping,right,left,training,1,9/19/2016,15:24,right,1,6141.999999999999,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,2,b,the_frog_is_jumping,the_mouse_loves_cheese,left,right,training,0,9/19/2016,15:24,left,1,1632.999999999999,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,3,a,the_cat_is_sleeping,the_frog_is_jumping,right,left,training,1,9/19/2016,15:24,right,1,1116.999999999999,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,4,1,the_dolphins_are_swimming,the_horses_are_in_the_field,left,right,critical,0,9/19/2016,15:24,right,0,7525.999999999999,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,5,15,he_dropped_the_cheeseburger,the_bee_is_on_the_flower,right,left,critical,1,9/19/2016,15:24,right,1,710.9999999999991,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,6,14,he_finished_all_the_chocolates,she_has_cereal_for_breakfast,right,left,critical,1,9/19/2016,15:24,right,1,1347.999999999999,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,7,2,she_has_cereal_for_breakfast,she_grew_lots_of_tomatoes,right,left,critical,0,9/19/2016,15:24,right,1,2017.999999999999,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,8,17,we_took_some_sandwiches,he_dropped_the_cheeseburger,right,left,critical,0,9/19/2016,15:24,right,1,716.9999999999991,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,9,12,the_pizza_was_too_hot,the_dolphins_are_swimming,right,left,critical,1,9/19/2016,15:24,right,1,2289.999999999999,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,10,11,the_dog_is_barking,the_cheese_is_tasty,right,left,critical,0,9/19/2016,15:24,right,1,1017.9999999999991,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,11,23,the_fish_are_in_the_river,he_is_peeling_a_banana,left,right,critical,0,9/19/2016,15:24,left,1,700.9999999999991,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,12,7,the_ladybirds_are_very_red,the_elephant_is_very_big,left,right,critical,0,9/19/2016,15:24,left,1,2566.999999999999,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,13,8,she_likes_eating_carrots,the_chickens_lay_eggs,right,left,critical,1,9/19/2016,15:24,right,1,1115.999999999999,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,14,21,he_is_peeling_a_banana,the_butterfly_is_pretty,left,right,critical,1,9/19/2016,15:24,left,1,526.9999999999991,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,15,5,the_turtle_lives_in_the_sea,we_had_pasta_for_dinner,left,right,critical,1,9/19/2016,15:24,left,1,1457.999999999999,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,16,18,the_birds_are_flying,the_dog_is_barking,left,right,critical,0,9/19/2016,15:24,left,1,498.9999999999991,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,17,9,the_elephant_is_very_big,the_monkey_is_up_in_the_tree,left,right,critical,1,9/19/2016,15:24,left,1,2157.999999999999,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,18,4,we_had_pasta_for_dinner,she_likes_eating_carrots,left,right,critical,0,9/19/2016,15:24,left,1,1575.999999999999,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,19,19,he_made_a_salad,we_took_some_sandwiches,left,right,critical,1,9/19/2016,15:24,left,1,189.9999999999991,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,20,24,the_monkey_is_up_in_the_tree,the_ladybirds_are_very_red,right,left,critical,0,9/19/2016,15:24,right,1,2208.999999999999,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,21,3,the_horses_are_in_the_field,the_fish_are_in_the_river,right,left,critical,0,9/19/2016,15:24,right,1,1384.999999999999,1,2012-07-12,,,,,,1,1,male
aa2mcQ5IacTpJ6hJEXEapOopd,22,16,she_grew_lots_of_tomatoes,the_turtle_lives_in_the_sea,left,right,critical,1,9/19/2016,15:24,left,1,1859.999999999999,1,2012-07-12,,,,,,1,1,male
