subject_id,trial_number,trial_id,target_sentence,foil_sentence,target_side,foil_side,trial_type,presentation_order,date_stamp,time_stamp,side_chosen,accuracy,rt,times_played,date_of_birth,ethnicity,native_lang,other_langs,parental_occ,dev_info,birth_order,num_siblings,gender
hiFfH2bsUViY5K5ROeON8JIdm,1,c,the_mouse_loves_cheese,the_cat_is_sleeping,right,left,training,1,9/19/2016,9:51,right,1,12529,1,2014-08-04,,,,,,1,1,male
hiFfH2bsUViY5K5ROeON8JIdm,2,b,the_frog_is_jumping,the_mouse_loves_cheese,left,right,training,0,9/19/2016,9:51,right,0,4591.999999999999,1,2014-08-04,,,,,,1,1,male
hiFfH2bsUViY5K5ROeON8JIdm,3,a,the_cat_is_sleeping,the_frog_is_jumping,right,left,training,1,9/19/2016,9:51,right,1,2923.999999999999,1,2014-08-04,,,,,,1,1,male
hiFfH2bsUViY5K5ROeON8JIdm,4,2,she_has_cereal_for_breakfast,she_grew_lots_of_tomatoes,left,right,critical,0,9/19/2016,9:51,left,1,12907,3,2014-08-04,,,,,,1,1,male
hiFfH2bsUViY5K5ROeON8JIdm,5,7,the_ladybirds_are_very_red,the_elephant_is_very_big,left,right,critical,1,9/19/2016,9:51,left,1,5037.999999999999,2,2014-08-04,,,,,,1,1,male
hiFfH2bsUViY5K5ROeON8JIdm,6,9,the_elephant_is_very_big,the_monkey_is_up_in_the_tree,left,right,critical,0,9/19/2016,9:51,left,1,9574,2,2014-08-04,,,,,,1,1,male
hiFfH2bsUViY5K5ROeON8JIdm,7,12,the_pizza_was_too_hot,the_dolphins_are_swimming,left,right,critical,0,9/19/2016,9:51,left,1,5456.999999999999,2,2014-08-04,,,,,,1,1,male
hiFfH2bsUViY5K5ROeON8JIdm,8,13,the_butterfly_is_pretty,the_pizza_was_too_hot,left,right,critical,1,9/19/2016,9:51,left,1,4331.999999999999,1,2014-08-04,,,,,,1,1,male
hiFfH2bsUViY5K5ROeON8JIdm,9,11,the_dog_is_barking,the_cheese_is_tasty,left,right,critical,0,9/19/2016,9:51,right,0,15815,4,2014-08-04,,,,,,1,1,male
hiFfH2bsUViY5K5ROeON8JIdm,10,10,the_chickens_lay_eggs,he_finished_all_the_chocolates,left,right,critical,0,9/19/2016,9:51,right,0,3391.999999999999,4,2014-08-04,,,,,,1,1,male
hiFfH2bsUViY5K5ROeON8JIdm,11,21,he_is_peeling_a_banana,the_butterfly_is_pretty,right,left,critical,0,9/19/2016,9:51,left,0,6331.999999999999,1,2014-08-04,,,,,,1,1,male
hiFfH2bsUViY5K5ROeON8JIdm,12,5,the_turtle_lives_in_the_sea,we_had_pasta_for_dinner,left,right,critical,0,9/19/2016,9:51,left,1,7361.999999999999,1,2014-08-04,,,,,,1,1,male
hiFfH2bsUViY5K5ROeON8JIdm,13,19,he_made_a_salad,we_took_some_sandwiches,right,left,critical,0,9/19/2016,9:51,right,1,991.9999999999991,2,2014-08-04,,,,,,1,1,male
hiFfH2bsUViY5K5ROeON8JIdm,14,8,she_likes_eating_carrots,the_chickens_lay_eggs,right,left,critical,0,9/19/2016,9:51,right,1,3633.999999999999,1,2014-08-04,,,,,,1,1,male
hiFfH2bsUViY5K5ROeON8JIdm,15,1,the_dolphins_are_swimming,the_horses_are_in_the_field,right,left,critical,1,9/19/2016,9:51,left,0,6288.999999999999,1,2014-08-04,,,,,,1,1,male
hiFfH2bsUViY5K5ROeON8JIdm,16,15,he_dropped_the_cheeseburger,the_bee_is_on_the_flower,right,left,critical,0,9/19/2016,9:51,right,1,3252.999999999999,1,2014-08-04,,,,,,1,1,male
hiFfH2bsUViY5K5ROeON8JIdm,17,18,the_birds_are_flying,the_dog_is_barking,right,left,critical,1,9/19/2016,9:51,left,0,12412,2,2014-08-04,,,,,,1,1,male
hiFfH2bsUViY5K5ROeON8JIdm,18,4,we_had_pasta_for_dinner,she_likes_eating_carrots,right,left,critical,0,9/19/2016,9:51,right,1,8678,3,2014-08-04,,,,,,1,1,male
hiFfH2bsUViY5K5ROeON8JIdm,19,23,the_fish_are_in_the_river,he_is_peeling_a_banana,left,right,critical,1,9/19/2016,9:51,right,0,14987,1,2014-08-04,,,,,,1,1,male
hiFfH2bsUViY5K5ROeON8JIdm,20,20,the_cheese_is_tasty,she_bought_a_cake,right,left,critical,1,9/19/2016,9:51,left,0,14312,1,2014-08-04,,,,,,1,1,male
